removal_date,installed,locked,temporary,place_id,install_date,terminal_name,common_name
,true,false,false,BikePoints_168,1279289400000,003463,"Argyll Road, Kensington"
,true,false,false,BikePoints_436,1323350220000,022171,"Red Lion Street, Holborn"
,true,false,false,BikePoints_437,1325746380000,200056,"Vauxhall Walk, Vauxhall"
,true,false,false,BikePoints_439,1325705460000,200053,"Killick Street, King's Cross"
,true,false,false,BikePoints_440,1325708160000,200032,"Kennington Oval, Oval"
,true,false,false,BikePoints_441,1325711220000,200039,"Sail Street, Vauxhall"
,true,false,false,BikePoints_442,1325940420000,200035,"Walmer Road, Avondale"
,true,false,false,BikePoints_443,1325941800000,200033,"Philpot Street, Whitechapel"
,true,false,false,BikePoints_444,1325944680000,200047,"Bethnal Green Garden, Bethnal Green"
,true,false,false,BikePoints_445,1325945820000,200003,"Cheshire Street, Bethnal Green"
,true,false,false,BikePoints_446,1325948880000,200042,"York Hall, Bethnal Green"
,true,false,false,BikePoints_447,1325949000000,200054,"Jubilee Crescent, Cubitt Town"
,true,false,false,BikePoints_448,1325952660000,022165,"Fisherman's Walk West, Canary Wharf"
,true,false,false,BikePoints_449,1325952900000,200020,"Shadwell Station, Shadwell"
,true,false,false,BikePoints_450,1326105240000,200002,"Jubilee Street, Stepney"
,true,false,false,BikePoints_451,1325501400000,200021,"Hermitage Court, Wapping"
,true,false,false,BikePoints_452,1326109140000,200049,"St. Katharine's Way, Tower"
,true,false,false,BikePoints_453,1326111060000,200045,"Garnet Street, Shadwell"
,true,false,false,BikePoints_454,1326115380000,200046,"Napier Avenue, Millwall"
,true,false,false,BikePoints_455,1326117780000,200031,"East Ferry Road, Cubitt Town"
,true,false,false,BikePoints_456,1326197580000,200118,"Parkway, Camden Town"
,true,false,false,BikePoints_457,1326203280000,200016,"Castlehaven Road, Camden Town"
,true,false,false,BikePoints_458,1326294780000,200034,"Wapping Lane, Wapping"
,true,false,false,BikePoints_459,,200014,"Gunmakers Lane, Old Ford"
,true,false,false,BikePoints_460,1326284820000,200123,"Burdett Road, Mile End"
,true,false,true,BikePoints_461,1326293640000,200013,"Aston Street, Stepney"
,true,false,false,BikePoints_462,1326294600000,200105,"Bonny Street, Camden Town"
,true,false,false,BikePoints_463,,200093,"Thurtle Road, Haggerston"
,true,false,false,BikePoints_464,1326304980000,200082,"St. Mary & St. Michael Church, Stepney"
,true,false,false,BikePoints_465,1333613280000,200152,"Pitfield Street North,Hoxton"
,true,false,false,BikePoints_466,1326360000000,200158,"Whiston Road, Haggerston"
,true,false,false,BikePoints_467,1326374040000,200168,"Southern Grove, Bow"
,true,false,false,BikePoints_468,1326375720000,200150,"Cantrell Road, Bow"
,true,false,false,BikePoints_469,1326381060000,022178,"Lindfield Street, Poplar"
,true,false,false,BikePoints_470,1326790620000,200174,"Mostyn Grove, Bow"
,true,false,false,BikePoints_471,1326790860000,200006,"Hewison Street, Old Ford"
,true,false,false,BikePoints_472,1326791160000,200019,"Malmesbury Road, Bow"
,true,false,false,BikePoints_473,1326816540000,022167,"Millharbour, Millwall"
,true,false,false,BikePoints_474,1326822960000,200155,"Gascoyne Road, Victoria Park"
,true,false,false,BikePoints_475,1326825480000,200004,"Lightermans Road, Millwall"
,true,false,false,BikePoints_476,1326962100000,200009,"Stebondale Street, Cubitt Town"
,true,false,false,BikePoints_477,1326963780000,200018,"Spindrift Avenue, Millwall"
,true,false,false,BikePoints_478,1326965580000,200012,"Stepney Green Station, Stepney"
,true,false,false,BikePoints_479,1326966240000,200156,"Pott Street, Bethnal Green"
,true,false,false,BikePoints_480,1326975420000,200115,"Flamborough Street, Limehouse"
,true,false,false,BikePoints_481,1326996480000,200022,"Saunders Ness Road, Cubitt Town"
,true,false,false,BikePoints_482,1326996720000,200052,"Exhibition Road Museums 2, South Kensington"
,true,false,false,BikePoints_483,1327088280000,022166,"Albert Gardens, Stepney"
,true,false,false,BikePoints_484,1327339740000,022172,"Bromley High Street, Bow"
,true,false,false,BikePoints_485,1327255440000,022173,"Old Ford Road, Bethnal Green"
,true,false,false,BikePoints_486,1327338660000,022174,"Granby Street, Shoreditch"
,true,false,false,BikePoints_487,1327936860000,022175,"Canton Street, Poplar"
,true,false,false,BikePoints_488,1327254960000,022176,"Reardon Street, Wapping"
,true,false,false,BikePoints_490,,200090,"Pennington Street, Wapping"
,true,false,false,BikePoints_491,1327256220000,200249,"Queen Mary's, Mile End"
,true,false,false,BikePoints_492,1327256520000,200230,"Maplin Street, Mile End"
,true,false,false,BikePoints_494,1327433220000,200233,"South Quay East, Canary Wharf"
,true,false,false,BikePoints_495,1327340460000,200252,"Bow Church Station, Bow"
,true,false,false,BikePoints_496,1327400820000,200255,"Devons Road, Bow"
,true,false,false,BikePoints_497,1327398420000,200242,"Merchant Street, Bow"
,true,false,false,BikePoints_498,1327398660000,200251,"Bow Road Station, Bow"
,true,false,false,BikePoints_499,1327407960000,200011,"Furze Green, Bow"
,true,false,false,BikePoints_500,1327430040000,200148,"Ansell House, Stepney"
,true,false,false,BikePoints_501,1327430220000,200073,"Cephas Street, Bethnal Green"
,true,false,false,BikePoints_502,1563957840000,200241,"Bonner Gate, Victoria Park"
,true,false,false,BikePoints_503,1327492920000,200250,"Cleveland Way, Stepney"
,true,false,false,BikePoints_504,1327937820000,200243,"St. John's Park, Cubitt Town"
,true,false,false,BikePoints_505,1327937460000,200038,"Ackroyd Drive, Bow"
,true,false,false,BikePoints_506,1327938660000,200036,"Bell Lane, Liverpool Street"
,true,false,false,BikePoints_507,1327938420000,200131,"Clarkson Street, Bethnal Green"
,true,false,false,BikePoints_508,1327938180000,200157,"Fournier Street, Whitechapel"
,true,false,false,BikePoints_509,1327938120000,200253,"Fore Street, Guildhall"
,true,false,false,BikePoints_510,,200238,"Westferry DLR, Limehouse"
,true,false,false,BikePoints_511,1327937940000,200256,"Sutton Street, Shadwell"
,true,false,false,BikePoints_512,1328112600000,200083,"Pritchard's Road, Bethnal Green"
,true,false,false,BikePoints_513,,200162,"Watney Market, Stepney"
,true,false,false,BikePoints_514,1328201520000,200008,"Portman Square, Marylebone"
,true,false,false,BikePoints_515,,200080,"Russell Gardens, Olympia"
,true,false,false,BikePoints_516,1328202420000,200089,"Chrisp Street Market, Poplar"
,true,false,false,BikePoints_517,1326790860000,200027,"Ford Road, Old Ford"
,true,false,false,BikePoints_518,,200041,"Antill Road, Mile End"
,true,false,false,BikePoints_519,,200254,"Teviot Street, Poplar"
,true,false,false,BikePoints_520,,200234,"Bancroft Road, Bethnal Green"
,true,false,false,BikePoints_521,,200030,"Driffield Road, Old Ford"
,true,false,false,BikePoints_784,1452789240000,300200,"East Village, Queen Elizabeth Olympic Park"
,true,false,false,BikePoints_785,1451908440000,300233,"Aquatic Centre, Queen Elizabeth Olympic Park"
,true,false,false,BikePoints_786,1451918160000,300029,"Lee Valley VeloPark, Queen Elizabeth Olympic Park"
,true,false,false,BikePoints_787,1451900700000,300227,"Timber Lodge, Queen Elizabeth Olympic Park"
,true,false,false,BikePoints_788,1451906880000,300226,"Copper Box Arena, Queen Elizabeth Olympic Park"
,true,false,false,BikePoints_789,1452507000000,300021,"Podium, Queen Elizabeth Olympic Park"
,true,false,false,BikePoints_790,1452687420000,300234,"Stratford Station, Stratford"
,true,false,false,BikePoints_792,1454926380000,300214,"Blackfriars Road, Southwark"
,true,false,false,BikePoints_793,1459424760000,300205,"Cromer Street, Bloomsbury"
,true,false,false,BikePoints_794,1456404240000,300204,"Victoria Rise, Clapham Common"
,true,false,false,BikePoints_795,1456744740000,300203,"Euston Square Gardens, Euston"
,true,false,false,BikePoints_796,1456746420000,300201,"Coram Street, Bloomsbury"
,true,false,false,BikePoints_797,1456839540000,300211,"Ossulston Street, Somers Town"
,true,false,false,BikePoints_798,1464787980000,300212,"Birkenhead Street, King's Cross"
,true,false,false,BikePoints_799,1464876480000,300202,"Kings Gate House, Westminster"
,true,false,false,BikePoints_800,1457107140000,300248,"Sopwith Way, Battersea Park"
,true,false,false,BikePoints_801,1458824640000,300208,"Lavington Street, Bankside"
,true,false,false,BikePoints_802,1464865500000,300209,"Albert Square, Stockwell"
,true,false,false,BikePoints_803,1464787860000,300238,"Southwark Street, Bankside"
,true,false,false,BikePoints_804,1459410960000,300243,"Good's Way, King's Cross"
,true,false,false,BikePoints_805,1467626400000,300244,"The Metropolitan, Portobello"
,true,false,false,BikePoints_806,1472723460000,300241,"Handyside Street, King's Cross"
,true,false,false,BikePoints_807,1466715600000,300236,"Bevington Road West, North Kensington"
,true,false,false,BikePoints_808,1461753540000,300207,"Gauden Road, Clapham"
,true,false,false,BikePoints_809,1467640800000,300240,"Lincoln's Inn Fields, Holborn"
,true,false,false,BikePoints_810,1464943200000,300237,"Tate Modern, Bankside"
,true,false,false,BikePoints_811,1469538960000,300228,"Westferry Circus, Canary Wharf"
,true,false,false,BikePoints_812,1469005200000,300217,"Here East North, Queen Elizabeth Olympic Park"
,true,false,false,BikePoints_813,1467627120000,300224,"New Spring Gardens Walk, Vauxhall"
,true,false,false,BikePoints_814,1464870060000,300245,"Clapham Road, Lingham Street, Stockwell"
,true,false,false,BikePoints_815,1462357680000,300231,"Lambeth Palace Road, Waterloo"
,true,false,false,BikePoints_816,1489065360000,300219,"Here East South, Queen Elizabeth Olympic Park"
,true,false,false,BikePoints_817,1464949140000,300232,"Riverlight South, Nine Elms"
,true,false,false,BikePoints_818,1563958740000,300249,"Westminster Pier, Westminster"
,true,false,false,BikePoints_819,1476360120000,300246,"Belvedere Road 2, South Bank"
,true,false,false,BikePoints_820,1481807940000,300239,"Victory Place, Walworth"
,true,false,false,BikePoints_821,1487335920000,300221,"Battersea Power Station, Battersea Park"
,true,false,false,BikePoints_826,1500554880000,300242,"Allington Street, Victoria"
,true,false,false,BikePoints_827,1517788800000,300247,"Cranmer Road, Stockwell"
,true,false,false,BikePoints_828,1517788800000,300225,"Normandy Road, Stockwell"
,true,false,false,BikePoints_829,1517443200000,300230,"Wynne Road, Stockwell"
,true,false,false,BikePoints_830,1517961600000,300229,"Sidney Road, Stockwell"
,true,false,false,BikePoints_831,1517961600000,300215,"St John's Crescent, Brixton"
,true,false,false,BikePoints_832,1517961600000,200240,"Ferndale Road, Brixton"
,true,false,false,BikePoints_833,1517875200000,300206,"Saltoun Road, Brixton"
,true,false,false,BikePoints_834,1529449200000,300216,"Gas Holders, Battersea Park"
,true,false,false,BikePoints_835,,300220,"Farringdon Street, Holborn"
,true,false,false,BikePoints_836,,300235,"York Way, Kings Cross"
,true,false,false,BikePoints_838,1539254700000,300222,"Fore Street Avenue, Guildhall"
,true,false,false,BikePoints_839,1544611140000,200144,"Sea Containers, South Bank"
,true,false,false,BikePoints_840,1599752640000,002679,"George Row, Bermondsey"
,true,false,false,BikePoints_841,,002667,"Tower Wharf, Bermondsey"
,true,false,false,BikePoints_844,1608298140000,300252,"Canada Water Station, Rotherhithe"
,true,false,false,BikePoints_845,1608303660000,300253,"Bermondsey Station, Bermondsey"
,true,false,false,BikePoints_1,1278947280000,001023,"River Street , Clerkenwell"
,true,false,false,BikePoints_2,1278585780000,001018,"Phillimore Gardens, Kensington"
,true,false,false,BikePoints_3,1278240360000,001012,"Christopher Street, Liverpool Street"
,true,false,false,BikePoints_4,1278241080000,001013,"St. Chad's Street, King's Cross"
,true,false,false,BikePoints_5,1278241440000,003420,"Sedding Street, Sloane Square"
,true,false,false,BikePoints_6,1278241680000,003424,"Broadcasting House, Marylebone"
,true,false,false,BikePoints_7,1278241800000,003422,"Charlbert Street, St. John's Wood"
,true,false,false,BikePoints_8,1540984560000,003423,"Maida Vale, Maida Vale"
,true,false,false,BikePoints_9,1278242340000,001015,"New Globe Walk, Bankside"
,true,false,false,BikePoints_10,1278242460000,001024,"Park Street, Bankside"
,true,false,false,BikePoints_11,1278340440000,001022,"Brunswick Square, Bloomsbury"
