terminal_name,locked,installed,install_date,temporary,place_id,common_name,removal_date
001127,false,true,1280160600000,false,BikePoints_339,"Risinghill Street, Angel",
001201,false,true,1280248620000,false,BikePoints_340,"Bank of England Museum, Bank",
001160,false,true,1280222160000,false,BikePoints_341,"Craven Street, Strand",
001188,false,true,1280224260000,false,BikePoints_343,"London Zoo Car Park, The Regent's Park",
001222,false,true,1280226120000,false,BikePoints_344,"Goswell Road (City Uni), Finsbury",
001218,false,true,1280229720000,false,BikePoints_345,"Flood Street, Chelsea",
001219,false,true,1283762460000,false,BikePoints_347,"Lower Marsh, Waterloo",
010627,false,true,1284540540000,false,BikePoints_348,"Grosvenor Square, Mayfair",
001221,false,true,1284543120000,false,BikePoints_349,"St. George Street, Mayfair",
001231,false,true,1285756260000,false,BikePoints_350,"Queen's Gate, Kensington Gardens",
001226,false,true,1286790480000,false,BikePoints_351,"Macclesfield Rd, St Lukes",
001224,false,true,1286796360000,false,BikePoints_352,"Vauxhall Street, Vauxhall",
010623,false,true,1287652080000,false,BikePoints_353,"Greycoat Street , Westminster",
001097,false,true,,false,BikePoints_354,"Northumberland Avenue, Strand",
002694,false,true,1287752460000,false,BikePoints_355,"Clapham Common Station, Clapham Common",
002685,false,true,1288009080000,false,BikePoints_356,"South Kensington Station, South Kensington",
002691,false,true,1288092420000,false,BikePoints_357,"Howland Street, Fitzrovia",
001229,false,true,1290079860000,false,BikePoints_358,"High Holborn , Covent Garden",
002662,false,true,1288950960000,false,BikePoints_359,"Butler Place, Westminster",
002666,false,true,1288958160000,false,BikePoints_360,"Howick Place, Westminster",
002692,false,true,1291902600000,false,BikePoints_361,"Waterloo Station 2, Waterloo",
002686,false,true,1290080220000,false,BikePoints_362,"Royal College Street, Camden Town",
002665,false,true,1289911800000,false,BikePoints_363,"Lord's, St. John's Wood",
003507,false,true,1290080640000,false,BikePoints_364,"Store Street, Bloomsbury",
002690,false,true,1290603600000,false,BikePoints_365,"City Road, Angel",
002680,false,true,,false,BikePoints_367,"Harrowby Street, Marylebone",
002681,false,true,1291201680000,false,BikePoints_368,"Harriet Street, Knightsbridge",
002670,false,true,1291647300000,false,BikePoints_370,"Paddington Green, Paddington",
002639,false,true,1291712820000,false,BikePoints_371,"King Edward Walk, Waterloo",
002649,false,true,1291713000000,false,BikePoints_372,"Sardinia Street, Holborn",
003499,false,true,1295428320000,false,BikePoints_373,"Prince Consort Road, Knightsbridge",
002696,false,true,1291725720000,false,BikePoints_374,"Waterloo Station 1, Waterloo",
010632,false,true,1291805820000,false,BikePoints_375,"Kensington Town Hall, Kensington",
002683,false,true,1294660980000,false,BikePoints_376,"Millbank Tower, Pimlico",
002648,false,true,1295265420000,false,BikePoints_377,"Waterloo Bridge, South Bank",
002677,false,true,1296121500000,false,BikePoints_378,"Natural History Museum, South Kensington",
002682,false,true,1296121680000,false,BikePoints_379,"Turquoise Island, Notting Hill",
003506,false,true,1296125400000,false,BikePoints_380,"Stanhope Gate, Mayfair",
002669,false,true,1296203760000,false,BikePoints_381,"Charlotte Street, Fitzrovia",
002678,false,true,1297159320000,false,BikePoints_382,"Farm Street, Mayfair",
002660,false,true,1296649200000,false,BikePoints_383,"Frith Street, Soho",
003505,false,true,1296731880000,false,BikePoints_384,"Marloes Road, Kensington",
003504,false,true,1296732540000,false,BikePoints_386,"Moor Street, Soho",
002703,false,true,1297077540000,false,BikePoints_387,"Fire Brigade Pier, Vauxhall",
001228,false,true,1297182180000,false,BikePoints_388,"Southampton Street, Strand",
010621,false,true,1297347960000,false,BikePoints_389,"Upper Grosvenor Street, Mayfair",
001223,false,true,1297764360000,false,BikePoints_390,"Buxton Street 1, Shoreditch",
002688,false,true,1297956480000,false,BikePoints_391,"Clifford Street, Mayfair",1539846000000
001220,false,true,1297958700000,false,BikePoints_392,"Imperial College, Knightsbridge",
002699,false,true,1298545440000,false,BikePoints_393,"Snow Hill, Farringdon",
002698,false,true,,false,BikePoints_394,"Aberdeen Place, St. John's Wood",
002695,false,true,1298908800000,false,BikePoints_395,"Cadogan Gardens, Chelsea",
002693,false,true,1299075120000,false,BikePoints_396,"Shouldham Street, Marylebone",
001227,false,true,1299075900000,false,BikePoints_397,"Devonshire Terrace, Bayswater",
010631,false,true,1299076440000,false,BikePoints_398,"Holland Park, Kensington",
002687,false,true,1299582900000,false,BikePoints_399,"Brick Lane Market, Shoreditch",
001225,false,true,1299583260000,false,BikePoints_400,"George Street, Marylebone",
002701,false,true,1299592500000,false,BikePoints_401,"Columbia Road, Shoreditch",
010625,false,true,1299592860000,false,BikePoints_402,"Penfold Street, Marylebone",
010630,false,true,1299593640000,false,BikePoints_403,"George Place Mews, Marylebone",
001110,false,true,1299669180000,false,BikePoints_404,"Palace Gate, Kensington Gardens",
001107,false,true,1299669300000,false,BikePoints_405,"Gloucester Road Station, South Kensington",
001129,false,true,,false,BikePoints_408,"Sun Street, Liverpool Street",
010624,false,true,,false,BikePoints_409,"Strata, Elephant & Castle",
001058,false,true,,false,BikePoints_410,"Edgware Road Station, Marylebone",
010629,false,true,,false,BikePoints_411,"Rotherhithe Roundabout, Rotherhithe",
010628,false,true,1302006180000,false,BikePoints_412,"Cleaver Street, Kennington",
022160,false,true,1308735300000,false,BikePoints_419,"Chelsea Bridge, Pimlico",
022162,false,true,1309258380000,false,BikePoints_420,"Southwark Station 1, Southwark",
022163,false,true,1309258440000,false,BikePoints_421,"Southwark Station 2, Southwark",
022164,false,true,1309860240000,false,BikePoints_423,"Eaton Square (South), Belgravia",
022159,false,true,1324551120000,false,BikePoints_424,"Ebury Bridge, Pimlico",
022161,false,true,1310463720000,false,BikePoints_426,"Vincent Street, Pimlico",
022180,false,true,1310725680000,false,BikePoints_427,"Cheapside, Bank",
022179,false,true,1318496100000,false,BikePoints_428,"Exhibition Road, Knightsbridge",
022182,false,true,1324549980000,false,BikePoints_430,"South Parade, Chelsea",
022183,false,true,1323355020000,false,BikePoints_431,"Crinan Street, King's Cross",
022158,false,true,1319448720000,false,BikePoints_432,"Exhibition Road Museums 1, South Kensington",
022169,false,true,1323361560000,false,BikePoints_433,"Wren Street, Holborn",
022170,false,true,1323346020000,false,BikePoints_435,"Kennington Station, Kennington",
200121,false,true,1384254300000,false,BikePoints_698,"Shoreditch Court, Haggerston",
200057,false,true,1384256040000,false,BikePoints_699,"Belford House, Haggerston",
200201,false,true,1384343280000,false,BikePoints_700,"Battersea Church Road, Battersea",
200077,false,true,1384345080000,false,BikePoints_701,"Vicarage Crescent, Battersea",
200213,false,true,1384345860000,false,BikePoints_702,"Durant Street, Bethnal Green",
200094,false,true,1384357800000,false,BikePoints_703,"St. Bride Street, Holborn",
200063,false,true,1384443480000,false,BikePoints_704,"Mexfield Road, East Putney",
300042,false,true,1384453020000,true,BikePoints_705,"Upper Richmond Road, Putney",1539845700000
200193,false,true,1384420920000,false,BikePoints_706,"Snowsfields, London Bridge",
200197,false,true,1384435680000,false,BikePoints_707,"Barons Court Station, West Kensington",
200217,false,true,1384530180000,false,BikePoints_708,"Disraeli Road, Putney",
200205,false,true,1384510140000,false,BikePoints_709,"Montserrat Road , Putney",
300045,false,true,1384520580000,false,BikePoints_710,"Albert Bridge Road, Battersea Park",
300028,false,true,1384791540000,false,BikePoints_711,"Everington Street, Fulham",
300056,false,true,1384797120000,false,BikePoints_712,"Mile End Stadium, Mile End",
200122,false,true,1384774620000,false,BikePoints_713,"Hawley Crescent, Camden Town",
300055,false,true,1384865400000,false,BikePoints_714,"Stewart's Road, Wandsworth Road",
300049,false,true,1384868460000,false,BikePoints_715,"Aylward Street, Stepney",
300024,false,true,1384952400000,false,BikePoints_717,"Dunston Road , Haggerston",
300040,false,true,1384962840000,false,BikePoints_718,"Ada Street, Hackney Central",
300011,false,true,1384968480000,false,BikePoints_719,"Victoria Park Road, Hackney Central",
300038,false,true,1385025840000,false,BikePoints_720,"Star Road, West Kensington",
300039,false,true,1385028480000,false,BikePoints_721,"Wendon Street, Old Ford",
300041,false,true,1385028600000,false,BikePoints_722,"Finnis Street, Bethnal Green",
300053,false,true,1385035380000,false,BikePoints_723,"Stephendale Road, Sands End",
300046,false,true,1385125380000,false,BikePoints_724,"Alma Road, Wandsworth",
300050,false,true,1563352500000,false,BikePoints_725,"Walworth Square, Walworth",
300047,false,true,1385128740000,false,BikePoints_726,"Alfreda Street, Battersea Park",
300054,false,true,1385132160000,false,BikePoints_727,"Chesilton Road, Fulham",
300044,false,true,1385466780000,false,BikePoints_728,"Putney Bridge Road, East Putney",
300043,false,true,1385391300000,false,BikePoints_729,"St. Peter's Terrace, Fulham",
300082,false,true,1385132580000,false,BikePoints_730,"Bridge Avenue, Hammersmith",
300095,false,true,1385394720000,false,BikePoints_731,"Michael Road, Walham Green",
300083,false,true,1385458020000,false,BikePoints_732,"Duke Street Hill, London Bridge",
300093,false,true,1385460840000,false,BikePoints_733,"Park Lane, Mayfair",
300094,false,true,1385464500000,false,BikePoints_734,"Plough Terrace, Clapham Junction",
200120,false,true,1385383080000,false,BikePoints_735,"Grant Road East, Clapham Junction",
