installed,terminal_name,removal_date,install_date,locked,temporary,place_id,common_name
true,022169,,1323361560000,false,false,BikePoints_433,"Wren Street, Holborn"
true,022170,,1323346020000,false,false,BikePoints_435,"Kennington Station, Kennington"
true,022171,,1323350220000,false,false,BikePoints_436,"Red Lion Street, Holborn"
true,200056,,1325746380000,false,false,BikePoints_437,"Vauxhall Walk, Vauxhall"
true,200053,,1325705460000,false,false,BikePoints_439,"Killick Street, King's Cross"
true,200032,,1325708160000,false,false,BikePoints_440,"Kennington Oval, Oval"
true,200039,,1325711220000,false,false,BikePoints_441,"Sail Street, Vauxhall"
true,200035,,1325940420000,false,false,BikePoints_442,"Walmer Road, Avondale"
true,200033,,1325941800000,false,false,BikePoints_443,"Philpot Street, Whitechapel"
true,200047,,1325944680000,false,false,BikePoints_444,"Bethnal Green Garden, Bethnal Green"
true,200003,,1325945820000,false,false,BikePoints_445,"Cheshire Street, Bethnal Green"
true,200042,,1325948880000,false,false,BikePoints_446,"York Hall, Bethnal Green"
true,200054,,1325949000000,false,false,BikePoints_447,"Jubilee Crescent, Cubitt Town"
true,022165,,1325952660000,false,false,BikePoints_448,"Fisherman's Walk West, Canary Wharf"
true,200020,,1325952900000,false,false,BikePoints_449,"Shadwell Station, Shadwell"
true,200002,,1326105240000,false,false,BikePoints_450,"Jubilee Street, Stepney"
true,200021,,1325501400000,false,false,BikePoints_451,"Hermitage Court, Wapping"
true,200049,,1326109140000,false,false,BikePoints_452,"St. Katharine's Way, Tower"
true,200045,,1326111060000,false,false,BikePoints_453,"Garnet Street, Shadwell"
true,200046,,1326115380000,false,false,BikePoints_454,"Napier Avenue, Millwall"
true,200031,,1326117780000,false,false,BikePoints_455,"East Ferry Road, Cubitt Town"
true,200118,,1326197580000,false,false,BikePoints_456,"Parkway, Camden Town"
true,200016,,1326203280000,false,false,BikePoints_457,"Castlehaven Road, Camden Town"
true,200034,,1326294780000,false,false,BikePoints_458,"Wapping Lane, Wapping"
true,200014,,,false,false,BikePoints_459,"Gunmakers Lane, Old Ford"
true,200123,,1326284820000,false,false,BikePoints_460,"Burdett Road, Mile End"
true,200013,,1326293640000,false,true,BikePoints_461,"Aston Street, Stepney"
true,200105,,1326294600000,false,false,BikePoints_462,"Bonny Street, Camden Town"
true,200093,,,false,false,BikePoints_463,"Thurtle Road, Haggerston"
true,200082,,1326304980000,false,false,BikePoints_464,"St. Mary & St. Michael Church, Stepney"
true,200152,,1333613280000,false,false,BikePoints_465,"Pitfield Street North,Hoxton"
true,200158,,1326360000000,false,false,BikePoints_466,"Whiston Road, Haggerston"
true,200168,,1326374040000,false,false,BikePoints_467,"Southern Grove, Bow"
true,200150,,1326375720000,false,false,BikePoints_468,"Cantrell Road, Bow"
true,022178,,1326381060000,false,false,BikePoints_469,"Lindfield Street, Poplar"
true,200174,,1326790620000,false,false,BikePoints_470,"Mostyn Grove, Bow"
true,200006,,1326790860000,false,false,BikePoints_471,"Hewison Street, Old Ford"
true,200019,,1326791160000,false,false,BikePoints_472,"Malmesbury Road, Bow"
true,022167,,1326816540000,false,false,BikePoints_473,"Millharbour, Millwall"
true,200155,,1326822960000,false,false,BikePoints_474,"Gascoyne Road, Victoria Park"
true,200004,,1326825480000,false,false,BikePoints_475,"Lightermans Road, Millwall"
true,200009,,1326962100000,false,false,BikePoints_476,"Stebondale Street, Cubitt Town"
true,200018,,1326963780000,false,false,BikePoints_477,"Spindrift Avenue, Millwall"
true,200012,,1326965580000,false,false,BikePoints_478,"Stepney Green Station, Stepney"
true,200156,,1326966240000,false,false,BikePoints_479,"Pott Street, Bethnal Green"
true,200115,,1326975420000,false,false,BikePoints_480,"Flamborough Street, Limehouse"
true,200022,,1326996480000,false,false,BikePoints_481,"Saunders Ness Road, Cubitt Town"
true,200052,,1326996720000,false,false,BikePoints_482,"Exhibition Road Museums 2, South Kensington"
true,022166,,1327088280000,false,false,BikePoints_483,"Albert Gardens, Stepney"
true,022172,,1327339740000,false,false,BikePoints_484,"Bromley High Street, Bow"
true,022173,,1327255440000,false,false,BikePoints_485,"Old Ford Road, Bethnal Green"
true,022174,,1327338660000,false,false,BikePoints_486,"Granby Street, Shoreditch"
true,022175,,1327936860000,false,false,BikePoints_487,"Canton Street, Poplar"
true,022176,,1327254960000,false,false,BikePoints_488,"Reardon Street, Wapping"
true,200090,,,false,false,BikePoints_490,"Pennington Street, Wapping"
true,200249,,1327256220000,false,false,BikePoints_491,"Queen Mary's, Mile End"
true,200230,,1327256520000,false,false,BikePoints_492,"Maplin Street, Mile End"
true,200233,,1327433220000,false,false,BikePoints_494,"South Quay East, Canary Wharf"
true,200252,,1327340460000,false,false,BikePoints_495,"Bow Church Station, Bow"
true,200255,,1327400820000,false,false,BikePoints_496,"Devons Road, Bow"
true,200242,,1327398420000,false,false,BikePoints_497,"Merchant Street, Bow"
true,200251,,1327398660000,false,false,BikePoints_498,"Bow Road Station, Bow"
true,200011,,1327407960000,false,false,BikePoints_499,"Furze Green, Bow"
true,200148,,1327430040000,false,false,BikePoints_500,"Ansell House, Stepney"
true,200073,,1327430220000,false,false,BikePoints_501,"Cephas Street, Bethnal Green"
true,200241,,1563957840000,false,false,BikePoints_502,"Bonner Gate, Victoria Park"
true,200250,,1327492920000,false,false,BikePoints_503,"Cleveland Way, Stepney"
true,200243,,1327937820000,false,false,BikePoints_504,"St. John's Park, Cubitt Town"
true,200038,,1327937460000,false,false,BikePoints_505,"Ackroyd Drive, Bow"
true,200036,,1327938660000,false,false,BikePoints_506,"Bell Lane, Liverpool Street"
true,200131,,1327938420000,false,false,BikePoints_507,"Clarkson Street, Bethnal Green"
true,200157,,1327938180000,false,false,BikePoints_508,"Fournier Street, Whitechapel"
true,200253,,1327938120000,false,false,BikePoints_509,"Fore Street, Guildhall"
true,200238,,,false,false,BikePoints_510,"Westferry DLR, Limehouse"
true,200256,,1327937940000,false,false,BikePoints_511,"Sutton Street, Shadwell"
true,200083,,1328112600000,false,false,BikePoints_512,"Pritchard's Road, Bethnal Green"
true,200162,,,false,false,BikePoints_513,"Watney Market, Stepney"
true,200008,,1328201520000,false,false,BikePoints_514,"Portman Square, Marylebone"
true,200080,,,false,false,BikePoints_515,"Russell Gardens, Olympia"
true,200089,,1328202420000,false,false,BikePoints_516,"Chrisp Street Market, Poplar"
true,200027,,1326790860000,false,false,BikePoints_517,"Ford Road, Old Ford"
true,200041,,,false,false,BikePoints_518,"Antill Road, Mile End"
true,200254,,,false,false,BikePoints_519,"Teviot Street, Poplar"
true,200234,,,false,false,BikePoints_520,"Bancroft Road, Bethnal Green"
true,300032,,1446485340000,false,false,BikePoints_781,"Victoria & Albert Museum, South Kensington"
true,300210,,1446485820000,false,false,BikePoints_782,"Halford Road, West Kensington"
true,300213,,1448529660000,false,false,BikePoints_783,"Monier Road, Hackney Wick"
true,300200,,1452789240000,false,false,BikePoints_784,"East Village, Queen Elizabeth Olympic Park"
true,300233,,1451908440000,false,false,BikePoints_785,"Aquatic Centre, Queen Elizabeth Olympic Park"
true,300029,,1451918160000,false,false,BikePoints_786,"Lee Valley VeloPark, Queen Elizabeth Olympic Park"
true,300227,,1451900700000,false,false,BikePoints_787,"Timber Lodge, Queen Elizabeth Olympic Park"
true,300226,,1451906880000,false,false,BikePoints_788,"Copper Box Arena, Queen Elizabeth Olympic Park"
true,300021,,1452507000000,false,false,BikePoints_789,"Podium, Queen Elizabeth Olympic Park"
true,300234,,1452687420000,false,false,BikePoints_790,"Stratford Station, Stratford"
true,300214,,1454926380000,false,false,BikePoints_792,"Blackfriars Road, Southwark"
true,300205,,1459424760000,false,false,BikePoints_793,"Cromer Street, Bloomsbury"
true,300204,,1456404240000,false,false,BikePoints_794,"Victoria Rise, Clapham Common"
true,300203,,1456744740000,false,false,BikePoints_795,"Euston Square Gardens, Euston"
true,300201,,1456746420000,false,false,BikePoints_796,"Coram Street, Bloomsbury"
true,300211,,1456839540000,false,false,BikePoints_797,"Ossulston Street, Somers Town"
true,300212,,1464787980000,false,false,BikePoints_798,"Birkenhead Street, King's Cross"
true,300202,,1464876480000,false,false,BikePoints_799,"Kings Gate House, Westminster"
true,300248,,1457107140000,false,false,BikePoints_800,"Sopwith Way, Battersea Park"
true,300208,,1458824640000,false,false,BikePoints_801,"Lavington Street, Bankside"
true,300209,,1464865500000,false,false,BikePoints_802,"Albert Square, Stockwell"
true,300238,,1464787860000,false,false,BikePoints_803,"Southwark Street, Bankside"
true,300243,,1459410960000,false,false,BikePoints_804,"Good's Way, King's Cross"
true,300244,,1467626400000,false,false,BikePoints_805,"The Metropolitan, Portobello"
true,300241,,1472723460000,false,false,BikePoints_806,"Handyside Street, King's Cross"
true,300236,,1466715600000,false,false,BikePoints_807,"Bevington Road West, North Kensington"
true,300207,,1461753540000,false,false,BikePoints_808,"Gauden Road, Clapham"
