terminal_name,locked,temporary,install_date,removal_date,place_id,common_name,installed
001212,false,false,1280152800000,,BikePoints_336,"Concert Hall Approach 2, South Bank",true
002589,false,false,1280153100000,,BikePoints_337,"Pembridge Villas, Notting Hill",true
001202,false,false,1280158740000,,BikePoints_338,"Wellington Street , Strand",true
001127,false,false,1280160600000,,BikePoints_339,"Risinghill Street, Angel",true
001201,false,false,1280248620000,,BikePoints_340,"Bank of England Museum, Bank",true
001160,false,false,1280222160000,,BikePoints_341,"Craven Street, Strand",true
001188,false,false,1280224260000,,BikePoints_343,"London Zoo Car Park, The Regent's Park",true
001222,false,false,1280226120000,,BikePoints_344,"Goswell Road (City Uni), Finsbury",true
001218,false,false,1280229720000,,BikePoints_345,"Flood Street, Chelsea",true
001219,false,false,1283762460000,,BikePoints_347,"Lower Marsh, Waterloo",true
010627,false,false,1284540540000,,BikePoints_348,"Grosvenor Square, Mayfair",true
001221,false,false,1284543120000,,BikePoints_349,"St. George Street, Mayfair",true
001231,false,false,1285756260000,,BikePoints_350,"Queen's Gate, Kensington Gardens",true
001226,false,false,1286790480000,,BikePoints_351,"Macclesfield Rd, St Lukes",true
001224,false,false,1286796360000,,BikePoints_352,"Vauxhall Street, Vauxhall",true
010623,false,false,1287652080000,,BikePoints_353,"Greycoat Street , Westminster",true
001097,false,false,,,BikePoints_354,"Northumberland Avenue, Strand",true
002694,false,false,1287752460000,,BikePoints_355,"Clapham Common Station, Clapham Common",true
002685,false,false,1288009080000,,BikePoints_356,"South Kensington Station, South Kensington",true
002691,false,false,1288092420000,,BikePoints_357,"Howland Street, Fitzrovia",true
001229,false,false,1290079860000,,BikePoints_358,"High Holborn , Covent Garden",true
002662,false,false,1288950960000,,BikePoints_359,"Butler Place, Westminster",true
002666,false,false,1288958160000,,BikePoints_360,"Howick Place, Westminster",true
002692,false,false,1291902600000,,BikePoints_361,"Waterloo Station 2, Waterloo",true
002686,false,false,1290080220000,,BikePoints_362,"Royal College Street, Camden Town",true
002665,false,false,1289911800000,,BikePoints_363,"Lord's, St. John's Wood",true
003507,false,false,1290080640000,,BikePoints_364,"Store Street, Bloomsbury",true
002690,false,false,1290603600000,,BikePoints_365,"City Road, Angel",true
002680,false,false,,,BikePoints_367,"Harrowby Street, Marylebone",true
002681,false,false,1291201680000,,BikePoints_368,"Harriet Street, Knightsbridge",true
002670,false,false,1291647300000,,BikePoints_370,"Paddington Green, Paddington",true
002639,false,false,1291712820000,,BikePoints_371,"King Edward Walk, Waterloo",true
002649,false,false,1291713000000,,BikePoints_372,"Sardinia Street, Holborn",true
003499,false,false,1295428320000,,BikePoints_373,"Prince Consort Road, Knightsbridge",true
002696,false,false,1291725720000,,BikePoints_374,"Waterloo Station 1, Waterloo",true
010632,false,false,1291805820000,,BikePoints_375,"Kensington Town Hall, Kensington",true
002683,false,false,1294660980000,,BikePoints_376,"Millbank Tower, Pimlico",true
002648,false,false,1295265420000,,BikePoints_377,"Waterloo Bridge, South Bank",true
002677,false,false,1296121500000,,BikePoints_378,"Natural History Museum, South Kensington",true
002682,false,false,1296121680000,,BikePoints_379,"Turquoise Island, Notting Hill",true
003506,false,false,1296125400000,,BikePoints_380,"Stanhope Gate, Mayfair",true
002669,false,false,1296203760000,,BikePoints_381,"Charlotte Street, Fitzrovia",true
002678,false,false,1297159320000,,BikePoints_382,"Farm Street, Mayfair",true
002660,false,false,1296649200000,,BikePoints_383,"Frith Street, Soho",true
003505,false,false,1296731880000,,BikePoints_384,"Marloes Road, Kensington",true
003504,false,false,1296732540000,,BikePoints_386,"Moor Street, Soho",true
002703,false,false,1297077540000,,BikePoints_387,"Fire Brigade Pier, Vauxhall",true
001228,false,false,1297182180000,,BikePoints_388,"Southampton Street, Strand",true
010621,false,false,1297347960000,,BikePoints_389,"Upper Grosvenor Street, Mayfair",true
001223,false,false,1297764360000,,BikePoints_390,"Buxton Street 1, Shoreditch",true
002688,false,false,1297956480000,1539846000000,BikePoints_391,"Clifford Street, Mayfair",true
001220,false,false,1297958700000,,BikePoints_392,"Imperial College, Knightsbridge",true
002699,false,false,1298545440000,,BikePoints_393,"Snow Hill, Farringdon",true
002698,false,false,,,BikePoints_394,"Aberdeen Place, St. John's Wood",true
002695,false,false,1298908800000,,BikePoints_395,"Cadogan Gardens, Chelsea",true
002693,false,false,1299075120000,,BikePoints_396,"Shouldham Street, Marylebone",true
001227,false,false,1299075900000,,BikePoints_397,"Devonshire Terrace, Bayswater",true
010631,false,false,1299076440000,,BikePoints_398,"Holland Park, Kensington",true
002687,false,false,1299582900000,,BikePoints_399,"Brick Lane Market, Shoreditch",true
001225,false,false,1299583260000,,BikePoints_400,"George Street, Marylebone",true
002701,false,false,1299592500000,,BikePoints_401,"Columbia Road, Shoreditch",true
010625,false,false,1299592860000,,BikePoints_402,"Penfold Street, Marylebone",true
