locked,common_name,installed,removal_date,temporary,terminal_name,install_date,place_id
false,"Wellington Street , Strand",true,,false,001202,1280158740000,BikePoints_338
false,"Risinghill Street, Angel",true,,false,001127,1280160600000,BikePoints_339
false,"Bank of England Museum, Bank",true,,false,001201,1280248620000,BikePoints_340
false,"Craven Street, Strand",true,,false,001160,1280222160000,BikePoints_341
false,"London Zoo Car Park, The Regent's Park",true,,false,001188,1280224260000,BikePoints_343
false,"Goswell Road (City Uni), Finsbury",true,,false,001222,1280226120000,BikePoints_344
false,"Flood Street, Chelsea",true,,false,001218,1280229720000,BikePoints_345
false,"Lower Marsh, Waterloo",true,,false,001219,1283762460000,BikePoints_347
false,"Grosvenor Square, Mayfair",true,,false,010627,1284540540000,BikePoints_348
false,"St. George Street, Mayfair",true,,false,001221,1284543120000,BikePoints_349
false,"Queen's Gate, Kensington Gardens",true,,false,001231,1285756260000,BikePoints_350
false,"Macclesfield Rd, St Lukes",true,,false,001226,1286790480000,BikePoints_351
false,"Vauxhall Street, Vauxhall",true,,false,001224,1286796360000,BikePoints_352
false,"Greycoat Street , Westminster",true,,false,010623,1287652080000,BikePoints_353
false,"Northumberland Avenue, Strand",true,,false,001097,,BikePoints_354
false,"Clapham Common Station, Clapham Common",true,,false,002694,1287752460000,BikePoints_355
false,"South Kensington Station, South Kensington",true,,false,002685,1288009080000,BikePoints_356
false,"Howland Street, Fitzrovia",true,,false,002691,1288092420000,BikePoints_357
false,"High Holborn , Covent Garden",true,,false,001229,1290079860000,BikePoints_358
false,"Butler Place, Westminster",true,,false,002662,1288950960000,BikePoints_359
false,"Howick Place, Westminster",true,,false,002666,1288958160000,BikePoints_360
false,"Waterloo Station 2, Waterloo",true,,false,002692,1291902600000,BikePoints_361
false,"Royal College Street, Camden Town",true,,false,002686,1290080220000,BikePoints_362
false,"Lord's, St. John's Wood",true,,false,002665,1289911800000,BikePoints_363
false,"Store Street, Bloomsbury",true,,false,003507,1290080640000,BikePoints_364
false,"City Road, Angel",true,,false,002690,1290603600000,BikePoints_365
false,"Millennium Hotel, Mayfair",true,,false,001230,1290686880000,BikePoints_366
false,"Harrowby Street, Marylebone",true,,false,002680,,BikePoints_367
false,"Harriet Street, Knightsbridge",true,,false,002681,1291201680000,BikePoints_368
false,"Paddington Green, Paddington",true,,false,002670,1291647300000,BikePoints_370
false,"King Edward Walk, Waterloo",true,,false,002639,1291712820000,BikePoints_371
false,"Sardinia Street, Holborn",true,,false,002649,1291713000000,BikePoints_372
false,"Prince Consort Road, Knightsbridge",true,,false,003499,1295428320000,BikePoints_373
false,"Waterloo Station 1, Waterloo",true,,false,002696,1291725720000,BikePoints_374
false,"Kensington Town Hall, Kensington",true,,false,010632,1291805820000,BikePoints_375
false,"Millbank Tower, Pimlico",true,,false,002683,1294660980000,BikePoints_376
false,"Waterloo Bridge, South Bank",true,,false,002648,1295265420000,BikePoints_377
false,"Natural History Museum, South Kensington",true,,false,002677,1296121500000,BikePoints_378
false,"Turquoise Island, Notting Hill",true,,false,002682,1296121680000,BikePoints_379
false,"Stanhope Gate, Mayfair",true,,false,003506,1296125400000,BikePoints_380
false,"Charlotte Street, Fitzrovia",true,,false,002669,1296203760000,BikePoints_381
false,"Farm Street, Mayfair",true,,false,002678,1297159320000,BikePoints_382
false,"Frith Street, Soho",true,,false,002660,1296649200000,BikePoints_383
false,"Marloes Road, Kensington",true,,false,003505,1296731880000,BikePoints_384
false,"Moor Street, Soho",true,,false,003504,1296732540000,BikePoints_386
false,"Fire Brigade Pier, Vauxhall",true,,false,002703,1297077540000,BikePoints_387
false,"Southampton Street, Strand",true,,false,001228,1297182180000,BikePoints_388
false,"Upper Grosvenor Street, Mayfair",true,,false,010621,1297347960000,BikePoints_389
false,"Buxton Street 1, Shoreditch",true,,false,001223,1297764360000,BikePoints_390
false,"Clifford Street, Mayfair",true,1539846000000,false,002688,1297956480000,BikePoints_391
false,"Imperial College, Knightsbridge",true,,false,001220,1297958700000,BikePoints_392
false,"Snow Hill, Farringdon",true,,false,002699,1298545440000,BikePoints_393
false,"Aberdeen Place, St. John's Wood",true,,false,002698,,BikePoints_394
false,"Cadogan Gardens, Chelsea",true,,false,002695,1298908800000,BikePoints_395
false,"Shouldham Street, Marylebone",true,,false,002693,1299075120000,BikePoints_396
false,"Devonshire Terrace, Bayswater",true,,false,001227,1299075900000,BikePoints_397
false,"Holland Park, Kensington",true,,false,010631,1299076440000,BikePoints_398
false,"Brick Lane Market, Shoreditch",true,,false,002687,1299582900000,BikePoints_399
false,"George Street, Marylebone",true,,false,001225,1299583260000,BikePoints_400
false,"Columbia Road, Shoreditch",true,,false,002701,1299592500000,BikePoints_401
false,"Penfold Street, Marylebone",true,,false,010625,1299592860000,BikePoints_402
false,"George Place Mews, Marylebone",true,,false,010630,1299593640000,BikePoints_403
false,"Palace Gate, Kensington Gardens",true,,false,001110,1299669180000,BikePoints_404
false,"Gloucester Road Station, South Kensington",true,,false,001107,1299669300000,BikePoints_405
false,"Sun Street, Liverpool Street",true,,false,001129,,BikePoints_408
false,"Strata, Elephant & Castle",true,,false,010624,,BikePoints_409
false,"Edgware Road Station, Marylebone",true,,false,001058,,BikePoints_410
false,"Rotherhithe Roundabout, Rotherhithe",true,,false,010629,,BikePoints_411
false,"Cleaver Street, Kennington",true,,false,010628,1302006180000,BikePoints_412
false,"Chelsea Bridge, Pimlico",true,,false,022160,1308735300000,BikePoints_419
false,"Southwark Station 1, Southwark",true,,false,022162,1309258380000,BikePoints_420
false,"Southwark Station 2, Southwark",true,,false,022163,1309258440000,BikePoints_421
false,"Eaton Square (South), Belgravia",true,,false,022164,1309860240000,BikePoints_423
false,"Ebury Bridge, Pimlico",true,,false,022159,1324551120000,BikePoints_424
false,"Vincent Street, Pimlico",true,,false,022161,1310463720000,BikePoints_426
false,"Cheapside, Bank",true,,false,022180,1310725680000,BikePoints_427
false,"Exhibition Road, Knightsbridge",true,,false,022179,1318496100000,BikePoints_428
false,"South Parade, Chelsea",true,,false,022182,1324549980000,BikePoints_430
false,"Crinan Street, King's Cross",true,,false,022183,1323355020000,BikePoints_431
false,"Exhibition Road Museums 1, South Kensington",true,,false,022158,1319448720000,BikePoints_432
false,"Shoreditch Court, Haggerston",true,,false,200121,1384254300000,BikePoints_698
false,"Belford House, Haggerston",true,,false,200057,1384256040000,BikePoints_699
false,"Battersea Church Road, Battersea",true,,false,200201,1384343280000,BikePoints_700
false,"Vicarage Crescent, Battersea",true,,false,200077,1384345080000,BikePoints_701
false,"Durant Street, Bethnal Green",true,,false,200213,1384345860000,BikePoints_702
false,"St. Bride Street, Holborn",true,,false,200094,1384357800000,BikePoints_703
false,"Mexfield Road, East Putney",true,,false,200063,1384443480000,BikePoints_704
false,"Upper Richmond Road, Putney",true,1539845700000,true,300042,1384453020000,BikePoints_705
false,"Snowsfields, London Bridge",true,,false,200193,1384420920000,BikePoints_706
false,"Barons Court Station, West Kensington",true,,false,200197,1384435680000,BikePoints_707
false,"Disraeli Road, Putney",true,,false,200217,1384530180000,BikePoints_708
false,"Montserrat Road , Putney",true,,false,200205,1384510140000,BikePoints_709
false,"Albert Bridge Road, Battersea Park",true,,false,300045,1384520580000,BikePoints_710
false,"Everington Street, Fulham",true,,false,300028,1384791540000,BikePoints_711
false,"Mile End Stadium, Mile End",true,,false,300056,1384797120000,BikePoints_712
false,"Hawley Crescent, Camden Town",true,,false,200122,1384774620000,BikePoints_713
false,"Stewart's Road, Wandsworth Road",true,,false,300055,1384865400000,BikePoints_714
false,"Aylward Street, Stepney",true,,false,300049,1384868460000,BikePoints_715
false,"Stainsby Road , Poplar",true,,false,300048,1384873500000,BikePoints_716
false,"Dunston Road , Haggerston",true,,false,300024,1384952400000,BikePoints_717
false,"Ada Street, Hackney Central",true,,false,300040,1384962840000,BikePoints_718
false,"Victoria Park Road, Hackney Central",true,,false,300011,1384968480000,BikePoints_719
false,"Star Road, West Kensington",true,,false,300038,1385025840000,BikePoints_720
false,"Wendon Street, Old Ford",true,,false,300039,1385028480000,BikePoints_721
false,"Finnis Street, Bethnal Green",true,,false,300041,1385028600000,BikePoints_722
false,"Stephendale Road, Sands End",true,,false,300053,1385035380000,BikePoints_723
false,"Alma Road, Wandsworth",true,,false,300046,1385125380000,BikePoints_724
false,"Walworth Square, Walworth",true,,false,300050,1563352500000,BikePoints_725
false,"Alfreda Street, Battersea Park",true,,false,300047,1385128740000,BikePoints_726
false,"Chesilton Road, Fulham",true,,false,300054,1385132160000,BikePoints_727
false,"Putney Bridge Road, East Putney",true,,false,300044,1385466780000,BikePoints_728
false,"St. Peter's Terrace, Fulham",true,,false,300043,1385391300000,BikePoints_729
false,"Bridge Avenue, Hammersmith",true,,false,300082,1385132580000,BikePoints_730
false,"Michael Road, Walham Green",true,,false,300095,1385394720000,BikePoints_731
false,"Duke Street Hill, London Bridge",true,,false,300083,1385458020000,BikePoints_732
false,"Park Lane, Mayfair",true,,false,300093,1385460840000,BikePoints_733
false,"Plough Terrace, Clapham Junction",true,,false,300094,1385464500000,BikePoints_734
false,"Grant Road East, Clapham Junction",true,,false,200120,1385383080000,BikePoints_735
false,"Queensdale Road, Shepherd's Bush",true,,false,300088,1385472900000,BikePoints_736
false,"Fulham Broadway, Walham Green",true,,false,300086,1385554620000,BikePoints_737
false,"Imperial Road, Sands End",true,,false,300087,1385563380000,BikePoints_738
false,"Hortensia Road, West Brompton",true,,false,300091,1385631000000,BikePoints_739
false,"Sirdar Road, Avondale",true,,false,300084,1385635440000,BikePoints_740
false,"Freston Road, Avondale",true,,false,300085,1385640120000,BikePoints_741
false,"Blenheim Crescent, Ladbroke Grove",true,,false,300090,1385649540000,BikePoints_742
false,"Oxford Road, Putney",true,,false,300078,1385723700000,BikePoints_743
false,"Ingrave Street, Clapham Junction",true,,false,300077,1385729760000,BikePoints_744
false,"Upcerne Road, West Chelsea",true,,false,300075,1385740020000,BikePoints_745
false,"Lots Road, West Chelsea",true,,false,300076,1385985720000,BikePoints_746
false,"Ormonde Gate, Chelsea",true,,false,300089,1385997240000,BikePoints_747
false,"Hertford Road, De Beauvoir Town",true,,false,300092,1386159900000,BikePoints_748
false,"Haggerston Road, Haggerston",true,,false,300081,1386172440000,BikePoints_749
false,"Culvert Road, Battersea",true,,false,300080,1386240360000,BikePoints_750
false,"Newton Street, Covent Garden",true,,false,300074,1386250800000,BikePoints_751
false,"London Street, Paddington",true,,false,300079,1650364320000,BikePoints_752
false,"Grenfell Road, Avondale",true,,false,300067,1389003540000,BikePoints_754
