removal_date,common_name,install_date,temporary,place_id,installed,locked,terminal_name
,"Concert Hall Approach 2, South Bank",1280152800000,false,BikePoints_336,true,false,001212
,"Pembridge Villas, Notting Hill",1280153100000,false,BikePoints_337,true,false,002589
,"Wellington Street , Strand",1280158740000,false,BikePoints_338,true,false,001202
,"Risinghill Street, Angel",1280160600000,false,BikePoints_339,true,false,001127
,"Bank of England Museum, Bank",1280248620000,false,BikePoints_340,true,false,001201
,"Craven Street, Strand",1280222160000,false,BikePoints_341,true,false,001160
,"London Zoo Car Park, The Regent's Park",1280224260000,false,BikePoints_343,true,false,001188
,"Goswell Road (City Uni), Finsbury",1280226120000,false,BikePoints_344,true,false,001222
,"Flood Street, Chelsea",1280229720000,false,BikePoints_345,true,false,001218
,"Lower Marsh, Waterloo",1283762460000,false,BikePoints_347,true,false,001219
,"Grosvenor Square, Mayfair",1284540540000,false,BikePoints_348,true,false,010627
,"St. George Street, Mayfair",1284543120000,false,BikePoints_349,true,false,001221
,"Queen's Gate, Kensington Gardens",1285756260000,false,BikePoints_350,true,false,001231
,"Macclesfield Rd, St Lukes",1286790480000,false,BikePoints_351,true,false,001226
,"Vauxhall Street, Vauxhall",1286796360000,false,BikePoints_352,true,false,001224
,"Greycoat Street , Westminster",1287652080000,false,BikePoints_353,true,false,010623
,"Northumberland Avenue, Strand",,false,BikePoints_354,true,false,001097
,"Clapham Common Station, Clapham Common",1287752460000,false,BikePoints_355,true,false,002694
,"South Kensington Station, South Kensington",1288009080000,false,BikePoints_356,true,false,002685
,"Howland Street, Fitzrovia",1288092420000,false,BikePoints_357,true,false,002691
,"High Holborn , Covent Garden",1290079860000,false,BikePoints_358,true,false,001229
,"Butler Place, Westminster",1288950960000,false,BikePoints_359,true,false,002662
,"Howick Place, Westminster",1288958160000,false,BikePoints_360,true,false,002666
,"Waterloo Station 2, Waterloo",1291902600000,false,BikePoints_361,true,false,002692
,"Royal College Street, Camden Town",1290080220000,false,BikePoints_362,true,false,002686
,"Lord's, St. John's Wood",1289911800000,false,BikePoints_363,true,false,002665
,"Store Street, Bloomsbury",1290080640000,false,BikePoints_364,true,false,003507
,"City Road, Angel",1290603600000,false,BikePoints_365,true,false,002690
,"Harrowby Street, Marylebone",,false,BikePoints_367,true,false,002680
