locked,install_date,terminal_name,removal_date,place_id,temporary,common_name,installed
false,1323355020000,022183,,BikePoints_431,false,"Crinan Street, King's Cross",true
false,1319448720000,022158,,BikePoints_432,false,"Exhibition Road Museums 1, South Kensington",true
false,1323361560000,022169,,BikePoints_433,false,"Wren Street, Holborn",true
false,1323346020000,022170,,BikePoints_435,false,"Kennington Station, Kennington",true
false,1323350220000,022171,,BikePoints_436,false,"Red Lion Street, Holborn",true
false,1325746380000,200056,,BikePoints_437,false,"Vauxhall Walk, Vauxhall",true
false,1325705460000,200053,,BikePoints_439,false,"Killick Street, King's Cross",true
false,1325708160000,200032,,BikePoints_440,false,"Kennington Oval, Oval",true
false,1325711220000,200039,,BikePoints_441,false,"Sail Street, Vauxhall",true
false,1325940420000,200035,,BikePoints_442,false,"Walmer Road, Avondale",true
false,1325941800000,200033,,BikePoints_443,false,"Philpot Street, Whitechapel",true
false,1325944680000,200047,,BikePoints_444,false,"Bethnal Green Garden, Bethnal Green",true
false,1325945820000,200003,,BikePoints_445,false,"Cheshire Street, Bethnal Green",true
false,1325948880000,200042,,BikePoints_446,false,"York Hall, Bethnal Green",true
false,1325949000000,200054,,BikePoints_447,false,"Jubilee Crescent, Cubitt Town",true
false,1325952660000,022165,,BikePoints_448,false,"Fisherman's Walk West, Canary Wharf",true
false,1325952900000,200020,,BikePoints_449,false,"Shadwell Station, Shadwell",true
false,1326105240000,200002,,BikePoints_450,false,"Jubilee Street, Stepney",true
false,1325501400000,200021,,BikePoints_451,false,"Hermitage Court, Wapping",true
false,1326109140000,200049,,BikePoints_452,false,"St. Katharine's Way, Tower",true
false,1326111060000,200045,,BikePoints_453,false,"Garnet Street, Shadwell",true
false,1326115380000,200046,,BikePoints_454,false,"Napier Avenue, Millwall",true
false,1326117780000,200031,,BikePoints_455,false,"East Ferry Road, Cubitt Town",true
false,1326197580000,200118,,BikePoints_456,false,"Parkway, Camden Town",true
false,1326203280000,200016,,BikePoints_457,false,"Castlehaven Road, Camden Town",true
false,1326294780000,200034,,BikePoints_458,false,"Wapping Lane, Wapping",true
false,,200014,,BikePoints_459,false,"Gunmakers Lane, Old Ford",true
