place_id,installed,temporary,terminal_name,removal_date,install_date,locked,common_name
BikePoints_266,true,false,001204,,1279714560000,false,"Queen's Gate (North), Kensington"
BikePoints_268,true,false,001087,,1279714920000,false,"Belgrave Road, Victoria"
BikePoints_273,true,false,001186,,1279721400000,false,"Belvedere Road 1, South Bank"
BikePoints_275,true,false,001191,,1279721880000,false,"Barbican Centre, Barbican"
BikePoints_278,true,false,001142,,1279723500000,false,"Tooley Street, Bermondsey"
BikePoints_282,true,false,001077,,1279726980000,false,"Royal London Hospital, Whitechapel"
BikePoints_286,true,false,001187,,1279727880000,false,"St. John's Wood Road, St. John's Wood"
BikePoints_292,true,false,001206,,1279800600000,false,"Montpelier Street, Knightsbridge"
BikePoints_294,true,false,001195,,1279800900000,false,"St. George's Square, Pimlico"
BikePoints_299,true,false,001196,,1279808160000,false,"Vincent Square, Westminster"
BikePoints_308,true,false,001189,,1279816740000,false,"Long Lane , Bermondsey"
BikePoints_309,true,false,001192,,1279875060000,false,"Embankment (Savoy), Strand"
BikePoints_310,true,false,001205,,1279879560000,false,"Black Prince Road, Vauxhall"
BikePoints_315,true,false,001199,,1279884660000,false,"The Tennis Courts, The Regent's Park"
BikePoints_318,true,false,001197,,1279885320000,false,"Sackville Street, Mayfair"
BikePoints_324,true,false,001200,,1279894920000,false,"Ontario Street, Elephant & Castle"
BikePoints_325,true,false,001158,,1279896660000,false,"St. Martin's Street, West End"
BikePoints_330,true,false,001203,,1280141280000,false,"Eastbourne Mews, Paddington"
BikePoints_338,true,false,001202,,1280158740000,false,"Wellington Street , Strand"
BikePoints_340,true,false,001201,,1280248620000,false,"Bank of England Museum, Bank"
BikePoints_343,true,false,001188,,1280224260000,false,"London Zoo Car Park, The Regent's Park"
BikePoints_354,true,false,001097,,,false,"Northumberland Avenue, Strand"
BikePoints_355,true,false,002694,,1287752460000,false,"Clapham Common Station, Clapham Common"
BikePoints_356,true,false,002685,,1288009080000,false,"South Kensington Station, South Kensington"
BikePoints_357,true,false,002691,,1288092420000,false,"Howland Street, Fitzrovia"
BikePoints_362,true,false,002686,,1290080220000,false,"Royal College Street, Camden Town"
BikePoints_365,true,false,002690,,1290603600000,false,"City Road, Angel"
BikePoints_381,true,false,002669,,1296203760000,false,"Charlotte Street, Fitzrovia"
BikePoints_387,true,false,002703,,1297077540000,false,"Fire Brigade Pier, Vauxhall"
BikePoints_393,true,false,002699,,1298545440000,false,"Snow Hill, Farringdon"
BikePoints_394,true,false,002698,,,false,"Aberdeen Place, St. John's Wood"
BikePoints_395,true,false,002695,,1298908800000,false,"Cadogan Gardens, Chelsea"
BikePoints_396,true,false,002693,,1299075120000,false,"Shouldham Street, Marylebone"
BikePoints_399,true,false,002687,,1299582900000,false,"Brick Lane Market, Shoreditch"
BikePoints_401,true,false,002701,,1299592500000,false,"Columbia Road, Shoreditch"
BikePoints_405,true,false,001107,,1299669300000,false,"Gloucester Road Station, South Kensington"
BikePoints_410,true,false,001058,,,false,"Edgware Road Station, Marylebone"
BikePoints_818,true,false,300249,,1563958740000,false,"Westminster Pier, Westminster"
BikePoints_840,true,false,002679,,1599752640000,false,"George Row, Bermondsey"
BikePoints_845,true,false,300253,,1608303660000,false,"Bermondsey Station, Bermondsey"
BikePoints_1,true,false,001023,,1278947280000,false,"River Street , Clerkenwell"
BikePoints_2,true,false,001018,,1278585780000,false,"Phillimore Gardens, Kensington"
BikePoints_3,true,false,001012,,1278240360000,false,"Christopher Street, Liverpool Street"
BikePoints_6,true,false,003424,,1278241680000,false,"Broadcasting House, Marylebone"
BikePoints_7,true,false,003422,,1278241800000,false,"Charlbert Street, St. John's Wood"
BikePoints_8,true,false,003423,,1540984560000,false,"Maida Vale, Maida Vale"
BikePoints_9,true,false,001015,,1278242340000,false,"New Globe Walk, Bankside"
BikePoints_10,true,false,001024,,1278242460000,false,"Park Street, Bankside"
BikePoints_11,true,false,001022,,1278340440000,false,"Brunswick Square, Bloomsbury"
BikePoints_12,true,false,000980,,1278340620000,false,"Malet Street, Bloomsbury"
BikePoints_14,true,false,001011,,1278341040000,false,"Belgrove Street , King's Cross"
BikePoints_16,true,false,001010,,1278341400000,false,"Cartwright Gardens , Bloomsbury"
BikePoints_17,true,false,001008,,1278423720000,false,"Hatton Wall, Holborn"
BikePoints_18,true,false,001007,,1278426300000,false,"Drury Lane, Covent Garden"
BikePoints_19,true,false,001009,,1278426720000,false,"Taviton Street, Bloomsbury"
BikePoints_20,true,false,000993,,1544659200000,false,"Drummond Street , Euston"
BikePoints_21,true,false,003426,,1278427740000,false,"Lansdowne Drive, Hackney Central"
BikePoints_22,true,false,003425,,1278428880000,false,"Northington Street , Holborn"
BikePoints_24,true,false,000981,,1278430140000,false,"British Museum, Bloomsbury"
BikePoints_26,true,false,001019,,1278434160000,false,"Ampton Street , Clerkenwell"
BikePoints_27,true,false,001021,,1278500160000,false,"Bouverie Street, Temple"
BikePoints_28,true,false,001025,,1278500460000,false,"Bolsover Street, Fitzrovia"
BikePoints_29,true,false,001016,,1278501180000,false,"Hereford Road, Bayswater"
BikePoints_30,true,false,001029,,1278501420000,false,"Windsor Terrace, Hoxton"
BikePoints_31,true,false,003427,,1278501600000,false,"Fanshaw Street, Hoxton"
BikePoints_32,true,false,001020,,1278506700000,false,"Leonard Circus , Shoreditch"
BikePoints_33,true,false,003430,,1278506940000,false,"Central House, Aldgate"
BikePoints_34,true,false,003428,,1278507060000,false,"Pancras Road, King's Cross"
BikePoints_36,true,false,003446,,1278519900000,false,"De Vere Gardens, Kensington"
BikePoints_37,true,false,003444,,1278520020000,false,"Penywern Road, Earl's Court"
BikePoints_38,true,false,003442,,1278584880000,false,"Abingdon Villas, Kensington"
