terminal_name,temporary,common_name,locked,removal_date,installed,install_date,place_id
001127,false,"Risinghill Street, Angel",false,,true,1280160600000,BikePoints_339
001201,false,"Bank of England Museum, Bank",false,,true,1280248620000,BikePoints_340
001160,false,"Craven Street, Strand",false,,true,1280222160000,BikePoints_341
001188,false,"London Zoo Car Park, The Regent's Park",false,,true,1280224260000,BikePoints_343
001222,false,"Goswell Road (City Uni), Finsbury",false,,true,1280226120000,BikePoints_344
001218,false,"Flood Street, Chelsea",false,,true,1280229720000,BikePoints_345
001219,false,"Lower Marsh, Waterloo",false,,true,1283762460000,BikePoints_347
010627,false,"Grosvenor Square, Mayfair",false,,true,1284540540000,BikePoints_348
001221,false,"St. George Street, Mayfair",false,,true,1284543120000,BikePoints_349
001231,false,"Queen's Gate, Kensington Gardens",false,,true,1285756260000,BikePoints_350
001226,false,"Macclesfield Rd, St Lukes",false,,true,1286790480000,BikePoints_351
001224,false,"Vauxhall Street, Vauxhall",false,,true,1286796360000,BikePoints_352
010623,false,"Greycoat Street , Westminster",false,,true,1287652080000,BikePoints_353
001097,false,"Northumberland Avenue, Strand",false,,true,,BikePoints_354
002694,false,"Clapham Common Station, Clapham Common",false,,true,1287752460000,BikePoints_355
002685,false,"South Kensington Station, South Kensington",false,,true,1288009080000,BikePoints_356
002691,false,"Howland Street, Fitzrovia",false,,true,1288092420000,BikePoints_357
001229,false,"High Holborn , Covent Garden",false,,true,1290079860000,BikePoints_358
002662,false,"Butler Place, Westminster",false,,true,1288950960000,BikePoints_359
002666,false,"Howick Place, Westminster",false,,true,1288958160000,BikePoints_360
002692,false,"Waterloo Station 2, Waterloo",false,,true,1291902600000,BikePoints_361
002686,false,"Royal College Street, Camden Town",false,,true,1290080220000,BikePoints_362
002665,false,"Lord's, St. John's Wood",false,,true,1289911800000,BikePoints_363
003507,false,"Store Street, Bloomsbury",false,,true,1290080640000,BikePoints_364
002690,false,"City Road, Angel",false,,true,1290603600000,BikePoints_365
002680,false,"Harrowby Street, Marylebone",false,,true,,BikePoints_367
002681,false,"Harriet Street, Knightsbridge",false,,true,1291201680000,BikePoints_368
002670,false,"Paddington Green, Paddington",false,,true,1291647300000,BikePoints_370
002639,false,"King Edward Walk, Waterloo",false,,true,1291712820000,BikePoints_371
002649,false,"Sardinia Street, Holborn",false,,true,1291713000000,BikePoints_372
003499,false,"Prince Consort Road, Knightsbridge",false,,true,1295428320000,BikePoints_373
002696,false,"Waterloo Station 1, Waterloo",false,,true,1291725720000,BikePoints_374
010632,false,"Kensington Town Hall, Kensington",false,,true,1291805820000,BikePoints_375
002683,false,"Millbank Tower, Pimlico",false,,true,1294660980000,BikePoints_376
002648,false,"Waterloo Bridge, South Bank",false,,true,1295265420000,BikePoints_377
002677,false,"Natural History Museum, South Kensington",false,,true,1296121500000,BikePoints_378
