common_name,terminal_name,installed,install_date,locked,place_id,temporary,removal_date
"Red Lion Street, Holborn",022171,true,1323350220000,false,BikePoints_436,false,
"Vauxhall Walk, Vauxhall",200056,true,1325746380000,false,BikePoints_437,false,
"Killick Street, King's Cross",200053,true,1325705460000,false,BikePoints_439,false,
"Kennington Oval, Oval",200032,true,1325708160000,false,BikePoints_440,false,
"Sail Street, Vauxhall",200039,true,1325711220000,false,BikePoints_441,false,
"Walmer Road, Avondale",200035,true,1325940420000,false,BikePoints_442,false,
"Philpot Street, Whitechapel",200033,true,1325941800000,false,BikePoints_443,false,
"Bethnal Green Garden, Bethnal Green",200047,true,1325944680000,false,BikePoints_444,false,
"Cheshire Street, Bethnal Green",200003,true,1325945820000,false,BikePoints_445,false,
"York Hall, Bethnal Green",200042,true,1325948880000,false,BikePoints_446,false,
"Jubilee Crescent, Cubitt Town",200054,true,1325949000000,false,BikePoints_447,false,
"Fisherman's Walk West, Canary Wharf",022165,true,1325952660000,false,BikePoints_448,false,
"Shadwell Station, Shadwell",200020,true,1325952900000,false,BikePoints_449,false,
"Jubilee Street, Stepney",200002,true,1326105240000,false,BikePoints_450,false,
"Hermitage Court, Wapping",200021,true,1325501400000,false,BikePoints_451,false,
"St. Katharine's Way, Tower",200049,true,1326109140000,false,BikePoints_452,false,
"Garnet Street, Shadwell",200045,true,1326111060000,false,BikePoints_453,false,
"Napier Avenue, Millwall",200046,true,1326115380000,false,BikePoints_454,false,
"East Ferry Road, Cubitt Town",200031,true,1326117780000,false,BikePoints_455,false,
"Parkway, Camden Town",200118,true,1326197580000,false,BikePoints_456,false,
"Castlehaven Road, Camden Town",200016,true,1326203280000,false,BikePoints_457,false,
"Wapping Lane, Wapping",200034,true,1326294780000,false,BikePoints_458,false,
"Gunmakers Lane, Old Ford",200014,true,,false,BikePoints_459,false,
"Burdett Road, Mile End",200123,true,1326284820000,false,BikePoints_460,false,
"Aston Street, Stepney",200013,true,1326293640000,false,BikePoints_461,true,
"Bonny Street, Camden Town",200105,true,1326294600000,false,BikePoints_462,false,
"Thurtle Road, Haggerston",200093,true,,false,BikePoints_463,false,
"St. Mary & St. Michael Church, Stepney",200082,true,1326304980000,false,BikePoints_464,false,
"Pitfield Street North,Hoxton",200152,true,1333613280000,false,BikePoints_465,false,
"Whiston Road, Haggerston",200158,true,1326360000000,false,BikePoints_466,false,
"Southern Grove, Bow",200168,true,1326374040000,false,BikePoints_467,false,
"Cantrell Road, Bow",200150,true,1326375720000,false,BikePoints_468,false,
"Lindfield Street, Poplar",022178,true,1326381060000,false,BikePoints_469,false,
"Mostyn Grove, Bow",200174,true,1326790620000,false,BikePoints_470,false,
"Hewison Street, Old Ford",200006,true,1326790860000,false,BikePoints_471,false,
"Malmesbury Road, Bow",200019,true,1326791160000,false,BikePoints_472,false,
"Millharbour, Millwall",022167,true,1326816540000,false,BikePoints_473,false,
"Gascoyne Road, Victoria Park",200155,true,1326822960000,false,BikePoints_474,false,
"Lightermans Road, Millwall",200004,true,1326825480000,false,BikePoints_475,false,
"Stebondale Street, Cubitt Town",200009,true,1326962100000,false,BikePoints_476,false,
"Spindrift Avenue, Millwall",200018,true,1326963780000,false,BikePoints_477,false,
"Stepney Green Station, Stepney",200012,true,1326965580000,false,BikePoints_478,false,
"Pott Street, Bethnal Green",200156,true,1326966240000,false,BikePoints_479,false,
"Flamborough Street, Limehouse",200115,true,1326975420000,false,BikePoints_480,false,
"Saunders Ness Road, Cubitt Town",200022,true,1326996480000,false,BikePoints_481,false,
"Exhibition Road Museums 2, South Kensington",200052,true,1326996720000,false,BikePoints_482,false,
"Albert Gardens, Stepney",022166,true,1327088280000,false,BikePoints_483,false,
"Bromley High Street, Bow",022172,true,1327339740000,false,BikePoints_484,false,
"Old Ford Road, Bethnal Green",022173,true,1327255440000,false,BikePoints_485,false,
"Granby Street, Shoreditch",022174,true,1327338660000,false,BikePoints_486,false,
"Canton Street, Poplar",022175,true,1327936860000,false,BikePoints_487,false,
"Reardon Street, Wapping",022176,true,1327254960000,false,BikePoints_488,false,
"Pennington Street, Wapping",200090,true,,false,BikePoints_490,false,
"Queen Mary's, Mile End",200249,true,1327256220000,false,BikePoints_491,false,
"Maplin Street, Mile End",200230,true,1327256520000,false,BikePoints_492,false,
"South Quay East, Canary Wharf",200233,true,1327433220000,false,BikePoints_494,false,
"Bow Church Station, Bow",200252,true,1327340460000,false,BikePoints_495,false,
"Devons Road, Bow",200255,true,1327400820000,false,BikePoints_496,false,
"Merchant Street, Bow",200242,true,1327398420000,false,BikePoints_497,false,
"Bow Road Station, Bow",200251,true,1327398660000,false,BikePoints_498,false,
"Furze Green, Bow",200011,true,1327407960000,false,BikePoints_499,false,
"Ansell House, Stepney",200148,true,1327430040000,false,BikePoints_500,false,
