temporary,install_date,terminal_name,locked,common_name,installed,place_id,removal_date
false,1280160600000,001127,false,"Risinghill Street, Angel",true,BikePoints_339,
false,1280248620000,001201,false,"Bank of England Museum, Bank",true,BikePoints_340,
false,1280222160000,001160,false,"Craven Street, Strand",true,BikePoints_341,
false,1280224260000,001188,false,"London Zoo Car Park, The Regent's Park",true,BikePoints_343,
false,1280226120000,001222,false,"Goswell Road (City Uni), Finsbury",true,BikePoints_344,
false,1280229720000,001218,false,"Flood Street, Chelsea",true,BikePoints_345,
false,1283762460000,001219,false,"Lower Marsh, Waterloo",true,BikePoints_347,
false,1284540540000,010627,false,"Grosvenor Square, Mayfair",true,BikePoints_348,
false,1284543120000,001221,false,"St. George Street, Mayfair",true,BikePoints_349,
false,1285756260000,001231,false,"Queen's Gate, Kensington Gardens",true,BikePoints_350,
false,1286790480000,001226,false,"Macclesfield Rd, St Lukes",true,BikePoints_351,
false,1286796360000,001224,false,"Vauxhall Street, Vauxhall",true,BikePoints_352,
false,1287652080000,010623,false,"Greycoat Street , Westminster",true,BikePoints_353,
false,,001097,false,"Northumberland Avenue, Strand",true,BikePoints_354,
false,1287752460000,002694,false,"Clapham Common Station, Clapham Common",true,BikePoints_355,
false,1288009080000,002685,false,"South Kensington Station, South Kensington",true,BikePoints_356,
false,1288092420000,002691,false,"Howland Street, Fitzrovia",true,BikePoints_357,
false,1290079860000,001229,false,"High Holborn , Covent Garden",true,BikePoints_358,
false,1288950960000,002662,false,"Butler Place, Westminster",true,BikePoints_359,
false,1288958160000,002666,false,"Howick Place, Westminster",true,BikePoints_360,
false,1291902600000,002692,false,"Waterloo Station 2, Waterloo",true,BikePoints_361,
false,1290080220000,002686,false,"Royal College Street, Camden Town",true,BikePoints_362,
false,1289911800000,002665,false,"Lord's, St. John's Wood",true,BikePoints_363,
false,1290080640000,003507,false,"Store Street, Bloomsbury",true,BikePoints_364,
false,1290603600000,002690,false,"City Road, Angel",true,BikePoints_365,
false,,002680,false,"Harrowby Street, Marylebone",true,BikePoints_367,
false,1291201680000,002681,false,"Harriet Street, Knightsbridge",true,BikePoints_368,
false,1291647300000,002670,false,"Paddington Green, Paddington",true,BikePoints_370,
false,1291712820000,002639,false,"King Edward Walk, Waterloo",true,BikePoints_371,
false,1291713000000,002649,false,"Sardinia Street, Holborn",true,BikePoints_372,
false,1295428320000,003499,false,"Prince Consort Road, Knightsbridge",true,BikePoints_373,
