installed,temporary,place_id,terminal_name,common_name,removal_date,locked,install_date
true,false,BikePoints_615,200029,"Finlay Street, Fulham",,false,1380288900000
true,false,BikePoints_616,200098,"Aintree Street, Fulham",,false,
true,false,BikePoints_617,200028,"Elysium Place, Fulham",,false,1380531540000
true,false,BikePoints_618,300003,"Eel Brook Common, Walham Green",,false,1380546540000
true,false,BikePoints_619,300012,"Irene Road, Parsons Green",,false,1380552360000
true,false,BikePoints_620,300010,"Surrey Lane, Battersea",,false,1380629040000
true,false,BikePoints_621,200091,"Wandsworth Town Station, Wandsworth",,false,1380899280000
true,false,BikePoints_622,200172,"Lansdowne Road, Ladbroke Grove",,false,1380901680000
true,false,BikePoints_623,200186,"Nantes Close, Wandsworth",,false,1381135320000
true,false,BikePoints_624,200173,"Courland Grove, Wandsworth Road",,false,1381224240000
true,false,BikePoints_625,200190,"Queen's Circus, Battersea Park",,false,1381227480000
true,false,BikePoints_626,300008,"Normand Park, West Kensington",,false,1381920300000
true,false,BikePoints_627,200007,"Holden Street, Battersea",,false,1381931400000
true,false,BikePoints_628,200062,"William Morris Way, Sands End",,false,1381414980000
true,false,BikePoints_629,200187,"Morie Street, Wandsworth",,false,1381479480000
true,false,BikePoints_630,200194,"Clarence Walk, Stockwell",,false,1381487100000
true,false,BikePoints_631,200183,"Battersea Park Road, Nine Elms",,false,1381245300000
true,false,BikePoints_632,200176,"Sheepcote Lane, Battersea",,false,1381220700000
true,false,BikePoints_633,200116,"Vereker Road, West Kensington",,false,1381402920000
true,false,BikePoints_634,300002,"Brook Green South, Brook Green",,false,1381743780000
true,false,BikePoints_635,200215,"Greyhound Road, Hammersmith",,false,1381756440000
true,false,BikePoints_636,200180,"South Park, Sands End",,false,1381846320000
true,false,BikePoints_637,200191,"Spencer Park, Wandsworth Common",,false,1381933680000
true,false,BikePoints_638,300014,"Falcon Road, Clapham Junction",,false,1381834020000
true,false,BikePoints_639,200081,"Coomer Place, West Kensington",,false,1381835700000
true,false,BikePoints_640,200179,"Silverthorne Road, Battersea",,false,1382010420000
true,false,BikePoints_641,300025,"Archbishop's Park, Waterloo",,false,1381926900000
true,false,BikePoints_642,200192,"Fawcett Close, Battersea",,false,1381934220000
true,false,BikePoints_643,300026,"All Saints' Road, Portobello",,false,1382010720000
true,false,BikePoints_644,200182,"Rainville Road, Hammersmith",,false,1382278560000
true,false,BikePoints_645,200200,"Great Suffolk Street, The Borough",,false,1382110800000
true,false,BikePoints_646,200178,"Buckingham Gate, Westminster",,false,1382084340000
true,false,BikePoints_647,200181,"Richmond Way, Shepherd's Bush",,false,1382347140000
true,false,BikePoints_648,200171,"Peterborough Road, Sands End",,false,1382352840000
true,false,BikePoints_649,300009,"World's End Place, West Chelsea",,false,1382348400000
true,false,BikePoints_650,300034,"St. Mark's Road, North Kensington",,false,1382438520000
true,false,BikePoints_651,300030,"Thorndike Close, West Chelsea",,false,1382441580000
true,false,BikePoints_652,300022,"Evesham Street, Avondale",,false,1381848540000
true,false,BikePoints_653,200196,"Simpson Street, Clapham Junction",,false,1382539860000
true,false,BikePoints_654,200223,"Ashmole Estate, Oval",,false,1382520000000
true,false,BikePoints_655,200221,"Crabtree Lane, Fulham",,false,1382611200000
true,false,BikePoints_656,200040,"Broomhouse Lane, Parsons Green",,false,1382614560000
