install_date,locked,installed,place_id,removal_date,terminal_name,temporary,common_name
1279015800000,false,true,BikePoints_83,,003452,false,"Panton Street, West End"
1279020240000,false,true,BikePoints_84,,003449,false,"Breams Buildings, Holborn"
1280158740000,false,true,BikePoints_338,,001202,false,"Wellington Street , Strand"
1280160600000,false,true,BikePoints_339,,001127,false,"Risinghill Street, Angel"
1280248620000,false,true,BikePoints_340,,001201,false,"Bank of England Museum, Bank"
1280222160000,false,true,BikePoints_341,,001160,false,"Craven Street, Strand"
1280224260000,false,true,BikePoints_343,,001188,false,"London Zoo Car Park, The Regent's Park"
1280226120000,false,true,BikePoints_344,,001222,false,"Goswell Road (City Uni), Finsbury"
1280229720000,false,true,BikePoints_345,,001218,false,"Flood Street, Chelsea"
1283762460000,false,true,BikePoints_347,,001219,false,"Lower Marsh, Waterloo"
1284540540000,false,true,BikePoints_348,,010627,false,"Grosvenor Square, Mayfair"
1284543120000,false,true,BikePoints_349,,001221,false,"St. George Street, Mayfair"
1285756260000,false,true,BikePoints_350,,001231,false,"Queen's Gate, Kensington Gardens"
1286790480000,false,true,BikePoints_351,,001226,false,"Macclesfield Rd, St Lukes"
1286796360000,false,true,BikePoints_352,,001224,false,"Vauxhall Street, Vauxhall"
1287652080000,false,true,BikePoints_353,,010623,false,"Greycoat Street , Westminster"
,false,true,BikePoints_354,,001097,false,"Northumberland Avenue, Strand"
1287752460000,false,true,BikePoints_355,,002694,false,"Clapham Common Station, Clapham Common"
1288009080000,false,true,BikePoints_356,,002685,false,"South Kensington Station, South Kensington"
1288092420000,false,true,BikePoints_357,,002691,false,"Howland Street, Fitzrovia"
1290079860000,false,true,BikePoints_358,,001229,false,"High Holborn , Covent Garden"
1288950960000,false,true,BikePoints_359,,002662,false,"Butler Place, Westminster"
1288958160000,false,true,BikePoints_360,,002666,false,"Howick Place, Westminster"
1291902600000,false,true,BikePoints_361,,002692,false,"Waterloo Station 2, Waterloo"
1290080220000,false,true,BikePoints_362,,002686,false,"Royal College Street, Camden Town"
1289911800000,false,true,BikePoints_363,,002665,false,"Lord's, St. John's Wood"
1290080640000,false,true,BikePoints_364,,003507,false,"Store Street, Bloomsbury"
1290603600000,false,true,BikePoints_365,,002690,false,"City Road, Angel"
1290686880000,false,true,BikePoints_366,,001230,false,"Millennium Hotel, Mayfair"
,false,true,BikePoints_367,,002680,false,"Harrowby Street, Marylebone"
1291201680000,false,true,BikePoints_368,,002681,false,"Harriet Street, Knightsbridge"
1291647300000,false,true,BikePoints_370,,002670,false,"Paddington Green, Paddington"
1291712820000,false,true,BikePoints_371,,002639,false,"King Edward Walk, Waterloo"
1291713000000,false,true,BikePoints_372,,002649,false,"Sardinia Street, Holborn"
1295428320000,false,true,BikePoints_373,,003499,false,"Prince Consort Road, Knightsbridge"
1291725720000,false,true,BikePoints_374,,002696,false,"Waterloo Station 1, Waterloo"
1291805820000,false,true,BikePoints_375,,010632,false,"Kensington Town Hall, Kensington"
1294660980000,false,true,BikePoints_376,,002683,false,"Millbank Tower, Pimlico"
1295265420000,false,true,BikePoints_377,,002648,false,"Waterloo Bridge, South Bank"
1296121500000,false,true,BikePoints_378,,002677,false,"Natural History Museum, South Kensington"
1296121680000,false,true,BikePoints_379,,002682,false,"Turquoise Island, Notting Hill"
1296125400000,false,true,BikePoints_380,,003506,false,"Stanhope Gate, Mayfair"
1296203760000,false,true,BikePoints_381,,002669,false,"Charlotte Street, Fitzrovia"
1297159320000,false,true,BikePoints_382,,002678,false,"Farm Street, Mayfair"
1296649200000,false,true,BikePoints_383,,002660,false,"Frith Street, Soho"
1296731880000,false,true,BikePoints_384,,003505,false,"Marloes Road, Kensington"
1296732540000,false,true,BikePoints_386,,003504,false,"Moor Street, Soho"
1297077540000,false,true,BikePoints_387,,002703,false,"Fire Brigade Pier, Vauxhall"
1297182180000,false,true,BikePoints_388,,001228,false,"Southampton Street, Strand"
1297347960000,false,true,BikePoints_389,,010621,false,"Upper Grosvenor Street, Mayfair"
1297764360000,false,true,BikePoints_390,,001223,false,"Buxton Street 1, Shoreditch"
1297956480000,false,true,BikePoints_391,1539846000000,002688,false,"Clifford Street, Mayfair"
1297958700000,false,true,BikePoints_392,,001220,false,"Imperial College, Knightsbridge"
1298545440000,false,true,BikePoints_393,,002699,false,"Snow Hill, Farringdon"
,false,true,BikePoints_394,,002698,false,"Aberdeen Place, St. John's Wood"
1298908800000,false,true,BikePoints_395,,002695,false,"Cadogan Gardens, Chelsea"
