place_id,install_date,temporary,installed,locked,removal_date,common_name,terminal_name
BikePoints_339,1280160600000,false,true,false,,"Risinghill Street, Angel",001127
BikePoints_340,1280248620000,false,true,false,,"Bank of England Museum, Bank",001201
BikePoints_341,1280222160000,false,true,false,,"Craven Street, Strand",001160
BikePoints_343,1280224260000,false,true,false,,"London Zoo Car Park, The Regent's Park",001188
BikePoints_344,1280226120000,false,true,false,,"Goswell Road (City Uni), Finsbury",001222
BikePoints_345,1280229720000,false,true,false,,"Flood Street, Chelsea",001218
BikePoints_347,1283762460000,false,true,false,,"Lower Marsh, Waterloo",001219
BikePoints_348,1284540540000,false,true,false,,"Grosvenor Square, Mayfair",010627
BikePoints_349,1284543120000,false,true,false,,"St. George Street, Mayfair",001221
BikePoints_350,1285756260000,false,true,false,,"Queen's Gate, Kensington Gardens",001231
BikePoints_351,1286790480000,false,true,false,,"Macclesfield Rd, St Lukes",001226
BikePoints_352,1286796360000,false,true,false,,"Vauxhall Street, Vauxhall",001224
BikePoints_353,1287652080000,false,true,false,,"Greycoat Street , Westminster",010623
BikePoints_354,,false,true,false,,"Northumberland Avenue, Strand",001097
BikePoints_355,1287752460000,false,true,false,,"Clapham Common Station, Clapham Common",002694
BikePoints_356,1288009080000,false,true,false,,"South Kensington Station, South Kensington",002685
BikePoints_357,1288092420000,false,true,false,,"Howland Street, Fitzrovia",002691
BikePoints_358,1290079860000,false,true,false,,"High Holborn , Covent Garden",001229
BikePoints_359,1288950960000,false,true,false,,"Butler Place, Westminster",002662
BikePoints_360,1288958160000,false,true,false,,"Howick Place, Westminster",002666
BikePoints_361,1291902600000,false,true,false,,"Waterloo Station 2, Waterloo",002692
BikePoints_362,1290080220000,false,true,false,,"Royal College Street, Camden Town",002686
BikePoints_363,1289911800000,false,true,false,,"Lord's, St. John's Wood",002665
BikePoints_364,1290080640000,false,true,false,,"Store Street, Bloomsbury",003507
BikePoints_365,1290603600000,false,true,false,,"City Road, Angel",002690
BikePoints_367,,false,true,false,,"Harrowby Street, Marylebone",002680
BikePoints_368,1291201680000,false,true,false,,"Harriet Street, Knightsbridge",002681
BikePoints_370,1291647300000,false,true,false,,"Paddington Green, Paddington",002670
BikePoints_371,1291712820000,false,true,false,,"King Edward Walk, Waterloo",002639
BikePoints_372,1291713000000,false,true,false,,"Sardinia Street, Holborn",002649
BikePoints_373,1295428320000,false,true,false,,"Prince Consort Road, Knightsbridge",003499
BikePoints_374,1291725720000,false,true,false,,"Waterloo Station 1, Waterloo",002696
BikePoints_375,1291805820000,false,true,false,,"Kensington Town Hall, Kensington",010632
BikePoints_376,1294660980000,false,true,false,,"Millbank Tower, Pimlico",002683
BikePoints_377,1295265420000,false,true,false,,"Waterloo Bridge, South Bank",002648
BikePoints_378,1296121500000,false,true,false,,"Natural History Museum, South Kensington",002677
BikePoints_379,1296121680000,false,true,false,,"Turquoise Island, Notting Hill",002682
BikePoints_380,1296125400000,false,true,false,,"Stanhope Gate, Mayfair",003506
BikePoints_381,1296203760000,false,true,false,,"Charlotte Street, Fitzrovia",002669
BikePoints_382,1297159320000,false,true,false,,"Farm Street, Mayfair",002678
BikePoints_383,1296649200000,false,true,false,,"Frith Street, Soho",002660
BikePoints_384,1296731880000,false,true,false,,"Marloes Road, Kensington",003505
BikePoints_386,1296732540000,false,true,false,,"Moor Street, Soho",003504
BikePoints_387,1297077540000,false,true,false,,"Fire Brigade Pier, Vauxhall",002703
BikePoints_388,1297182180000,false,true,false,,"Southampton Street, Strand",001228
BikePoints_389,1297347960000,false,true,false,,"Upper Grosvenor Street, Mayfair",010621
BikePoints_390,1297764360000,false,true,false,,"Buxton Street 1, Shoreditch",001223
BikePoints_391,1297956480000,false,true,false,1539846000000,"Clifford Street, Mayfair",002688
BikePoints_392,1297958700000,false,true,false,,"Imperial College, Knightsbridge",001220
BikePoints_393,1298545440000,false,true,false,,"Snow Hill, Farringdon",002699
BikePoints_394,,false,true,false,,"Aberdeen Place, St. John's Wood",002698
BikePoints_395,1298908800000,false,true,false,,"Cadogan Gardens, Chelsea",002695
BikePoints_396,1299075120000,false,true,false,,"Shouldham Street, Marylebone",002693
BikePoints_397,1299075900000,false,true,false,,"Devonshire Terrace, Bayswater",001227
BikePoints_398,1299076440000,false,true,false,,"Holland Park, Kensington",010631
BikePoints_399,1299582900000,false,true,false,,"Brick Lane Market, Shoreditch",002687
BikePoints_400,1299583260000,false,true,false,,"George Street, Marylebone",001225
BikePoints_401,1299592500000,false,true,false,,"Columbia Road, Shoreditch",002701
BikePoints_402,1299592860000,false,true,false,,"Penfold Street, Marylebone",010625
BikePoints_403,1299593640000,false,true,false,,"George Place Mews, Marylebone",010630
BikePoints_404,1299669180000,false,true,false,,"Palace Gate, Kensington Gardens",001110
BikePoints_405,1299669300000,false,true,false,,"Gloucester Road Station, South Kensington",001107
BikePoints_408,,false,true,false,,"Sun Street, Liverpool Street",001129
BikePoints_409,,false,true,false,,"Strata, Elephant & Castle",010624
BikePoints_410,,false,true,false,,"Edgware Road Station, Marylebone",001058
BikePoints_411,,false,true,false,,"Rotherhithe Roundabout, Rotherhithe",010629
BikePoints_412,1302006180000,false,true,false,,"Cleaver Street, Kennington",010628
BikePoints_419,1308735300000,false,true,false,,"Chelsea Bridge, Pimlico",022160
BikePoints_420,1309258380000,false,true,false,,"Southwark Station 1, Southwark",022162
BikePoints_421,1309258440000,false,true,false,,"Southwark Station 2, Southwark",022163
BikePoints_423,1309860240000,false,true,false,,"Eaton Square (South), Belgravia",022164
BikePoints_424,1324551120000,false,true,false,,"Ebury Bridge, Pimlico",022159
BikePoints_426,1310463720000,false,true,false,,"Vincent Street, Pimlico",022161
BikePoints_427,1310725680000,false,true,false,,"Cheapside, Bank",022180
BikePoints_428,1318496100000,false,true,false,,"Exhibition Road, Knightsbridge",022179
BikePoints_430,1324549980000,false,true,false,,"South Parade, Chelsea",022182
BikePoints_431,1323355020000,false,true,false,,"Crinan Street, King's Cross",022183
BikePoints_432,1319448720000,false,true,false,,"Exhibition Road Museums 1, South Kensington",022158
BikePoints_433,1323361560000,false,true,false,,"Wren Street, Holborn",022169
BikePoints_698,1384254300000,false,true,false,,"Shoreditch Court, Haggerston",200121
BikePoints_699,1384256040000,false,true,false,,"Belford House, Haggerston",200057
BikePoints_700,1384343280000,false,true,false,,"Battersea Church Road, Battersea",200201
BikePoints_701,1384345080000,false,true,false,,"Vicarage Crescent, Battersea",200077
BikePoints_702,1384345860000,false,true,false,,"Durant Street, Bethnal Green",200213
BikePoints_703,1384357800000,false,true,false,,"St. Bride Street, Holborn",200094
BikePoints_704,1384443480000,false,true,false,,"Mexfield Road, East Putney",200063
BikePoints_705,1384453020000,true,true,false,1539845700000,"Upper Richmond Road, Putney",300042
BikePoints_706,1384420920000,false,true,false,,"Snowsfields, London Bridge",200193
BikePoints_707,1384435680000,false,true,false,,"Barons Court Station, West Kensington",200197
BikePoints_708,1384530180000,false,true,false,,"Disraeli Road, Putney",200217
BikePoints_709,1384510140000,false,true,false,,"Montserrat Road , Putney",200205
BikePoints_710,1384520580000,false,true,false,,"Albert Bridge Road, Battersea Park",300045
BikePoints_711,1384791540000,false,true,false,,"Everington Street, Fulham",300028
BikePoints_712,1384797120000,false,true,false,,"Mile End Stadium, Mile End",300056
BikePoints_714,1384865400000,false,true,false,,"Stewart's Road, Wandsworth Road",300055
BikePoints_715,1384868460000,false,true,false,,"Aylward Street, Stepney",300049
BikePoints_717,1384952400000,false,true,false,,"Dunston Road , Haggerston",300024
BikePoints_718,1384962840000,false,true,false,,"Ada Street, Hackney Central",300040
BikePoints_719,1384968480000,false,true,false,,"Victoria Park Road, Hackney Central",300011
BikePoints_720,1385025840000,false,true,false,,"Star Road, West Kensington",300038
BikePoints_721,1385028480000,false,true,false,,"Wendon Street, Old Ford",300039
BikePoints_722,1385028600000,false,true,false,,"Finnis Street, Bethnal Green",300041
BikePoints_723,1385035380000,false,true,false,,"Stephendale Road, Sands End",300053
BikePoints_724,1385125380000,false,true,false,,"Alma Road, Wandsworth",300046
BikePoints_725,1563352500000,false,true,false,,"Walworth Square, Walworth",300050
BikePoints_726,1385128740000,false,true,false,,"Alfreda Street, Battersea Park",300047
BikePoints_727,1385132160000,false,true,false,,"Chesilton Road, Fulham",300054
BikePoints_728,1385466780000,false,true,false,,"Putney Bridge Road, East Putney",300044
BikePoints_729,1385391300000,false,true,false,,"St. Peter's Terrace, Fulham",300043
BikePoints_730,1385132580000,false,true,false,,"Bridge Avenue, Hammersmith",300082
BikePoints_731,1385394720000,false,true,false,,"Michael Road, Walham Green",300095
BikePoints_732,1385458020000,false,true,false,,"Duke Street Hill, London Bridge",300083
BikePoints_733,1385460840000,false,true,false,,"Park Lane, Mayfair",300093
BikePoints_734,1385464500000,false,true,false,,"Plough Terrace, Clapham Junction",300094
BikePoints_735,1385383080000,false,true,false,,"Grant Road East, Clapham Junction",200120
BikePoints_736,1385472900000,false,true,false,,"Queensdale Road, Shepherd's Bush",300088
BikePoints_737,1385554620000,false,true,false,,"Fulham Broadway, Walham Green",300086
BikePoints_738,1385563380000,false,true,false,,"Imperial Road, Sands End",300087
BikePoints_739,1385631000000,false,true,false,,"Hortensia Road, West Brompton",300091
BikePoints_740,1385635440000,false,true,false,,"Sirdar Road, Avondale",300084
BikePoints_741,1385640120000,false,true,false,,"Freston Road, Avondale",300085
BikePoints_742,1385649540000,false,true,false,,"Blenheim Crescent, Ladbroke Grove",300090
BikePoints_743,1385723700000,false,true,false,,"Oxford Road, Putney",300078
BikePoints_744,1385729760000,false,true,false,,"Ingrave Street, Clapham Junction",300077
