locked,terminal_name,removal_date,installed,temporary,place_id,common_name,install_date
false,001212,,true,false,BikePoints_336,"Concert Hall Approach 2, South Bank",1280152800000
false,002589,,true,false,BikePoints_337,"Pembridge Villas, Notting Hill",1280153100000
false,001202,,true,false,BikePoints_338,"Wellington Street , Strand",1280158740000
false,001127,,true,false,BikePoints_339,"Risinghill Street, Angel",1280160600000
false,001201,,true,false,BikePoints_340,"Bank of England Museum, Bank",1280248620000
false,001160,,true,false,BikePoints_341,"Craven Street, Strand",1280222160000
false,001188,,true,false,BikePoints_343,"London Zoo Car Park, The Regent's Park",1280224260000
false,001222,,true,false,BikePoints_344,"Goswell Road (City Uni), Finsbury",1280226120000
false,001218,,true,false,BikePoints_345,"Flood Street, Chelsea",1280229720000
false,001219,,true,false,BikePoints_347,"Lower Marsh, Waterloo",1283762460000
false,010627,,true,false,BikePoints_348,"Grosvenor Square, Mayfair",1284540540000
false,001221,,true,false,BikePoints_349,"St. George Street, Mayfair",1284543120000
false,001231,,true,false,BikePoints_350,"Queen's Gate, Kensington Gardens",1285756260000
false,001226,,true,false,BikePoints_351,"Macclesfield Rd, St Lukes",1286790480000
false,001224,,true,false,BikePoints_352,"Vauxhall Street, Vauxhall",1286796360000
false,010623,,true,false,BikePoints_353,"Greycoat Street , Westminster",1287652080000
false,001097,,true,false,BikePoints_354,"Northumberland Avenue, Strand",
false,002694,,true,false,BikePoints_355,"Clapham Common Station, Clapham Common",1287752460000
false,002685,,true,false,BikePoints_356,"South Kensington Station, South Kensington",1288009080000
false,002691,,true,false,BikePoints_357,"Howland Street, Fitzrovia",1288092420000
false,001229,,true,false,BikePoints_358,"High Holborn , Covent Garden",1290079860000
false,002662,,true,false,BikePoints_359,"Butler Place, Westminster",1288950960000
false,002666,,true,false,BikePoints_360,"Howick Place, Westminster",1288958160000
false,002692,,true,false,BikePoints_361,"Waterloo Station 2, Waterloo",1291902600000
false,002686,,true,false,BikePoints_362,"Royal College Street, Camden Town",1290080220000
false,002665,,true,false,BikePoints_363,"Lord's, St. John's Wood",1289911800000
false,003507,,true,false,BikePoints_364,"Store Street, Bloomsbury",1290080640000
false,002690,,true,false,BikePoints_365,"City Road, Angel",1290603600000
false,002680,,true,false,BikePoints_367,"Harrowby Street, Marylebone",
false,002681,,true,false,BikePoints_368,"Harriet Street, Knightsbridge",1291201680000
false,002670,,true,false,BikePoints_370,"Paddington Green, Paddington",1291647300000
false,002639,,true,false,BikePoints_371,"King Edward Walk, Waterloo",1291712820000
false,002649,,true,false,BikePoints_372,"Sardinia Street, Holborn",1291713000000
false,003499,,true,false,BikePoints_373,"Prince Consort Road, Knightsbridge",1295428320000
false,002696,,true,false,BikePoints_374,"Waterloo Station 1, Waterloo",1291725720000
false,010632,,true,false,BikePoints_375,"Kensington Town Hall, Kensington",1291805820000
false,002683,,true,false,BikePoints_376,"Millbank Tower, Pimlico",1294660980000
false,002648,,true,false,BikePoints_377,"Waterloo Bridge, South Bank",1295265420000
false,002677,,true,false,BikePoints_378,"Natural History Museum, South Kensington",1296121500000
false,002682,,true,false,BikePoints_379,"Turquoise Island, Notting Hill",1296121680000
false,003506,,true,false,BikePoints_380,"Stanhope Gate, Mayfair",1296125400000
false,002669,,true,false,BikePoints_381,"Charlotte Street, Fitzrovia",1296203760000
false,002678,,true,false,BikePoints_382,"Farm Street, Mayfair",1297159320000
false,002660,,true,false,BikePoints_383,"Frith Street, Soho",1296649200000
false,003505,,true,false,BikePoints_384,"Marloes Road, Kensington",1296731880000
false,003504,,true,false,BikePoints_386,"Moor Street, Soho",1296732540000
false,002703,,true,false,BikePoints_387,"Fire Brigade Pier, Vauxhall",1297077540000
false,001228,,true,false,BikePoints_388,"Southampton Street, Strand",1297182180000
false,010621,,true,false,BikePoints_389,"Upper Grosvenor Street, Mayfair",1297347960000
false,001223,,true,false,BikePoints_390,"Buxton Street 1, Shoreditch",1297764360000
false,002688,1539846000000,true,false,BikePoints_391,"Clifford Street, Mayfair",1297956480000
false,001220,,true,false,BikePoints_392,"Imperial College, Knightsbridge",1297958700000
false,002699,,true,false,BikePoints_393,"Snow Hill, Farringdon",1298545440000
false,002698,,true,false,BikePoints_394,"Aberdeen Place, St. John's Wood",
false,002695,,true,false,BikePoints_395,"Cadogan Gardens, Chelsea",1298908800000
false,002693,,true,false,BikePoints_396,"Shouldham Street, Marylebone",1299075120000
false,001227,,true,false,BikePoints_397,"Devonshire Terrace, Bayswater",1299075900000
false,010631,,true,false,BikePoints_398,"Holland Park, Kensington",1299076440000
false,002687,,true,false,BikePoints_399,"Brick Lane Market, Shoreditch",1299582900000
false,001225,,true,false,BikePoints_400,"George Street, Marylebone",1299583260000
false,002701,,true,false,BikePoints_401,"Columbia Road, Shoreditch",1299592500000
false,010625,,true,false,BikePoints_402,"Penfold Street, Marylebone",1299592860000
false,010630,,true,false,BikePoints_403,"George Place Mews, Marylebone",1299593640000
false,001110,,true,false,BikePoints_404,"Palace Gate, Kensington Gardens",1299669180000
false,001107,,true,false,BikePoints_405,"Gloucester Road Station, South Kensington",1299669300000
false,001129,,true,false,BikePoints_408,"Sun Street, Liverpool Street",
false,010624,,true,false,BikePoints_409,"Strata, Elephant & Castle",
false,001058,,true,false,BikePoints_410,"Edgware Road Station, Marylebone",
false,010629,,true,false,BikePoints_411,"Rotherhithe Roundabout, Rotherhithe",
false,010628,,true,false,BikePoints_412,"Cleaver Street, Kennington",1302006180000
false,022160,,true,false,BikePoints_419,"Chelsea Bridge, Pimlico",1308735300000
false,022162,,true,false,BikePoints_420,"Southwark Station 1, Southwark",1309258380000
false,022163,,true,false,BikePoints_421,"Southwark Station 2, Southwark",1309258440000
false,022164,,true,false,BikePoints_423,"Eaton Square (South), Belgravia",1309860240000
false,022159,,true,false,BikePoints_424,"Ebury Bridge, Pimlico",1324551120000
