temporary,installed,terminal_name,install_date,locked,removal_date,common_name,place_id
false,true,001202,1280158740000,false,,"Wellington Street , Strand",BikePoints_338
false,true,001127,1280160600000,false,,"Risinghill Street, Angel",BikePoints_339
false,true,001201,1280248620000,false,,"Bank of England Museum, Bank",BikePoints_340
false,true,001160,1280222160000,false,,"Craven Street, Strand",BikePoints_341
false,true,001188,1280224260000,false,,"London Zoo Car Park, The Regent's Park",BikePoints_343
false,true,001222,1280226120000,false,,"Goswell Road (City Uni), Finsbury",BikePoints_344
false,true,001218,1280229720000,false,,"Flood Street, Chelsea",BikePoints_345
false,true,001219,1283762460000,false,,"Lower Marsh, Waterloo",BikePoints_347
false,true,010627,1284540540000,false,,"Grosvenor Square, Mayfair",BikePoints_348
false,true,001221,1284543120000,false,,"St. George Street, Mayfair",BikePoints_349
false,true,001231,1285756260000,false,,"Queen's Gate, Kensington Gardens",BikePoints_350
false,true,001226,1286790480000,false,,"Macclesfield Rd, St Lukes",BikePoints_351
false,true,001224,1286796360000,false,,"Vauxhall Street, Vauxhall",BikePoints_352
false,true,010623,1287652080000,false,,"Greycoat Street , Westminster",BikePoints_353
false,true,001097,,false,,"Northumberland Avenue, Strand",BikePoints_354
false,true,002694,1287752460000,false,,"Clapham Common Station, Clapham Common",BikePoints_355
false,true,002685,1288009080000,false,,"South Kensington Station, South Kensington",BikePoints_356
false,true,002691,1288092420000,false,,"Howland Street, Fitzrovia",BikePoints_357
false,true,001229,1290079860000,false,,"High Holborn , Covent Garden",BikePoints_358
false,true,002662,1288950960000,false,,"Butler Place, Westminster",BikePoints_359
false,true,002666,1288958160000,false,,"Howick Place, Westminster",BikePoints_360
false,true,002692,1291902600000,false,,"Waterloo Station 2, Waterloo",BikePoints_361
false,true,002686,1290080220000,false,,"Royal College Street, Camden Town",BikePoints_362
false,true,002665,1289911800000,false,,"Lord's, St. John's Wood",BikePoints_363
false,true,003507,1290080640000,false,,"Store Street, Bloomsbury",BikePoints_364
false,true,002690,1290603600000,false,,"City Road, Angel",BikePoints_365
false,true,002680,,false,,"Harrowby Street, Marylebone",BikePoints_367
false,true,002681,1291201680000,false,,"Harriet Street, Knightsbridge",BikePoints_368
false,true,002670,1291647300000,false,,"Paddington Green, Paddington",BikePoints_370
false,true,002639,1291712820000,false,,"King Edward Walk, Waterloo",BikePoints_371
false,true,002649,1291713000000,false,,"Sardinia Street, Holborn",BikePoints_372
false,true,003499,1295428320000,false,,"Prince Consort Road, Knightsbridge",BikePoints_373
false,true,002696,1291725720000,false,,"Waterloo Station 1, Waterloo",BikePoints_374
false,true,010632,1291805820000,false,,"Kensington Town Hall, Kensington",BikePoints_375
false,true,002683,1294660980000,false,,"Millbank Tower, Pimlico",BikePoints_376
false,true,002648,1295265420000,false,,"Waterloo Bridge, South Bank",BikePoints_377
false,true,002677,1296121500000,false,,"Natural History Museum, South Kensington",BikePoints_378
false,true,002682,1296121680000,false,,"Turquoise Island, Notting Hill",BikePoints_379
false,true,003506,1296125400000,false,,"Stanhope Gate, Mayfair",BikePoints_380
false,true,002669,1296203760000,false,,"Charlotte Street, Fitzrovia",BikePoints_381
false,true,002678,1297159320000,false,,"Farm Street, Mayfair",BikePoints_382
false,true,002660,1296649200000,false,,"Frith Street, Soho",BikePoints_383
false,true,003505,1296731880000,false,,"Marloes Road, Kensington",BikePoints_384
false,true,003504,1296732540000,false,,"Moor Street, Soho",BikePoints_386
false,true,002703,1297077540000,false,,"Fire Brigade Pier, Vauxhall",BikePoints_387
false,true,001228,1297182180000,false,,"Southampton Street, Strand",BikePoints_388
false,true,010621,1297347960000,false,,"Upper Grosvenor Street, Mayfair",BikePoints_389
false,true,001223,1297764360000,false,,"Buxton Street 1, Shoreditch",BikePoints_390
false,true,002688,1297956480000,false,1539846000000,"Clifford Street, Mayfair",BikePoints_391
false,true,001220,1297958700000,false,,"Imperial College, Knightsbridge",BikePoints_392
false,true,002699,1298545440000,false,,"Snow Hill, Farringdon",BikePoints_393
false,true,002698,,false,,"Aberdeen Place, St. John's Wood",BikePoints_394
false,true,002695,1298908800000,false,,"Cadogan Gardens, Chelsea",BikePoints_395
false,true,002693,1299075120000,false,,"Shouldham Street, Marylebone",BikePoints_396
false,true,001227,1299075900000,false,,"Devonshire Terrace, Bayswater",BikePoints_397
false,true,010631,1299076440000,false,,"Holland Park, Kensington",BikePoints_398
false,true,002687,1299582900000,false,,"Brick Lane Market, Shoreditch",BikePoints_399
false,true,001225,1299583260000,false,,"George Street, Marylebone",BikePoints_400
false,true,002701,1299592500000,false,,"Columbia Road, Shoreditch",BikePoints_401
false,true,010625,1299592860000,false,,"Penfold Street, Marylebone",BikePoints_402
false,true,010630,1299593640000,false,,"George Place Mews, Marylebone",BikePoints_403
false,true,001110,1299669180000,false,,"Palace Gate, Kensington Gardens",BikePoints_404
false,true,001107,1299669300000,false,,"Gloucester Road Station, South Kensington",BikePoints_405
false,true,001129,,false,,"Sun Street, Liverpool Street",BikePoints_408
false,true,010624,,false,,"Strata, Elephant & Castle",BikePoints_409
false,true,001058,,false,,"Edgware Road Station, Marylebone",BikePoints_410
false,true,010629,,false,,"Rotherhithe Roundabout, Rotherhithe",BikePoints_411
false,true,010628,1302006180000,false,,"Cleaver Street, Kennington",BikePoints_412
false,true,022160,1308735300000,false,,"Chelsea Bridge, Pimlico",BikePoints_419
false,true,022162,1309258380000,false,,"Southwark Station 1, Southwark",BikePoints_420
false,true,022163,1309258440000,false,,"Southwark Station 2, Southwark",BikePoints_421
false,true,022164,1309860240000,false,,"Eaton Square (South), Belgravia",BikePoints_423
false,true,022159,1324551120000,false,,"Ebury Bridge, Pimlico",BikePoints_424
false,true,022161,1310463720000,false,,"Vincent Street, Pimlico",BikePoints_426
false,true,022180,1310725680000,false,,"Cheapside, Bank",BikePoints_427
false,true,022179,1318496100000,false,,"Exhibition Road, Knightsbridge",BikePoints_428
false,true,022182,1324549980000,false,,"South Parade, Chelsea",BikePoints_430
false,true,022183,1323355020000,false,,"Crinan Street, King's Cross",BikePoints_431
false,true,022158,1319448720000,false,,"Exhibition Road Museums 1, South Kensington",BikePoints_432
false,true,022169,1323361560000,false,,"Wren Street, Holborn",BikePoints_433
false,true,200121,1384254300000,false,,"Shoreditch Court, Haggerston",BikePoints_698
false,true,200057,1384256040000,false,,"Belford House, Haggerston",BikePoints_699
false,true,200201,1384343280000,false,,"Battersea Church Road, Battersea",BikePoints_700
false,true,200077,1384345080000,false,,"Vicarage Crescent, Battersea",BikePoints_701
false,true,200213,1384345860000,false,,"Durant Street, Bethnal Green",BikePoints_702
false,true,200094,1384357800000,false,,"St. Bride Street, Holborn",BikePoints_703
false,true,200063,1384443480000,false,,"Mexfield Road, East Putney",BikePoints_704
true,true,300042,1384453020000,false,1539845700000,"Upper Richmond Road, Putney",BikePoints_705
false,true,200193,1384420920000,false,,"Snowsfields, London Bridge",BikePoints_706
false,true,200197,1384435680000,false,,"Barons Court Station, West Kensington",BikePoints_707
false,true,200217,1384530180000,false,,"Disraeli Road, Putney",BikePoints_708
false,true,200205,1384510140000,false,,"Montserrat Road , Putney",BikePoints_709
false,true,300045,1384520580000,false,,"Albert Bridge Road, Battersea Park",BikePoints_710
false,true,300028,1384791540000,false,,"Everington Street, Fulham",BikePoints_711
false,true,300056,1384797120000,false,,"Mile End Stadium, Mile End",BikePoints_712
false,true,300055,1384865400000,false,,"Stewart's Road, Wandsworth Road",BikePoints_714
false,true,300049,1384868460000,false,,"Aylward Street, Stepney",BikePoints_715
false,true,300024,1384952400000,false,,"Dunston Road , Haggerston",BikePoints_717
false,true,300040,1384962840000,false,,"Ada Street, Hackney Central",BikePoints_718
false,true,300011,1384968480000,false,,"Victoria Park Road, Hackney Central",BikePoints_719
false,true,300038,1385025840000,false,,"Star Road, West Kensington",BikePoints_720
false,true,300039,1385028480000,false,,"Wendon Street, Old Ford",BikePoints_721
false,true,300041,1385028600000,false,,"Finnis Street, Bethnal Green",BikePoints_722
false,true,300053,1385035380000,false,,"Stephendale Road, Sands End",BikePoints_723
false,true,300046,1385125380000,false,,"Alma Road, Wandsworth",BikePoints_724
false,true,300050,1563352500000,false,,"Walworth Square, Walworth",BikePoints_725
false,true,300047,1385128740000,false,,"Alfreda Street, Battersea Park",BikePoints_726
false,true,300054,1385132160000,false,,"Chesilton Road, Fulham",BikePoints_727
false,true,300044,1385466780000,false,,"Putney Bridge Road, East Putney",BikePoints_728
false,true,300043,1385391300000,false,,"St. Peter's Terrace, Fulham",BikePoints_729
false,true,300082,1385132580000,false,,"Bridge Avenue, Hammersmith",BikePoints_730
false,true,300095,1385394720000,false,,"Michael Road, Walham Green",BikePoints_731
false,true,300083,1385458020000,false,,"Duke Street Hill, London Bridge",BikePoints_732
false,true,300093,1385460840000,false,,"Park Lane, Mayfair",BikePoints_733
false,true,300094,1385464500000,false,,"Plough Terrace, Clapham Junction",BikePoints_734
false,true,200120,1385383080000,false,,"Grant Road East, Clapham Junction",BikePoints_735
false,true,300088,1385472900000,false,,"Queensdale Road, Shepherd's Bush",BikePoints_736
false,true,300086,1385554620000,false,,"Fulham Broadway, Walham Green",BikePoints_737
false,true,300087,1385563380000,false,,"Imperial Road, Sands End",BikePoints_738
false,true,300091,1385631000000,false,,"Hortensia Road, West Brompton",BikePoints_739
false,true,300084,1385635440000,false,,"Sirdar Road, Avondale",BikePoints_740
false,true,300085,1385640120000,false,,"Freston Road, Avondale",BikePoints_741
false,true,300090,1385649540000,false,,"Blenheim Crescent, Ladbroke Grove",BikePoints_742
false,true,300078,1385723700000,false,,"Oxford Road, Putney",BikePoints_743
false,true,300077,1385729760000,false,,"Ingrave Street, Clapham Junction",BikePoints_744
false,true,300075,1385740020000,false,,"Upcerne Road, West Chelsea",BikePoints_745
false,true,300076,1385985720000,false,,"Lots Road, West Chelsea",BikePoints_746
false,true,300089,1385997240000,false,,"Ormonde Gate, Chelsea",BikePoints_747
