common_name,terminal_name,removal_date,locked,temporary,place_id,installed,install_date
"Wellington Street , Strand",001202,,false,false,BikePoints_338,true,1280158740000
"Risinghill Street, Angel",001127,,false,false,BikePoints_339,true,1280160600000
"Bank of England Museum, Bank",001201,,false,false,BikePoints_340,true,1280248620000
"Craven Street, Strand",001160,,false,false,BikePoints_341,true,1280222160000
"London Zoo Car Park, The Regent's Park",001188,,false,false,BikePoints_343,true,1280224260000
"Goswell Road (City Uni), Finsbury",001222,,false,false,BikePoints_344,true,1280226120000
"Flood Street, Chelsea",001218,,false,false,BikePoints_345,true,1280229720000
"Lower Marsh, Waterloo",001219,,false,false,BikePoints_347,true,1283762460000
"Grosvenor Square, Mayfair",010627,,false,false,BikePoints_348,true,1284540540000
"St. George Street, Mayfair",001221,,false,false,BikePoints_349,true,1284543120000
"Queen's Gate, Kensington Gardens",001231,,false,false,BikePoints_350,true,1285756260000
"Macclesfield Rd, St Lukes",001226,,false,false,BikePoints_351,true,1286790480000
"Vauxhall Street, Vauxhall",001224,,false,false,BikePoints_352,true,1286796360000
"Greycoat Street , Westminster",010623,,false,false,BikePoints_353,true,1287652080000
"Northumberland Avenue, Strand",001097,,false,false,BikePoints_354,true,
"Clapham Common Station, Clapham Common",002694,,false,false,BikePoints_355,true,1287752460000
"South Kensington Station, South Kensington",002685,,false,false,BikePoints_356,true,1288009080000
"Howland Street, Fitzrovia",002691,,false,false,BikePoints_357,true,1288092420000
"High Holborn , Covent Garden",001229,,false,false,BikePoints_358,true,1290079860000
"Butler Place, Westminster",002662,,false,false,BikePoints_359,true,1288950960000
"Howick Place, Westminster",002666,,false,false,BikePoints_360,true,1288958160000
"Waterloo Station 2, Waterloo",002692,,false,false,BikePoints_361,true,1291902600000
"Royal College Street, Camden Town",002686,,false,false,BikePoints_362,true,1290080220000
"Lord's, St. John's Wood",002665,,false,false,BikePoints_363,true,1289911800000
"Store Street, Bloomsbury",003507,,false,false,BikePoints_364,true,1290080640000
"City Road, Angel",002690,,false,false,BikePoints_365,true,1290603600000
"Millennium Hotel, Mayfair",001230,,false,false,BikePoints_366,true,1290686880000
"Harrowby Street, Marylebone",002680,,false,false,BikePoints_367,true,
"Harriet Street, Knightsbridge",002681,,false,false,BikePoints_368,true,1291201680000
"Paddington Green, Paddington",002670,,false,false,BikePoints_370,true,1291647300000
"King Edward Walk, Waterloo",002639,,false,false,BikePoints_371,true,1291712820000
"Sardinia Street, Holborn",002649,,false,false,BikePoints_372,true,1291713000000
"Prince Consort Road, Knightsbridge",003499,,false,false,BikePoints_373,true,1295428320000
"Waterloo Station 1, Waterloo",002696,,false,false,BikePoints_374,true,1291725720000
"Kensington Town Hall, Kensington",010632,,false,false,BikePoints_375,true,1291805820000
"Millbank Tower, Pimlico",002683,,false,false,BikePoints_376,true,1294660980000
"Waterloo Bridge, South Bank",002648,,false,false,BikePoints_377,true,1295265420000
"Natural History Museum, South Kensington",002677,,false,false,BikePoints_378,true,1296121500000
"Turquoise Island, Notting Hill",002682,,false,false,BikePoints_379,true,1296121680000
"Stanhope Gate, Mayfair",003506,,false,false,BikePoints_380,true,1296125400000
"Charlotte Street, Fitzrovia",002669,,false,false,BikePoints_381,true,1296203760000
"Farm Street, Mayfair",002678,,false,false,BikePoints_382,true,1297159320000
"Frith Street, Soho",002660,,false,false,BikePoints_383,true,1296649200000
"Marloes Road, Kensington",003505,,false,false,BikePoints_384,true,1296731880000
"Moor Street, Soho",003504,,false,false,BikePoints_386,true,1296732540000
"Fire Brigade Pier, Vauxhall",002703,,false,false,BikePoints_387,true,1297077540000
"Southampton Street, Strand",001228,,false,false,BikePoints_388,true,1297182180000
"Upper Grosvenor Street, Mayfair",010621,,false,false,BikePoints_389,true,1297347960000
"Buxton Street 1, Shoreditch",001223,,false,false,BikePoints_390,true,1297764360000
"Clifford Street, Mayfair",002688,1539846000000,false,false,BikePoints_391,true,1297956480000
"Imperial College, Knightsbridge",001220,,false,false,BikePoints_392,true,1297958700000
"Snow Hill, Farringdon",002699,,false,false,BikePoints_393,true,1298545440000
"Aberdeen Place, St. John's Wood",002698,,false,false,BikePoints_394,true,
"Cadogan Gardens, Chelsea",002695,,false,false,BikePoints_395,true,1298908800000
"Shouldham Street, Marylebone",002693,,false,false,BikePoints_396,true,1299075120000
"Devonshire Terrace, Bayswater",001227,,false,false,BikePoints_397,true,1299075900000
"Holland Park, Kensington",010631,,false,false,BikePoints_398,true,1299076440000
"Brick Lane Market, Shoreditch",002687,,false,false,BikePoints_399,true,1299582900000
"George Street, Marylebone",001225,,false,false,BikePoints_400,true,1299583260000
