temporary,common_name,terminal_name,place_id,installed,install_date,locked,removal_date
false,"Kennington Station, Kennington",022170,BikePoints_435,true,1323346020000,false,
false,"Red Lion Street, Holborn",022171,BikePoints_436,true,1323350220000,false,
false,"Vauxhall Walk, Vauxhall",200056,BikePoints_437,true,1325746380000,false,
false,"Killick Street, King's Cross",200053,BikePoints_439,true,1325705460000,false,
false,"Kennington Oval, Oval",200032,BikePoints_440,true,1325708160000,false,
false,"Sail Street, Vauxhall",200039,BikePoints_441,true,1325711220000,false,
false,"Walmer Road, Avondale",200035,BikePoints_442,true,1325940420000,false,
false,"Philpot Street, Whitechapel",200033,BikePoints_443,true,1325941800000,false,
false,"Bethnal Green Garden, Bethnal Green",200047,BikePoints_444,true,1325944680000,false,
false,"Cheshire Street, Bethnal Green",200003,BikePoints_445,true,1325945820000,false,
false,"York Hall, Bethnal Green",200042,BikePoints_446,true,1325948880000,false,
false,"Jubilee Crescent, Cubitt Town",200054,BikePoints_447,true,1325949000000,false,
false,"Fisherman's Walk West, Canary Wharf",022165,BikePoints_448,true,1325952660000,false,
false,"Shadwell Station, Shadwell",200020,BikePoints_449,true,1325952900000,false,
false,"Jubilee Street, Stepney",200002,BikePoints_450,true,1326105240000,false,
false,"Hermitage Court, Wapping",200021,BikePoints_451,true,1325501400000,false,
false,"St. Katharine's Way, Tower",200049,BikePoints_452,true,1326109140000,false,
false,"Garnet Street, Shadwell",200045,BikePoints_453,true,1326111060000,false,
false,"Napier Avenue, Millwall",200046,BikePoints_454,true,1326115380000,false,
false,"East Ferry Road, Cubitt Town",200031,BikePoints_455,true,1326117780000,false,
false,"Parkway, Camden Town",200118,BikePoints_456,true,1326197580000,false,
false,"Castlehaven Road, Camden Town",200016,BikePoints_457,true,1326203280000,false,
false,"Wapping Lane, Wapping",200034,BikePoints_458,true,1326294780000,false,
false,"Gunmakers Lane, Old Ford",200014,BikePoints_459,true,,false,
false,"Burdett Road, Mile End",200123,BikePoints_460,true,1326284820000,false,
true,"Aston Street, Stepney",200013,BikePoints_461,true,1326293640000,false,
false,"Bonny Street, Camden Town",200105,BikePoints_462,true,1326294600000,false,
false,"Thurtle Road, Haggerston",200093,BikePoints_463,true,,false,
