terminal_name,installed,install_date,common_name,temporary,place_id,locked,removal_date
200029,true,1380288900000,"Finlay Street, Fulham",false,BikePoints_615,false,
200098,true,,"Aintree Street, Fulham",false,BikePoints_616,false,
200028,true,1380531540000,"Elysium Place, Fulham",false,BikePoints_617,false,
300003,true,1380546540000,"Eel Brook Common, Walham Green",false,BikePoints_618,false,
300012,true,1380552360000,"Irene Road, Parsons Green",false,BikePoints_619,false,
300010,true,1380629040000,"Surrey Lane, Battersea",false,BikePoints_620,false,
200091,true,1380899280000,"Wandsworth Town Station, Wandsworth",false,BikePoints_621,false,
200172,true,1380901680000,"Lansdowne Road, Ladbroke Grove",false,BikePoints_622,false,
200186,true,1381135320000,"Nantes Close, Wandsworth",false,BikePoints_623,false,
200173,true,1381224240000,"Courland Grove, Wandsworth Road",false,BikePoints_624,false,
200190,true,1381227480000,"Queen's Circus, Battersea Park",false,BikePoints_625,false,
300008,true,1381920300000,"Normand Park, West Kensington",false,BikePoints_626,false,
200007,true,1381931400000,"Holden Street, Battersea",false,BikePoints_627,false,
200062,true,1381414980000,"William Morris Way, Sands End",false,BikePoints_628,false,
200187,true,1381479480000,"Morie Street, Wandsworth",false,BikePoints_629,false,
200194,true,1381487100000,"Clarence Walk, Stockwell",false,BikePoints_630,false,
200183,true,1381245300000,"Battersea Park Road, Nine Elms",false,BikePoints_631,false,
200176,true,1381220700000,"Sheepcote Lane, Battersea",false,BikePoints_632,false,
200116,true,1381402920000,"Vereker Road, West Kensington",false,BikePoints_633,false,
300002,true,1381743780000,"Brook Green South, Brook Green",false,BikePoints_634,false,
200215,true,1381756440000,"Greyhound Road, Hammersmith",false,BikePoints_635,false,
200180,true,1381846320000,"South Park, Sands End",false,BikePoints_636,false,
200191,true,1381933680000,"Spencer Park, Wandsworth Common",false,BikePoints_637,false,
300014,true,1381834020000,"Falcon Road, Clapham Junction",false,BikePoints_638,false,
200081,true,1381835700000,"Coomer Place, West Kensington",false,BikePoints_639,false,
200179,true,1382010420000,"Silverthorne Road, Battersea",false,BikePoints_640,false,
300025,true,1381926900000,"Archbishop's Park, Waterloo",false,BikePoints_641,false,
200192,true,1381934220000,"Fawcett Close, Battersea",false,BikePoints_642,false,
300026,true,1382010720000,"All Saints' Road, Portobello",false,BikePoints_643,false,
200182,true,1382278560000,"Rainville Road, Hammersmith",false,BikePoints_644,false,
200200,true,1382110800000,"Great Suffolk Street, The Borough",false,BikePoints_645,false,
200178,true,1382084340000,"Buckingham Gate, Westminster",false,BikePoints_646,false,
200181,true,1382347140000,"Richmond Way, Shepherd's Bush",false,BikePoints_647,false,
200171,true,1382352840000,"Peterborough Road, Sands End",false,BikePoints_648,false,
300009,true,1382348400000,"World's End Place, West Chelsea",false,BikePoints_649,false,
300034,true,1382438520000,"St. Mark's Road, North Kensington",false,BikePoints_650,false,
300030,true,1382441580000,"Thorndike Close, West Chelsea",false,BikePoints_651,false,
300022,true,1381848540000,"Evesham Street, Avondale",false,BikePoints_652,false,
200196,true,1382539860000,"Simpson Street, Clapham Junction",false,BikePoints_653,false,
200223,true,1382520000000,"Ashmole Estate, Oval",false,BikePoints_654,false,
200221,true,1382611200000,"Crabtree Lane, Fulham",false,BikePoints_655,false,
200040,true,1382614560000,"Broomhouse Lane, Parsons Green",false,BikePoints_656,false,
200220,true,1382621400000,"Blythe Road West, Shepherd's Bush",false,BikePoints_657,false,
300005,true,1383731100000,"Ethelburga Estate, Battersea Park",false,BikePoints_658,false,
200212,true,1382697060000,"Blackfriars Station, St. Paul's",false,BikePoints_659,false,
300020,true,1382705340000,"West Kensington Station, West Kensington",false,BikePoints_660,false,
300023,true,1382887680000,"All Saints Church, Portobello",false,BikePoints_661,false,
