temporary,locked,removal_date,terminal_name,install_date,place_id,common_name,installed
false,false,,001127,1280160600000,BikePoints_339,"Risinghill Street, Angel",true
false,false,,001201,1280248620000,BikePoints_340,"Bank of England Museum, Bank",true
false,false,,001160,1280222160000,BikePoints_341,"Craven Street, Strand",true
false,false,,001188,1280224260000,BikePoints_343,"London Zoo Car Park, The Regent's Park",true
false,false,,001222,1280226120000,BikePoints_344,"Goswell Road (City Uni), Finsbury",true
false,false,,001218,1280229720000,BikePoints_345,"Flood Street, Chelsea",true
false,false,,001219,1283762460000,BikePoints_347,"Lower Marsh, Waterloo",true
false,false,,010627,1284540540000,BikePoints_348,"Grosvenor Square, Mayfair",true
false,false,,001221,1284543120000,BikePoints_349,"St. George Street, Mayfair",true
false,false,,001231,1285756260000,BikePoints_350,"Queen's Gate, Kensington Gardens",true
false,false,,001226,1286790480000,BikePoints_351,"Macclesfield Rd, St Lukes",true
false,false,,001224,1286796360000,BikePoints_352,"Vauxhall Street, Vauxhall",true
false,false,,010623,1287652080000,BikePoints_353,"Greycoat Street , Westminster",true
false,false,,001097,,BikePoints_354,"Northumberland Avenue, Strand",true
false,false,,002694,1287752460000,BikePoints_355,"Clapham Common Station, Clapham Common",true
false,false,,002685,1288009080000,BikePoints_356,"South Kensington Station, South Kensington",true
false,false,,002691,1288092420000,BikePoints_357,"Howland Street, Fitzrovia",true
false,false,,001229,1290079860000,BikePoints_358,"High Holborn , Covent Garden",true
false,false,,002662,1288950960000,BikePoints_359,"Butler Place, Westminster",true
false,false,,002666,1288958160000,BikePoints_360,"Howick Place, Westminster",true
false,false,,002692,1291902600000,BikePoints_361,"Waterloo Station 2, Waterloo",true
false,false,,002686,1290080220000,BikePoints_362,"Royal College Street, Camden Town",true
false,false,,002665,1289911800000,BikePoints_363,"Lord's, St. John's Wood",true
false,false,,003507,1290080640000,BikePoints_364,"Store Street, Bloomsbury",true
false,false,,002690,1290603600000,BikePoints_365,"City Road, Angel",true
false,false,,002680,,BikePoints_367,"Harrowby Street, Marylebone",true
false,false,,002681,1291201680000,BikePoints_368,"Harriet Street, Knightsbridge",true
false,false,,002670,1291647300000,BikePoints_370,"Paddington Green, Paddington",true
false,false,,002639,1291712820000,BikePoints_371,"King Edward Walk, Waterloo",true
false,false,,002649,1291713000000,BikePoints_372,"Sardinia Street, Holborn",true
false,false,,003499,1295428320000,BikePoints_373,"Prince Consort Road, Knightsbridge",true
false,false,,002696,1291725720000,BikePoints_374,"Waterloo Station 1, Waterloo",true
false,false,,010632,1291805820000,BikePoints_375,"Kensington Town Hall, Kensington",true
false,false,,002683,1294660980000,BikePoints_376,"Millbank Tower, Pimlico",true
false,false,,002648,1295265420000,BikePoints_377,"Waterloo Bridge, South Bank",true
false,false,,002677,1296121500000,BikePoints_378,"Natural History Museum, South Kensington",true
false,false,,002682,1296121680000,BikePoints_379,"Turquoise Island, Notting Hill",true
false,false,,003506,1296125400000,BikePoints_380,"Stanhope Gate, Mayfair",true
false,false,,002669,1296203760000,BikePoints_381,"Charlotte Street, Fitzrovia",true
false,false,,002678,1297159320000,BikePoints_382,"Farm Street, Mayfair",true
false,false,,002660,1296649200000,BikePoints_383,"Frith Street, Soho",true
false,false,,003505,1296731880000,BikePoints_384,"Marloes Road, Kensington",true
false,false,,003504,1296732540000,BikePoints_386,"Moor Street, Soho",true
false,false,,002703,1297077540000,BikePoints_387,"Fire Brigade Pier, Vauxhall",true
false,false,,001228,1297182180000,BikePoints_388,"Southampton Street, Strand",true
false,false,,010621,1297347960000,BikePoints_389,"Upper Grosvenor Street, Mayfair",true
false,false,,001223,1297764360000,BikePoints_390,"Buxton Street 1, Shoreditch",true
false,false,1539846000000,002688,1297956480000,BikePoints_391,"Clifford Street, Mayfair",true
false,false,,001220,1297958700000,BikePoints_392,"Imperial College, Knightsbridge",true
false,false,,002699,1298545440000,BikePoints_393,"Snow Hill, Farringdon",true
false,false,,002698,,BikePoints_394,"Aberdeen Place, St. John's Wood",true
false,false,,002695,1298908800000,BikePoints_395,"Cadogan Gardens, Chelsea",true
false,false,,002693,1299075120000,BikePoints_396,"Shouldham Street, Marylebone",true
false,false,,001227,1299075900000,BikePoints_397,"Devonshire Terrace, Bayswater",true
false,false,,010631,1299076440000,BikePoints_398,"Holland Park, Kensington",true
false,false,,002687,1299582900000,BikePoints_399,"Brick Lane Market, Shoreditch",true
false,false,,001225,1299583260000,BikePoints_400,"George Street, Marylebone",true
false,false,,002701,1299592500000,BikePoints_401,"Columbia Road, Shoreditch",true
false,false,,010625,1299592860000,BikePoints_402,"Penfold Street, Marylebone",true
false,false,,010630,1299593640000,BikePoints_403,"George Place Mews, Marylebone",true
false,false,,001110,1299669180000,BikePoints_404,"Palace Gate, Kensington Gardens",true
false,false,,001107,1299669300000,BikePoints_405,"Gloucester Road Station, South Kensington",true
false,false,,001129,,BikePoints_408,"Sun Street, Liverpool Street",true
false,false,,010624,,BikePoints_409,"Strata, Elephant & Castle",true
false,false,,001058,,BikePoints_410,"Edgware Road Station, Marylebone",true
false,false,,010629,,BikePoints_411,"Rotherhithe Roundabout, Rotherhithe",true
false,false,,010628,1302006180000,BikePoints_412,"Cleaver Street, Kennington",true
false,false,,022160,1308735300000,BikePoints_419,"Chelsea Bridge, Pimlico",true
false,false,,022162,1309258380000,BikePoints_420,"Southwark Station 1, Southwark",true
false,false,,022163,1309258440000,BikePoints_421,"Southwark Station 2, Southwark",true
false,false,,022164,1309860240000,BikePoints_423,"Eaton Square (South), Belgravia",true
false,false,,022159,1324551120000,BikePoints_424,"Ebury Bridge, Pimlico",true
false,false,,022161,1310463720000,BikePoints_426,"Vincent Street, Pimlico",true
false,false,,022180,1310725680000,BikePoints_427,"Cheapside, Bank",true
false,false,,022179,1318496100000,BikePoints_428,"Exhibition Road, Knightsbridge",true
false,false,,022182,1324549980000,BikePoints_430,"South Parade, Chelsea",true
false,false,,022183,1323355020000,BikePoints_431,"Crinan Street, King's Cross",true
false,false,,022158,1319448720000,BikePoints_432,"Exhibition Road Museums 1, South Kensington",true
false,false,,022169,1323361560000,BikePoints_433,"Wren Street, Holborn",true
false,false,,200121,1384254300000,BikePoints_698,"Shoreditch Court, Haggerston",true
false,false,,200057,1384256040000,BikePoints_699,"Belford House, Haggerston",true
false,false,,200201,1384343280000,BikePoints_700,"Battersea Church Road, Battersea",true
false,false,,200077,1384345080000,BikePoints_701,"Vicarage Crescent, Battersea",true
false,false,,200213,1384345860000,BikePoints_702,"Durant Street, Bethnal Green",true
false,false,,200094,1384357800000,BikePoints_703,"St. Bride Street, Holborn",true
false,false,,200063,1384443480000,BikePoints_704,"Mexfield Road, East Putney",true
true,false,1539845700000,300042,1384453020000,BikePoints_705,"Upper Richmond Road, Putney",true
false,false,,200193,1384420920000,BikePoints_706,"Snowsfields, London Bridge",true
false,false,,200197,1384435680000,BikePoints_707,"Barons Court Station, West Kensington",true
false,false,,200217,1384530180000,BikePoints_708,"Disraeli Road, Putney",true
false,false,,200205,1384510140000,BikePoints_709,"Montserrat Road , Putney",true
false,false,,300045,1384520580000,BikePoints_710,"Albert Bridge Road, Battersea Park",true
false,false,,300028,1384791540000,BikePoints_711,"Everington Street, Fulham",true
false,false,,300056,1384797120000,BikePoints_712,"Mile End Stadium, Mile End",true
false,false,,300055,1384865400000,BikePoints_714,"Stewart's Road, Wandsworth Road",true
false,false,,300049,1384868460000,BikePoints_715,"Aylward Street, Stepney",true
false,false,,300024,1384952400000,BikePoints_717,"Dunston Road , Haggerston",true
false,false,,300040,1384962840000,BikePoints_718,"Ada Street, Hackney Central",true
false,false,,300011,1384968480000,BikePoints_719,"Victoria Park Road, Hackney Central",true
false,false,,300038,1385025840000,BikePoints_720,"Star Road, West Kensington",true
false,false,,300039,1385028480000,BikePoints_721,"Wendon Street, Old Ford",true
false,false,,300041,1385028600000,BikePoints_722,"Finnis Street, Bethnal Green",true
false,false,,300053,1385035380000,BikePoints_723,"Stephendale Road, Sands End",true
false,false,,300046,1385125380000,BikePoints_724,"Alma Road, Wandsworth",true
false,false,,300050,1563352500000,BikePoints_725,"Walworth Square, Walworth",true
false,false,,300047,1385128740000,BikePoints_726,"Alfreda Street, Battersea Park",true
false,false,,300054,1385132160000,BikePoints_727,"Chesilton Road, Fulham",true
false,false,,300044,1385466780000,BikePoints_728,"Putney Bridge Road, East Putney",true
false,false,,300043,1385391300000,BikePoints_729,"St. Peter's Terrace, Fulham",true
false,false,,300082,1385132580000,BikePoints_730,"Bridge Avenue, Hammersmith",true
false,false,,300095,1385394720000,BikePoints_731,"Michael Road, Walham Green",true
false,false,,300083,1385458020000,BikePoints_732,"Duke Street Hill, London Bridge",true
false,false,,300093,1385460840000,BikePoints_733,"Park Lane, Mayfair",true
false,false,,300094,1385464500000,BikePoints_734,"Plough Terrace, Clapham Junction",true
false,false,,200120,1385383080000,BikePoints_735,"Grant Road East, Clapham Junction",true
false,false,,300088,1385472900000,BikePoints_736,"Queensdale Road, Shepherd's Bush",true
false,false,,300086,1385554620000,BikePoints_737,"Fulham Broadway, Walham Green",true
false,false,,300087,1385563380000,BikePoints_738,"Imperial Road, Sands End",true
false,false,,300091,1385631000000,BikePoints_739,"Hortensia Road, West Brompton",true
false,false,,300084,1385635440000,BikePoints_740,"Sirdar Road, Avondale",true
false,false,,300085,1385640120000,BikePoints_741,"Freston Road, Avondale",true
false,false,,300090,1385649540000,BikePoints_742,"Blenheim Crescent, Ladbroke Grove",true
false,false,,300078,1385723700000,BikePoints_743,"Oxford Road, Putney",true
false,false,,300077,1385729760000,BikePoints_744,"Ingrave Street, Clapham Junction",true
false,false,,300075,1385740020000,BikePoints_745,"Upcerne Road, West Chelsea",true
false,false,,300076,1385985720000,BikePoints_746,"Lots Road, West Chelsea",true
false,false,,300089,1385997240000,BikePoints_747,"Ormonde Gate, Chelsea",true
false,false,,300092,1386159900000,BikePoints_748,"Hertford Road, De Beauvoir Town",true
false,false,,300081,1386172440000,BikePoints_749,"Haggerston Road, Haggerston",true
false,false,,300080,1386240360000,BikePoints_750,"Culvert Road, Battersea",true
false,false,,300074,1386250800000,BikePoints_751,"Newton Street, Covent Garden",true
false,false,,300079,1650364320000,BikePoints_752,"London Street, Paddington",true
false,false,,300067,1389003540000,BikePoints_754,"Grenfell Road, Avondale",true
false,false,,300058,1389008580000,BikePoints_755,"The Vale, Chelsea",true
false,false,,300073,1390223040000,BikePoints_756,"Prince of Wales Drive, Battersea Park",true
false,false,,300069,1389094260000,BikePoints_757,"Harcourt Terrace, West Brompton",true
false,false,,300057,1389178020000,BikePoints_758,"Westbourne Park Road, Portobello",true
false,false,,300072,1389627480000,BikePoints_759,"Broadley Terrace, Marylebone",true
false,false,,300068,1389781800000,BikePoints_761,"Humbolt Road, Fulham",true
false,false,,200202,1392039000000,BikePoints_762,"Storey's Gate, Westminster",true
false,false,,300027,1392043020000,BikePoints_763,"Mile End Park Leisure Centre, Mile End",true
false,false,,200185,1392633480000,BikePoints_764,"St. John's Road, Clapham Junction",true
false,false,,300064,1392986940000,BikePoints_765,"Ranelagh Gardens, Fulham",true
false,false,,200079,1392894840000,BikePoints_766,"Ram Street, Wandsworth",true
false,false,,200177,1393406280000,BikePoints_767,"Santos Road, Wandsworth",true
false,false,,300065,1393494060000,BikePoints_768,"Clapham Common North Side, Clapham Common",true
false,false,,300001,1393939560000,BikePoints_769,"Sandilands Road, Walham Green",true
false,false,,300097,1394099280000,BikePoints_770,"Gwendwr Road, West Kensington",true
