temporary,terminal_name,locked,common_name,install_date,place_id,installed,removal_date
false,001201,false,"Bank of England Museum, Bank",1280248620000,BikePoints_340,true,
false,001160,false,"Craven Street, Strand",1280222160000,BikePoints_341,true,
false,001188,false,"London Zoo Car Park, The Regent's Park",1280224260000,BikePoints_343,true,
false,001222,false,"Goswell Road (City Uni), Finsbury",1280226120000,BikePoints_344,true,
false,001218,false,"Flood Street, Chelsea",1280229720000,BikePoints_345,true,
false,001219,false,"Lower Marsh, Waterloo",1283762460000,BikePoints_347,true,
false,010627,false,"Grosvenor Square, Mayfair",1284540540000,BikePoints_348,true,
false,001221,false,"St. George Street, Mayfair",1284543120000,BikePoints_349,true,
false,001231,false,"Queen's Gate, Kensington Gardens",1285756260000,BikePoints_350,true,
false,001226,false,"Macclesfield Rd, St Lukes",1286790480000,BikePoints_351,true,
false,001224,false,"Vauxhall Street, Vauxhall",1286796360000,BikePoints_352,true,
false,010623,false,"Greycoat Street , Westminster",1287652080000,BikePoints_353,true,
false,001097,false,"Northumberland Avenue, Strand",,BikePoints_354,true,
false,002694,false,"Clapham Common Station, Clapham Common",1287752460000,BikePoints_355,true,
false,002685,false,"South Kensington Station, South Kensington",1288009080000,BikePoints_356,true,
false,002691,false,"Howland Street, Fitzrovia",1288092420000,BikePoints_357,true,
false,001229,false,"High Holborn , Covent Garden",1290079860000,BikePoints_358,true,
false,002662,false,"Butler Place, Westminster",1288950960000,BikePoints_359,true,
false,002666,false,"Howick Place, Westminster",1288958160000,BikePoints_360,true,
false,002692,false,"Waterloo Station 2, Waterloo",1291902600000,BikePoints_361,true,
false,002686,false,"Royal College Street, Camden Town",1290080220000,BikePoints_362,true,
false,002665,false,"Lord's, St. John's Wood",1289911800000,BikePoints_363,true,
false,003507,false,"Store Street, Bloomsbury",1290080640000,BikePoints_364,true,
false,002690,false,"City Road, Angel",1290603600000,BikePoints_365,true,
false,002680,false,"Harrowby Street, Marylebone",,BikePoints_367,true,
false,002681,false,"Harriet Street, Knightsbridge",1291201680000,BikePoints_368,true,
false,002670,false,"Paddington Green, Paddington",1291647300000,BikePoints_370,true,
false,002639,false,"King Edward Walk, Waterloo",1291712820000,BikePoints_371,true,
false,002649,false,"Sardinia Street, Holborn",1291713000000,BikePoints_372,true,
false,003499,false,"Prince Consort Road, Knightsbridge",1295428320000,BikePoints_373,true,
false,002696,false,"Waterloo Station 1, Waterloo",1291725720000,BikePoints_374,true,
false,010632,false,"Kensington Town Hall, Kensington",1291805820000,BikePoints_375,true,
false,002683,false,"Millbank Tower, Pimlico",1294660980000,BikePoints_376,true,
false,002648,false,"Waterloo Bridge, South Bank",1295265420000,BikePoints_377,true,
false,002677,false,"Natural History Museum, South Kensington",1296121500000,BikePoints_378,true,
false,002682,false,"Turquoise Island, Notting Hill",1296121680000,BikePoints_379,true,
false,003506,false,"Stanhope Gate, Mayfair",1296125400000,BikePoints_380,true,
false,002669,false,"Charlotte Street, Fitzrovia",1296203760000,BikePoints_381,true,
false,002678,false,"Farm Street, Mayfair",1297159320000,BikePoints_382,true,
false,002660,false,"Frith Street, Soho",1296649200000,BikePoints_383,true,
false,003505,false,"Marloes Road, Kensington",1296731880000,BikePoints_384,true,
false,003504,false,"Moor Street, Soho",1296732540000,BikePoints_386,true,
false,002703,false,"Fire Brigade Pier, Vauxhall",1297077540000,BikePoints_387,true,
false,001228,false,"Southampton Street, Strand",1297182180000,BikePoints_388,true,
false,010621,false,"Upper Grosvenor Street, Mayfair",1297347960000,BikePoints_389,true,
false,001223,false,"Buxton Street 1, Shoreditch",1297764360000,BikePoints_390,true,
false,002688,false,"Clifford Street, Mayfair",1297956480000,BikePoints_391,true,1539846000000
false,001220,false,"Imperial College, Knightsbridge",1297958700000,BikePoints_392,true,
false,002699,false,"Snow Hill, Farringdon",1298545440000,BikePoints_393,true,
false,002698,false,"Aberdeen Place, St. John's Wood",,BikePoints_394,true,
false,002695,false,"Cadogan Gardens, Chelsea",1298908800000,BikePoints_395,true,
false,002693,false,"Shouldham Street, Marylebone",1299075120000,BikePoints_396,true,
false,001227,false,"Devonshire Terrace, Bayswater",1299075900000,BikePoints_397,true,
false,010631,false,"Holland Park, Kensington",1299076440000,BikePoints_398,true,
false,002687,false,"Brick Lane Market, Shoreditch",1299582900000,BikePoints_399,true,
false,001225,false,"George Street, Marylebone",1299583260000,BikePoints_400,true,
false,002701,false,"Columbia Road, Shoreditch",1299592500000,BikePoints_401,true,
false,010625,false,"Penfold Street, Marylebone",1299592860000,BikePoints_402,true,
false,010630,false,"George Place Mews, Marylebone",1299593640000,BikePoints_403,true,
false,001110,false,"Palace Gate, Kensington Gardens",1299669180000,BikePoints_404,true,
false,001107,false,"Gloucester Road Station, South Kensington",1299669300000,BikePoints_405,true,
false,001129,false,"Sun Street, Liverpool Street",,BikePoints_408,true,
false,010624,false,"Strata, Elephant & Castle",,BikePoints_409,true,
false,001058,false,"Edgware Road Station, Marylebone",,BikePoints_410,true,
false,010629,false,"Rotherhithe Roundabout, Rotherhithe",,BikePoints_411,true,
false,010628,false,"Cleaver Street, Kennington",1302006180000,BikePoints_412,true,
false,022160,false,"Chelsea Bridge, Pimlico",1308735300000,BikePoints_419,true,
false,022162,false,"Southwark Station 1, Southwark",1309258380000,BikePoints_420,true,
false,022163,false,"Southwark Station 2, Southwark",1309258440000,BikePoints_421,true,
false,022164,false,"Eaton Square (South), Belgravia",1309860240000,BikePoints_423,true,
false,022159,false,"Ebury Bridge, Pimlico",1324551120000,BikePoints_424,true,
false,022161,false,"Vincent Street, Pimlico",1310463720000,BikePoints_426,true,
false,022180,false,"Cheapside, Bank",1310725680000,BikePoints_427,true,
false,022179,false,"Exhibition Road, Knightsbridge",1318496100000,BikePoints_428,true,
false,022182,false,"South Parade, Chelsea",1324549980000,BikePoints_430,true,
false,022183,false,"Crinan Street, King's Cross",1323355020000,BikePoints_431,true,
false,022158,false,"Exhibition Road Museums 1, South Kensington",1319448720000,BikePoints_432,true,
false,022169,false,"Wren Street, Holborn",1323361560000,BikePoints_433,true,
false,022170,false,"Kennington Station, Kennington",1323346020000,BikePoints_435,true,
