locked,common_name,install_date,temporary,place_id,terminal_name,removal_date,installed
false,"Risinghill Street, Angel",1280160600000,false,BikePoints_339,001127,,true
false,"Bank of England Museum, Bank",1280248620000,false,BikePoints_340,001201,,true
false,"Craven Street, Strand",1280222160000,false,BikePoints_341,001160,,true
false,"London Zoo Car Park, The Regent's Park",1280224260000,false,BikePoints_343,001188,,true
false,"Goswell Road (City Uni), Finsbury",1280226120000,false,BikePoints_344,001222,,true
false,"Flood Street, Chelsea",1280229720000,false,BikePoints_345,001218,,true
false,"Lower Marsh, Waterloo",1283762460000,false,BikePoints_347,001219,,true
false,"Grosvenor Square, Mayfair",1284540540000,false,BikePoints_348,010627,,true
false,"St. George Street, Mayfair",1284543120000,false,BikePoints_349,001221,,true
false,"Queen's Gate, Kensington Gardens",1285756260000,false,BikePoints_350,001231,,true
false,"Macclesfield Rd, St Lukes",1286790480000,false,BikePoints_351,001226,,true
false,"Vauxhall Street, Vauxhall",1286796360000,false,BikePoints_352,001224,,true
false,"Greycoat Street , Westminster",1287652080000,false,BikePoints_353,010623,,true
false,"Northumberland Avenue, Strand",,false,BikePoints_354,001097,,true
false,"Clapham Common Station, Clapham Common",1287752460000,false,BikePoints_355,002694,,true
false,"South Kensington Station, South Kensington",1288009080000,false,BikePoints_356,002685,,true
false,"Howland Street, Fitzrovia",1288092420000,false,BikePoints_357,002691,,true
false,"High Holborn , Covent Garden",1290079860000,false,BikePoints_358,001229,,true
false,"Butler Place, Westminster",1288950960000,false,BikePoints_359,002662,,true
false,"Howick Place, Westminster",1288958160000,false,BikePoints_360,002666,,true
false,"Waterloo Station 2, Waterloo",1291902600000,false,BikePoints_361,002692,,true
false,"Royal College Street, Camden Town",1290080220000,false,BikePoints_362,002686,,true
false,"Lord's, St. John's Wood",1289911800000,false,BikePoints_363,002665,,true
false,"Store Street, Bloomsbury",1290080640000,false,BikePoints_364,003507,,true
false,"City Road, Angel",1290603600000,false,BikePoints_365,002690,,true
false,"Harrowby Street, Marylebone",,false,BikePoints_367,002680,,true
false,"Harriet Street, Knightsbridge",1291201680000,false,BikePoints_368,002681,,true
false,"Paddington Green, Paddington",1291647300000,false,BikePoints_370,002670,,true
false,"King Edward Walk, Waterloo",1291712820000,false,BikePoints_371,002639,,true
false,"Sardinia Street, Holborn",1291713000000,false,BikePoints_372,002649,,true
false,"Prince Consort Road, Knightsbridge",1295428320000,false,BikePoints_373,003499,,true
false,"Waterloo Station 1, Waterloo",1291725720000,false,BikePoints_374,002696,,true
false,"Kensington Town Hall, Kensington",1291805820000,false,BikePoints_375,010632,,true
false,"Millbank Tower, Pimlico",1294660980000,false,BikePoints_376,002683,,true
false,"Waterloo Bridge, South Bank",1295265420000,false,BikePoints_377,002648,,true
false,"Natural History Museum, South Kensington",1296121500000,false,BikePoints_378,002677,,true
false,"Turquoise Island, Notting Hill",1296121680000,false,BikePoints_379,002682,,true
false,"Stanhope Gate, Mayfair",1296125400000,false,BikePoints_380,003506,,true
false,"Charlotte Street, Fitzrovia",1296203760000,false,BikePoints_381,002669,,true
false,"Farm Street, Mayfair",1297159320000,false,BikePoints_382,002678,,true
false,"Frith Street, Soho",1296649200000,false,BikePoints_383,002660,,true
false,"Marloes Road, Kensington",1296731880000,false,BikePoints_384,003505,,true
false,"Moor Street, Soho",1296732540000,false,BikePoints_386,003504,,true
false,"Fire Brigade Pier, Vauxhall",1297077540000,false,BikePoints_387,002703,,true
false,"Southampton Street, Strand",1297182180000,false,BikePoints_388,001228,,true
false,"Upper Grosvenor Street, Mayfair",1297347960000,false,BikePoints_389,010621,,true
false,"Buxton Street 1, Shoreditch",1297764360000,false,BikePoints_390,001223,,true
false,"Clifford Street, Mayfair",1297956480000,false,BikePoints_391,002688,1539846000000,true
false,"Imperial College, Knightsbridge",1297958700000,false,BikePoints_392,001220,,true
false,"Snow Hill, Farringdon",1298545440000,false,BikePoints_393,002699,,true
false,"Aberdeen Place, St. John's Wood",,false,BikePoints_394,002698,,true
false,"Cadogan Gardens, Chelsea",1298908800000,false,BikePoints_395,002695,,true
false,"Shouldham Street, Marylebone",1299075120000,false,BikePoints_396,002693,,true
false,"Devonshire Terrace, Bayswater",1299075900000,false,BikePoints_397,001227,,true
false,"Holland Park, Kensington",1299076440000,false,BikePoints_398,010631,,true
false,"Brick Lane Market, Shoreditch",1299582900000,false,BikePoints_399,002687,,true
false,"George Street, Marylebone",1299583260000,false,BikePoints_400,001225,,true
false,"Columbia Road, Shoreditch",1299592500000,false,BikePoints_401,002701,,true
false,"Penfold Street, Marylebone",1299592860000,false,BikePoints_402,010625,,true
false,"George Place Mews, Marylebone",1299593640000,false,BikePoints_403,010630,,true
false,"Palace Gate, Kensington Gardens",1299669180000,false,BikePoints_404,001110,,true
false,"Gloucester Road Station, South Kensington",1299669300000,false,BikePoints_405,001107,,true
false,"Sun Street, Liverpool Street",,false,BikePoints_408,001129,,true
false,"Strata, Elephant & Castle",,false,BikePoints_409,010624,,true
