temporary,terminal_name,common_name,locked,place_id,install_date,installed,removal_date
false,022171,"Red Lion Street, Holborn",false,BikePoints_436,1323350220000,true,
false,200056,"Vauxhall Walk, Vauxhall",false,BikePoints_437,1325746380000,true,
false,200053,"Killick Street, King's Cross",false,BikePoints_439,1325705460000,true,
false,200032,"Kennington Oval, Oval",false,BikePoints_440,1325708160000,true,
false,200039,"Sail Street, Vauxhall",false,BikePoints_441,1325711220000,true,
false,200035,"Walmer Road, Avondale",false,BikePoints_442,1325940420000,true,
false,200033,"Philpot Street, Whitechapel",false,BikePoints_443,1325941800000,true,
false,200047,"Bethnal Green Garden, Bethnal Green",false,BikePoints_444,1325944680000,true,
false,200003,"Cheshire Street, Bethnal Green",false,BikePoints_445,1325945820000,true,
false,200042,"York Hall, Bethnal Green",false,BikePoints_446,1325948880000,true,
false,200054,"Jubilee Crescent, Cubitt Town",false,BikePoints_447,1325949000000,true,
false,022165,"Fisherman's Walk West, Canary Wharf",false,BikePoints_448,1325952660000,true,
false,200020,"Shadwell Station, Shadwell",false,BikePoints_449,1325952900000,true,
false,200002,"Jubilee Street, Stepney",false,BikePoints_450,1326105240000,true,
false,200021,"Hermitage Court, Wapping",false,BikePoints_451,1325501400000,true,
false,200049,"St. Katharine's Way, Tower",false,BikePoints_452,1326109140000,true,
false,200045,"Garnet Street, Shadwell",false,BikePoints_453,1326111060000,true,
false,200046,"Napier Avenue, Millwall",false,BikePoints_454,1326115380000,true,
false,200031,"East Ferry Road, Cubitt Town",false,BikePoints_455,1326117780000,true,
false,200118,"Parkway, Camden Town",false,BikePoints_456,1326197580000,true,
false,200016,"Castlehaven Road, Camden Town",false,BikePoints_457,1326203280000,true,
false,200034,"Wapping Lane, Wapping",false,BikePoints_458,1326294780000,true,
false,200014,"Gunmakers Lane, Old Ford",false,BikePoints_459,,true,
false,200123,"Burdett Road, Mile End",false,BikePoints_460,1326284820000,true,
true,200013,"Aston Street, Stepney",false,BikePoints_461,1326293640000,true,
false,200105,"Bonny Street, Camden Town",false,BikePoints_462,1326294600000,true,
false,200093,"Thurtle Road, Haggerston",false,BikePoints_463,,true,
false,200082,"St. Mary & St. Michael Church, Stepney",false,BikePoints_464,1326304980000,true,
false,200152,"Pitfield Street North,Hoxton",false,BikePoints_465,1333613280000,true,
false,200158,"Whiston Road, Haggerston",false,BikePoints_466,1326360000000,true,
false,200168,"Southern Grove, Bow",false,BikePoints_467,1326374040000,true,
false,200150,"Cantrell Road, Bow",false,BikePoints_468,1326375720000,true,
false,022178,"Lindfield Street, Poplar",false,BikePoints_469,1326381060000,true,
false,200174,"Mostyn Grove, Bow",false,BikePoints_470,1326790620000,true,
false,200006,"Hewison Street, Old Ford",false,BikePoints_471,1326790860000,true,
false,200019,"Malmesbury Road, Bow",false,BikePoints_472,1326791160000,true,
false,022167,"Millharbour, Millwall",false,BikePoints_473,1326816540000,true,
false,200155,"Gascoyne Road, Victoria Park",false,BikePoints_474,1326822960000,true,
false,200004,"Lightermans Road, Millwall",false,BikePoints_475,1326825480000,true,
false,200009,"Stebondale Street, Cubitt Town",false,BikePoints_476,1326962100000,true,
false,200018,"Spindrift Avenue, Millwall",false,BikePoints_477,1326963780000,true,
false,200012,"Stepney Green Station, Stepney",false,BikePoints_478,1326965580000,true,
false,200156,"Pott Street, Bethnal Green",false,BikePoints_479,1326966240000,true,
false,200115,"Flamborough Street, Limehouse",false,BikePoints_480,1326975420000,true,
false,200022,"Saunders Ness Road, Cubitt Town",false,BikePoints_481,1326996480000,true,
false,200052,"Exhibition Road Museums 2, South Kensington",false,BikePoints_482,1326996720000,true,
false,022166,"Albert Gardens, Stepney",false,BikePoints_483,1327088280000,true,
false,022172,"Bromley High Street, Bow",false,BikePoints_484,1327339740000,true,
false,022173,"Old Ford Road, Bethnal Green",false,BikePoints_485,1327255440000,true,
false,022174,"Granby Street, Shoreditch",false,BikePoints_486,1327338660000,true,
false,022175,"Canton Street, Poplar",false,BikePoints_487,1327936860000,true,
false,022176,"Reardon Street, Wapping",false,BikePoints_488,1327254960000,true,
false,022177,"Christian Street, Whitechapel",false,BikePoints_489,1327087920000,true,
false,200090,"Pennington Street, Wapping",false,BikePoints_490,,true,
false,200249,"Queen Mary's, Mile End",false,BikePoints_491,1327256220000,true,
false,200230,"Maplin Street, Mile End",false,BikePoints_492,1327256520000,true,
false,200233,"South Quay East, Canary Wharf",false,BikePoints_494,1327433220000,true,
false,200252,"Bow Church Station, Bow",false,BikePoints_495,1327340460000,true,
false,200255,"Devons Road, Bow",false,BikePoints_496,1327400820000,true,
false,200242,"Merchant Street, Bow",false,BikePoints_497,1327398420000,true,
false,200251,"Bow Road Station, Bow",false,BikePoints_498,1327398660000,true,
false,200011,"Furze Green, Bow",false,BikePoints_499,1327407960000,true,
false,200148,"Ansell House, Stepney",false,BikePoints_500,1327430040000,true,
false,200073,"Cephas Street, Bethnal Green",false,BikePoints_501,1327430220000,true,
false,200241,"Bonner Gate, Victoria Park",false,BikePoints_502,1563957840000,true,
false,200250,"Cleveland Way, Stepney",false,BikePoints_503,1327492920000,true,
false,200243,"St. John's Park, Cubitt Town",false,BikePoints_504,1327937820000,true,
false,200038,"Ackroyd Drive, Bow",false,BikePoints_505,1327937460000,true,
false,200036,"Bell Lane, Liverpool Street",false,BikePoints_506,1327938660000,true,
false,200131,"Clarkson Street, Bethnal Green",false,BikePoints_507,1327938420000,true,
false,200157,"Fournier Street, Whitechapel",false,BikePoints_508,1327938180000,true,
false,200253,"Fore Street, Guildhall",false,BikePoints_509,1327938120000,true,
false,200238,"Westferry DLR, Limehouse",false,BikePoints_510,,true,
