place_id,terminal_name,temporary,common_name,installed,install_date,removal_date,locked
BikePoints_273,001186,false,"Belvedere Road 1, South Bank",true,1279721400000,,false
BikePoints_275,001191,false,"Barbican Centre, Barbican",true,1279721880000,,false
BikePoints_278,001142,false,"Tooley Street, Bermondsey",true,1279723500000,,false
BikePoints_282,001077,false,"Royal London Hospital, Whitechapel",true,1279726980000,,false
BikePoints_286,001187,false,"St. John's Wood Road, St. John's Wood",true,1279727880000,,false
BikePoints_292,001206,false,"Montpelier Street, Knightsbridge",true,1279800600000,,false
BikePoints_294,001195,false,"St. George's Square, Pimlico",true,1279800900000,,false
BikePoints_299,001196,false,"Vincent Square, Westminster",true,1279808160000,,false
BikePoints_308,001189,false,"Long Lane , Bermondsey",true,1279816740000,,false
BikePoints_309,001192,false,"Embankment (Savoy), Strand",true,1279875060000,,false
BikePoints_310,001205,false,"Black Prince Road, Vauxhall",true,1279879560000,,false
BikePoints_315,001199,false,"The Tennis Courts, The Regent's Park",true,1279884660000,,false
BikePoints_318,001197,false,"Sackville Street, Mayfair",true,1279885320000,,false
BikePoints_324,001200,false,"Ontario Street, Elephant & Castle",true,1279894920000,,false
BikePoints_325,001158,false,"St. Martin's Street, West End",true,1279896660000,,false
BikePoints_330,001203,false,"Eastbourne Mews, Paddington",true,1280141280000,,false
BikePoints_338,001202,false,"Wellington Street , Strand",true,1280158740000,,false
BikePoints_340,001201,false,"Bank of England Museum, Bank",true,1280248620000,,false
BikePoints_343,001188,false,"London Zoo Car Park, The Regent's Park",true,1280224260000,,false
BikePoints_354,001097,false,"Northumberland Avenue, Strand",true,,,false
BikePoints_355,002694,false,"Clapham Common Station, Clapham Common",true,1287752460000,,false
BikePoints_356,002685,false,"South Kensington Station, South Kensington",true,1288009080000,,false
BikePoints_357,002691,false,"Howland Street, Fitzrovia",true,1288092420000,,false
BikePoints_362,002686,false,"Royal College Street, Camden Town",true,1290080220000,,false
BikePoints_365,002690,false,"City Road, Angel",true,1290603600000,,false
BikePoints_381,002669,false,"Charlotte Street, Fitzrovia",true,1296203760000,,false
BikePoints_387,002703,false,"Fire Brigade Pier, Vauxhall",true,1297077540000,,false
BikePoints_393,002699,false,"Snow Hill, Farringdon",true,1298545440000,,false
BikePoints_394,002698,false,"Aberdeen Place, St. John's Wood",true,,,false
BikePoints_395,002695,false,"Cadogan Gardens, Chelsea",true,1298908800000,,false
BikePoints_396,002693,false,"Shouldham Street, Marylebone",true,1299075120000,,false
BikePoints_399,002687,false,"Brick Lane Market, Shoreditch",true,1299582900000,,false
BikePoints_401,002701,false,"Columbia Road, Shoreditch",true,1299592500000,,false
BikePoints_405,001107,false,"Gloucester Road Station, South Kensington",true,1299669300000,,false
BikePoints_410,001058,false,"Edgware Road Station, Marylebone",true,,,false
BikePoints_818,300249,false,"Westminster Pier, Westminster",true,1563958740000,,false
BikePoints_840,002679,false,"George Row, Bermondsey",true,1599752640000,,false
BikePoints_845,300253,false,"Bermondsey Station, Bermondsey",true,1608303660000,,false
BikePoints_1,001023,false,"River Street , Clerkenwell",true,1278947280000,,false
BikePoints_2,001018,false,"Phillimore Gardens, Kensington",true,1278585780000,,false
BikePoints_3,001012,false,"Christopher Street, Liverpool Street",true,1278240360000,,false
BikePoints_6,003424,false,"Broadcasting House, Marylebone",true,1278241680000,,false
BikePoints_7,003422,false,"Charlbert Street, St. John's Wood",true,1278241800000,,false
BikePoints_8,003423,false,"Maida Vale, Maida Vale",true,1540984560000,,false
BikePoints_9,001015,false,"New Globe Walk, Bankside",true,1278242340000,,false
BikePoints_10,001024,false,"Park Street, Bankside",true,1278242460000,,false
BikePoints_11,001022,false,"Brunswick Square, Bloomsbury",true,1278340440000,,false
