locked,temporary,install_date,installed,removal_date,common_name,place_id,terminal_name
false,false,1323350220000,true,,"Red Lion Street, Holborn",BikePoints_436,022171
false,false,1325746380000,true,,"Vauxhall Walk, Vauxhall",BikePoints_437,200056
false,false,1325705460000,true,,"Killick Street, King's Cross",BikePoints_439,200053
false,false,1325708160000,true,,"Kennington Oval, Oval",BikePoints_440,200032
false,false,1325711220000,true,,"Sail Street, Vauxhall",BikePoints_441,200039
false,false,1325940420000,true,,"Walmer Road, Avondale",BikePoints_442,200035
false,false,1325941800000,true,,"Philpot Street, Whitechapel",BikePoints_443,200033
false,false,1325944680000,true,,"Bethnal Green Garden, Bethnal Green",BikePoints_444,200047
false,false,1325945820000,true,,"Cheshire Street, Bethnal Green",BikePoints_445,200003
false,false,1325948880000,true,,"York Hall, Bethnal Green",BikePoints_446,200042
false,false,1325949000000,true,,"Jubilee Crescent, Cubitt Town",BikePoints_447,200054
false,false,1325952660000,true,,"Fisherman's Walk West, Canary Wharf",BikePoints_448,022165
false,false,1325952900000,true,,"Shadwell Station, Shadwell",BikePoints_449,200020
false,false,1326105240000,true,,"Jubilee Street, Stepney",BikePoints_450,200002
false,false,1325501400000,true,,"Hermitage Court, Wapping",BikePoints_451,200021
false,false,1326109140000,true,,"St. Katharine's Way, Tower",BikePoints_452,200049
false,false,1326111060000,true,,"Garnet Street, Shadwell",BikePoints_453,200045
false,false,1326115380000,true,,"Napier Avenue, Millwall",BikePoints_454,200046
false,false,1326117780000,true,,"East Ferry Road, Cubitt Town",BikePoints_455,200031
false,false,1326197580000,true,,"Parkway, Camden Town",BikePoints_456,200118
false,false,1326203280000,true,,"Castlehaven Road, Camden Town",BikePoints_457,200016
false,false,1326294780000,true,,"Wapping Lane, Wapping",BikePoints_458,200034
false,false,,true,,"Gunmakers Lane, Old Ford",BikePoints_459,200014
false,false,1326284820000,true,,"Burdett Road, Mile End",BikePoints_460,200123
false,true,1326293640000,true,,"Aston Street, Stepney",BikePoints_461,200013
false,false,1326294600000,true,,"Bonny Street, Camden Town",BikePoints_462,200105
false,false,,true,,"Thurtle Road, Haggerston",BikePoints_463,200093
false,false,1326304980000,true,,"St. Mary & St. Michael Church, Stepney",BikePoints_464,200082
false,false,1333613280000,true,,"Pitfield Street North,Hoxton",BikePoints_465,200152
false,false,1326360000000,true,,"Whiston Road, Haggerston",BikePoints_466,200158
false,false,1326374040000,true,,"Southern Grove, Bow",BikePoints_467,200168
false,false,1326375720000,true,,"Cantrell Road, Bow",BikePoints_468,200150
false,false,1326381060000,true,,"Lindfield Street, Poplar",BikePoints_469,022178
