install_date,temporary,common_name,locked,place_id,removal_date,terminal_name,installed
1280160600000,false,"Risinghill Street, Angel",false,BikePoints_339,,001127,true
1280248620000,false,"Bank of England Museum, Bank",false,BikePoints_340,,001201,true
1280222160000,false,"Craven Street, Strand",false,BikePoints_341,,001160,true
1280224260000,false,"London Zoo Car Park, The Regent's Park",false,BikePoints_343,,001188,true
1280226120000,false,"Goswell Road (City Uni), Finsbury",false,BikePoints_344,,001222,true
1280229720000,false,"Flood Street, Chelsea",false,BikePoints_345,,001218,true
1283762460000,false,"Lower Marsh, Waterloo",false,BikePoints_347,,001219,true
1284540540000,false,"Grosvenor Square, Mayfair",false,BikePoints_348,,010627,true
1284543120000,false,"St. George Street, Mayfair",false,BikePoints_349,,001221,true
1285756260000,false,"Queen's Gate, Kensington Gardens",false,BikePoints_350,,001231,true
1286790480000,false,"Macclesfield Rd, St Lukes",false,BikePoints_351,,001226,true
1286796360000,false,"Vauxhall Street, Vauxhall",false,BikePoints_352,,001224,true
1287652080000,false,"Greycoat Street , Westminster",false,BikePoints_353,,010623,true
,false,"Northumberland Avenue, Strand",false,BikePoints_354,,001097,true
1287752460000,false,"Clapham Common Station, Clapham Common",false,BikePoints_355,,002694,true
1288009080000,false,"South Kensington Station, South Kensington",false,BikePoints_356,,002685,true
1288092420000,false,"Howland Street, Fitzrovia",false,BikePoints_357,,002691,true
1290079860000,false,"High Holborn , Covent Garden",false,BikePoints_358,,001229,true
1288950960000,false,"Butler Place, Westminster",false,BikePoints_359,,002662,true
1288958160000,false,"Howick Place, Westminster",false,BikePoints_360,,002666,true
1291902600000,false,"Waterloo Station 2, Waterloo",false,BikePoints_361,,002692,true
1290080220000,false,"Royal College Street, Camden Town",false,BikePoints_362,,002686,true
1289911800000,false,"Lord's, St. John's Wood",false,BikePoints_363,,002665,true
1290080640000,false,"Store Street, Bloomsbury",false,BikePoints_364,,003507,true
1290603600000,false,"City Road, Angel",false,BikePoints_365,,002690,true
,false,"Harrowby Street, Marylebone",false,BikePoints_367,,002680,true
1291201680000,false,"Harriet Street, Knightsbridge",false,BikePoints_368,,002681,true
1291647300000,false,"Paddington Green, Paddington",false,BikePoints_370,,002670,true
1291712820000,false,"King Edward Walk, Waterloo",false,BikePoints_371,,002639,true
1291713000000,false,"Sardinia Street, Holborn",false,BikePoints_372,,002649,true
1295428320000,false,"Prince Consort Road, Knightsbridge",false,BikePoints_373,,003499,true
1291725720000,false,"Waterloo Station 1, Waterloo",false,BikePoints_374,,002696,true
1291805820000,false,"Kensington Town Hall, Kensington",false,BikePoints_375,,010632,true
1294660980000,false,"Millbank Tower, Pimlico",false,BikePoints_376,,002683,true
1295265420000,false,"Waterloo Bridge, South Bank",false,BikePoints_377,,002648,true
1296121500000,false,"Natural History Museum, South Kensington",false,BikePoints_378,,002677,true
1296121680000,false,"Turquoise Island, Notting Hill",false,BikePoints_379,,002682,true
1296125400000,false,"Stanhope Gate, Mayfair",false,BikePoints_380,,003506,true
1296203760000,false,"Charlotte Street, Fitzrovia",false,BikePoints_381,,002669,true
1297159320000,false,"Farm Street, Mayfair",false,BikePoints_382,,002678,true
1296649200000,false,"Frith Street, Soho",false,BikePoints_383,,002660,true
1296731880000,false,"Marloes Road, Kensington",false,BikePoints_384,,003505,true
1296732540000,false,"Moor Street, Soho",false,BikePoints_386,,003504,true
1297077540000,false,"Fire Brigade Pier, Vauxhall",false,BikePoints_387,,002703,true
1297182180000,false,"Southampton Street, Strand",false,BikePoints_388,,001228,true
