installed,temporary,locked,common_name,install_date,removal_date,place_id,terminal_name
true,false,false,"Kennington Station, Kennington",1323346020000,,BikePoints_435,022170
true,false,false,"Red Lion Street, Holborn",1323350220000,,BikePoints_436,022171
true,false,false,"Vauxhall Walk, Vauxhall",1325746380000,,BikePoints_437,200056
true,false,false,"Killick Street, King's Cross",1325705460000,,BikePoints_439,200053
true,false,false,"Kennington Oval, Oval",1325708160000,,BikePoints_440,200032
true,false,false,"Sail Street, Vauxhall",1325711220000,,BikePoints_441,200039
true,false,false,"Walmer Road, Avondale",1325940420000,,BikePoints_442,200035
true,false,false,"Philpot Street, Whitechapel",1325941800000,,BikePoints_443,200033
true,false,false,"Bethnal Green Garden, Bethnal Green",1325944680000,,BikePoints_444,200047
true,false,false,"Cheshire Street, Bethnal Green",1325945820000,,BikePoints_445,200003
true,false,false,"York Hall, Bethnal Green",1325948880000,,BikePoints_446,200042
true,false,false,"Jubilee Crescent, Cubitt Town",1325949000000,,BikePoints_447,200054
true,false,false,"Fisherman's Walk West, Canary Wharf",1325952660000,,BikePoints_448,022165
true,false,false,"Shadwell Station, Shadwell",1325952900000,,BikePoints_449,200020
true,false,false,"Jubilee Street, Stepney",1326105240000,,BikePoints_450,200002
true,false,false,"Hermitage Court, Wapping",1325501400000,,BikePoints_451,200021
true,false,false,"St. Katharine's Way, Tower",1326109140000,,BikePoints_452,200049
true,false,false,"Garnet Street, Shadwell",1326111060000,,BikePoints_453,200045
true,false,false,"Napier Avenue, Millwall",1326115380000,,BikePoints_454,200046
true,false,false,"East Ferry Road, Cubitt Town",1326117780000,,BikePoints_455,200031
true,false,false,"Parkway, Camden Town",1326197580000,,BikePoints_456,200118
true,false,false,"Castlehaven Road, Camden Town",1326203280000,,BikePoints_457,200016
true,false,false,"Wapping Lane, Wapping",1326294780000,,BikePoints_458,200034
true,false,false,"Gunmakers Lane, Old Ford",,,BikePoints_459,200014
true,false,false,"Burdett Road, Mile End",1326284820000,,BikePoints_460,200123
true,true,false,"Aston Street, Stepney",1326293640000,,BikePoints_461,200013
true,false,false,"Bonny Street, Camden Town",1326294600000,,BikePoints_462,200105
true,false,false,"Thurtle Road, Haggerston",,,BikePoints_463,200093
true,false,false,"St. Mary & St. Michael Church, Stepney",1326304980000,,BikePoints_464,200082
true,false,false,"Pitfield Street North,Hoxton",1333613280000,,BikePoints_465,200152
true,false,false,"Whiston Road, Haggerston",1326360000000,,BikePoints_466,200158
true,false,false,"Southern Grove, Bow",1326374040000,,BikePoints_467,200168
true,false,false,"Cantrell Road, Bow",1326375720000,,BikePoints_468,200150
true,false,false,"Lindfield Street, Poplar",1326381060000,,BikePoints_469,022178
true,false,false,"Mostyn Grove, Bow",1326790620000,,BikePoints_470,200174
true,false,false,"Hewison Street, Old Ford",1326790860000,,BikePoints_471,200006
true,false,false,"Malmesbury Road, Bow",1326791160000,,BikePoints_472,200019
true,false,false,"Millharbour, Millwall",1326816540000,,BikePoints_473,022167
true,false,false,"Gascoyne Road, Victoria Park",1326822960000,,BikePoints_474,200155
true,false,false,"Lightermans Road, Millwall",1326825480000,,BikePoints_475,200004
true,false,false,"Stebondale Street, Cubitt Town",1326962100000,,BikePoints_476,200009
true,false,false,"Spindrift Avenue, Millwall",1326963780000,,BikePoints_477,200018
true,false,false,"Stepney Green Station, Stepney",1326965580000,,BikePoints_478,200012
true,false,false,"Pott Street, Bethnal Green",1326966240000,,BikePoints_479,200156
true,false,false,"Flamborough Street, Limehouse",1326975420000,,BikePoints_480,200115
