common_name,place_id,locked,temporary,terminal_name,install_date,installed,removal_date
"Wren Street, Holborn",BikePoints_433,false,false,022169,1323361560000,true,
"Kennington Station, Kennington",BikePoints_435,false,false,022170,1323346020000,true,
"Red Lion Street, Holborn",BikePoints_436,false,false,022171,1323350220000,true,
"Vauxhall Walk, Vauxhall",BikePoints_437,false,false,200056,1325746380000,true,
"Killick Street, King's Cross",BikePoints_439,false,false,200053,1325705460000,true,
"Kennington Oval, Oval",BikePoints_440,false,false,200032,1325708160000,true,
"Sail Street, Vauxhall",BikePoints_441,false,false,200039,1325711220000,true,
"Walmer Road, Avondale",BikePoints_442,false,false,200035,1325940420000,true,
"Philpot Street, Whitechapel",BikePoints_443,false,false,200033,1325941800000,true,
"Bethnal Green Garden, Bethnal Green",BikePoints_444,false,false,200047,1325944680000,true,
"Cheshire Street, Bethnal Green",BikePoints_445,false,false,200003,1325945820000,true,
"York Hall, Bethnal Green",BikePoints_446,false,false,200042,1325948880000,true,
"Jubilee Crescent, Cubitt Town",BikePoints_447,false,false,200054,1325949000000,true,
"Fisherman's Walk West, Canary Wharf",BikePoints_448,false,false,022165,1325952660000,true,
"Shadwell Station, Shadwell",BikePoints_449,false,false,200020,1325952900000,true,
"Jubilee Street, Stepney",BikePoints_450,false,false,200002,1326105240000,true,
"Hermitage Court, Wapping",BikePoints_451,false,false,200021,1325501400000,true,
"St. Katharine's Way, Tower",BikePoints_452,false,false,200049,1326109140000,true,
"Garnet Street, Shadwell",BikePoints_453,false,false,200045,1326111060000,true,
"Napier Avenue, Millwall",BikePoints_454,false,false,200046,1326115380000,true,
"East Ferry Road, Cubitt Town",BikePoints_455,false,false,200031,1326117780000,true,
"Parkway, Camden Town",BikePoints_456,false,false,200118,1326197580000,true,
"Castlehaven Road, Camden Town",BikePoints_457,false,false,200016,1326203280000,true,
"Wapping Lane, Wapping",BikePoints_458,false,false,200034,1326294780000,true,
"Gunmakers Lane, Old Ford",BikePoints_459,false,false,200014,,true,
"Burdett Road, Mile End",BikePoints_460,false,false,200123,1326284820000,true,
"Aston Street, Stepney",BikePoints_461,false,true,200013,1326293640000,true,
"Bonny Street, Camden Town",BikePoints_462,false,false,200105,1326294600000,true,
"Thurtle Road, Haggerston",BikePoints_463,false,false,200093,,true,
"St. Mary & St. Michael Church, Stepney",BikePoints_464,false,false,200082,1326304980000,true,
"Pitfield Street North,Hoxton",BikePoints_465,false,false,200152,1333613280000,true,
"Whiston Road, Haggerston",BikePoints_466,false,false,200158,1326360000000,true,
"Southern Grove, Bow",BikePoints_467,false,false,200168,1326374040000,true,
"Cantrell Road, Bow",BikePoints_468,false,false,200150,1326375720000,true,
"Lindfield Street, Poplar",BikePoints_469,false,false,022178,1326381060000,true,
"Mostyn Grove, Bow",BikePoints_470,false,false,200174,1326790620000,true,
"Hewison Street, Old Ford",BikePoints_471,false,false,200006,1326790860000,true,
"Malmesbury Road, Bow",BikePoints_472,false,false,200019,1326791160000,true,
"Millharbour, Millwall",BikePoints_473,false,false,022167,1326816540000,true,
"Gascoyne Road, Victoria Park",BikePoints_474,false,false,200155,1326822960000,true,
"Lightermans Road, Millwall",BikePoints_475,false,false,200004,1326825480000,true,
"Stebondale Street, Cubitt Town",BikePoints_476,false,false,200009,1326962100000,true,
"Spindrift Avenue, Millwall",BikePoints_477,false,false,200018,1326963780000,true,
"Stepney Green Station, Stepney",BikePoints_478,false,false,200012,1326965580000,true,
"Pott Street, Bethnal Green",BikePoints_479,false,false,200156,1326966240000,true,
"Flamborough Street, Limehouse",BikePoints_480,false,false,200115,1326975420000,true,
"Saunders Ness Road, Cubitt Town",BikePoints_481,false,false,200022,1326996480000,true,
"Exhibition Road Museums 2, South Kensington",BikePoints_482,false,false,200052,1326996720000,true,
"Albert Gardens, Stepney",BikePoints_483,false,false,022166,1327088280000,true,
"Bromley High Street, Bow",BikePoints_484,false,false,022172,1327339740000,true,
"Old Ford Road, Bethnal Green",BikePoints_485,false,false,022173,1327255440000,true,
