terminal_name,installed,common_name,place_id,install_date,removal_date,temporary,locked
022171,true,"Red Lion Street, Holborn",BikePoints_436,1323350220000,,false,false
200056,true,"Vauxhall Walk, Vauxhall",BikePoints_437,1325746380000,,false,false
200053,true,"Killick Street, King's Cross",BikePoints_439,1325705460000,,false,false
200032,true,"Kennington Oval, Oval",BikePoints_440,1325708160000,,false,false
200039,true,"Sail Street, Vauxhall",BikePoints_441,1325711220000,,false,false
200035,true,"Walmer Road, Avondale",BikePoints_442,1325940420000,,false,false
200033,true,"Philpot Street, Whitechapel",BikePoints_443,1325941800000,,false,false
200047,true,"Bethnal Green Garden, Bethnal Green",BikePoints_444,1325944680000,,false,false
200003,true,"Cheshire Street, Bethnal Green",BikePoints_445,1325945820000,,false,false
200042,true,"York Hall, Bethnal Green",BikePoints_446,1325948880000,,false,false
200054,true,"Jubilee Crescent, Cubitt Town",BikePoints_447,1325949000000,,false,false
022165,true,"Fisherman's Walk West, Canary Wharf",BikePoints_448,1325952660000,,false,false
200020,true,"Shadwell Station, Shadwell",BikePoints_449,1325952900000,,false,false
200002,true,"Jubilee Street, Stepney",BikePoints_450,1326105240000,,false,false
200021,true,"Hermitage Court, Wapping",BikePoints_451,1325501400000,,false,false
200049,true,"St. Katharine's Way, Tower",BikePoints_452,1326109140000,,false,false
200045,true,"Garnet Street, Shadwell",BikePoints_453,1326111060000,,false,false
200046,true,"Napier Avenue, Millwall",BikePoints_454,1326115380000,,false,false
200031,true,"East Ferry Road, Cubitt Town",BikePoints_455,1326117780000,,false,false
200118,true,"Parkway, Camden Town",BikePoints_456,1326197580000,,false,false
200016,true,"Castlehaven Road, Camden Town",BikePoints_457,1326203280000,,false,false
200034,true,"Wapping Lane, Wapping",BikePoints_458,1326294780000,,false,false
200014,true,"Gunmakers Lane, Old Ford",BikePoints_459,,,false,false
200123,true,"Burdett Road, Mile End",BikePoints_460,1326284820000,,false,false
200013,true,"Aston Street, Stepney",BikePoints_461,1326293640000,,true,false
200105,true,"Bonny Street, Camden Town",BikePoints_462,1326294600000,,false,false
200093,true,"Thurtle Road, Haggerston",BikePoints_463,,,false,false
200082,true,"St. Mary & St. Michael Church, Stepney",BikePoints_464,1326304980000,,false,false
200152,true,"Pitfield Street North,Hoxton",BikePoints_465,1333613280000,,false,false
200158,true,"Whiston Road, Haggerston",BikePoints_466,1326360000000,,false,false
200168,true,"Southern Grove, Bow",BikePoints_467,1326374040000,,false,false
200150,true,"Cantrell Road, Bow",BikePoints_468,1326375720000,,false,false
022178,true,"Lindfield Street, Poplar",BikePoints_469,1326381060000,,false,false
200174,true,"Mostyn Grove, Bow",BikePoints_470,1326790620000,,false,false
200006,true,"Hewison Street, Old Ford",BikePoints_471,1326790860000,,false,false
200019,true,"Malmesbury Road, Bow",BikePoints_472,1326791160000,,false,false
022167,true,"Millharbour, Millwall",BikePoints_473,1326816540000,,false,false
200155,true,"Gascoyne Road, Victoria Park",BikePoints_474,1326822960000,,false,false
200004,true,"Lightermans Road, Millwall",BikePoints_475,1326825480000,,false,false
200009,true,"Stebondale Street, Cubitt Town",BikePoints_476,1326962100000,,false,false
200018,true,"Spindrift Avenue, Millwall",BikePoints_477,1326963780000,,false,false
200012,true,"Stepney Green Station, Stepney",BikePoints_478,1326965580000,,false,false
200156,true,"Pott Street, Bethnal Green",BikePoints_479,1326966240000,,false,false
200115,true,"Flamborough Street, Limehouse",BikePoints_480,1326975420000,,false,false
200022,true,"Saunders Ness Road, Cubitt Town",BikePoints_481,1326996480000,,false,false
