place_id,temporary,installed,removal_date,terminal_name,common_name,install_date,locked
BikePoints_437,false,true,,200056,"Vauxhall Walk, Vauxhall",1325746380000,false
BikePoints_439,false,true,,200053,"Killick Street, King's Cross",1325705460000,false
BikePoints_440,false,true,,200032,"Kennington Oval, Oval",1325708160000,false
BikePoints_441,false,true,,200039,"Sail Street, Vauxhall",1325711220000,false
BikePoints_442,false,true,,200035,"Walmer Road, Avondale",1325940420000,false
BikePoints_443,false,true,,200033,"Philpot Street, Whitechapel",1325941800000,false
BikePoints_444,false,true,,200047,"Bethnal Green Garden, Bethnal Green",1325944680000,false
BikePoints_445,false,true,,200003,"Cheshire Street, Bethnal Green",1325945820000,false
BikePoints_446,false,true,,200042,"York Hall, Bethnal Green",1325948880000,false
BikePoints_447,false,true,,200054,"Jubilee Crescent, Cubitt Town",1325949000000,false
BikePoints_448,false,true,,022165,"Fisherman's Walk West, Canary Wharf",1325952660000,false
BikePoints_449,false,true,,200020,"Shadwell Station, Shadwell",1325952900000,false
BikePoints_450,false,true,,200002,"Jubilee Street, Stepney",1326105240000,false
BikePoints_451,false,true,,200021,"Hermitage Court, Wapping",1325501400000,false
BikePoints_452,false,true,,200049,"St. Katharine's Way, Tower",1326109140000,false
BikePoints_453,false,true,,200045,"Garnet Street, Shadwell",1326111060000,false
BikePoints_454,false,true,,200046,"Napier Avenue, Millwall",1326115380000,false
BikePoints_455,false,true,,200031,"East Ferry Road, Cubitt Town",1326117780000,false
BikePoints_456,false,true,,200118,"Parkway, Camden Town",1326197580000,false
BikePoints_457,false,true,,200016,"Castlehaven Road, Camden Town",1326203280000,false
BikePoints_458,false,true,,200034,"Wapping Lane, Wapping",1326294780000,false
BikePoints_459,false,true,,200014,"Gunmakers Lane, Old Ford",,false
BikePoints_460,false,true,,200123,"Burdett Road, Mile End",1326284820000,false
BikePoints_461,true,true,,200013,"Aston Street, Stepney",1326293640000,false
BikePoints_462,false,true,,200105,"Bonny Street, Camden Town",1326294600000,false
BikePoints_463,false,true,,200093,"Thurtle Road, Haggerston",,false
BikePoints_464,false,true,,200082,"St. Mary & St. Michael Church, Stepney",1326304980000,false
BikePoints_465,false,true,,200152,"Pitfield Street North,Hoxton",1333613280000,false
BikePoints_466,false,true,,200158,"Whiston Road, Haggerston",1326360000000,false
