place_id,temporary,installed,locked,removal_date,common_name,install_date,terminal_name
BikePoints_433,false,true,false,,"Wren Street, Holborn",1323361560000,022169
BikePoints_435,false,true,false,,"Kennington Station, Kennington",1323346020000,022170
BikePoints_436,false,true,false,,"Red Lion Street, Holborn",1323350220000,022171
BikePoints_437,false,true,false,,"Vauxhall Walk, Vauxhall",1325746380000,200056
BikePoints_439,false,true,false,,"Killick Street, King's Cross",1325705460000,200053
BikePoints_440,false,true,false,,"Kennington Oval, Oval",1325708160000,200032
BikePoints_441,false,true,false,,"Sail Street, Vauxhall",1325711220000,200039
BikePoints_442,false,true,false,,"Walmer Road, Avondale",1325940420000,200035
BikePoints_443,false,true,false,,"Philpot Street, Whitechapel",1325941800000,200033
BikePoints_444,false,true,false,,"Bethnal Green Garden, Bethnal Green",1325944680000,200047
BikePoints_445,false,true,false,,"Cheshire Street, Bethnal Green",1325945820000,200003
BikePoints_446,false,true,false,,"York Hall, Bethnal Green",1325948880000,200042
BikePoints_447,false,true,false,,"Jubilee Crescent, Cubitt Town",1325949000000,200054
BikePoints_448,false,true,false,,"Fisherman's Walk West, Canary Wharf",1325952660000,022165
BikePoints_449,false,true,false,,"Shadwell Station, Shadwell",1325952900000,200020
BikePoints_450,false,true,false,,"Jubilee Street, Stepney",1326105240000,200002
BikePoints_451,false,true,false,,"Hermitage Court, Wapping",1325501400000,200021
BikePoints_452,false,true,false,,"St. Katharine's Way, Tower",1326109140000,200049
BikePoints_453,false,true,false,,"Garnet Street, Shadwell",1326111060000,200045
BikePoints_454,false,true,false,,"Napier Avenue, Millwall",1326115380000,200046
BikePoints_455,false,true,false,,"East Ferry Road, Cubitt Town",1326117780000,200031
BikePoints_456,false,true,false,,"Parkway, Camden Town",1326197580000,200118
BikePoints_457,false,true,false,,"Castlehaven Road, Camden Town",1326203280000,200016
BikePoints_458,false,true,false,,"Wapping Lane, Wapping",1326294780000,200034
BikePoints_459,false,true,false,,"Gunmakers Lane, Old Ford",,200014
BikePoints_460,false,true,false,,"Burdett Road, Mile End",1326284820000,200123
BikePoints_461,true,true,false,,"Aston Street, Stepney",1326293640000,200013
BikePoints_462,false,true,false,,"Bonny Street, Camden Town",1326294600000,200105
BikePoints_463,false,true,false,,"Thurtle Road, Haggerston",,200093
BikePoints_464,false,true,false,,"St. Mary & St. Michael Church, Stepney",1326304980000,200082
BikePoints_465,false,true,false,,"Pitfield Street North,Hoxton",1333613280000,200152
BikePoints_466,false,true,false,,"Whiston Road, Haggerston",1326360000000,200158
BikePoints_467,false,true,false,,"Southern Grove, Bow",1326374040000,200168
BikePoints_468,false,true,false,,"Cantrell Road, Bow",1326375720000,200150
BikePoints_469,false,true,false,,"Lindfield Street, Poplar",1326381060000,022178
BikePoints_470,false,true,false,,"Mostyn Grove, Bow",1326790620000,200174
BikePoints_471,false,true,false,,"Hewison Street, Old Ford",1326790860000,200006
BikePoints_472,false,true,false,,"Malmesbury Road, Bow",1326791160000,200019
BikePoints_473,false,true,false,,"Millharbour, Millwall",1326816540000,022167
BikePoints_474,false,true,false,,"Gascoyne Road, Victoria Park",1326822960000,200155
BikePoints_475,false,true,false,,"Lightermans Road, Millwall",1326825480000,200004
BikePoints_476,false,true,false,,"Stebondale Street, Cubitt Town",1326962100000,200009
BikePoints_477,false,true,false,,"Spindrift Avenue, Millwall",1326963780000,200018
BikePoints_478,false,true,false,,"Stepney Green Station, Stepney",1326965580000,200012
BikePoints_479,false,true,false,,"Pott Street, Bethnal Green",1326966240000,200156
BikePoints_480,false,true,false,,"Flamborough Street, Limehouse",1326975420000,200115
BikePoints_481,false,true,false,,"Saunders Ness Road, Cubitt Town",1326996480000,200022
BikePoints_482,false,true,false,,"Exhibition Road Museums 2, South Kensington",1326996720000,200052
BikePoints_483,false,true,false,,"Albert Gardens, Stepney",1327088280000,022166
BikePoints_484,false,true,false,,"Bromley High Street, Bow",1327339740000,022172
