temporary,installed,place_id,terminal_name,common_name,install_date,removal_date,locked
false,true,BikePoints_431,022183,"Crinan Street, King's Cross",1323355020000,,false
false,true,BikePoints_432,022158,"Exhibition Road Museums 1, South Kensington",1319448720000,,false
false,true,BikePoints_433,022169,"Wren Street, Holborn",1323361560000,,false
false,true,BikePoints_435,022170,"Kennington Station, Kennington",1323346020000,,false
false,true,BikePoints_436,022171,"Red Lion Street, Holborn",1323350220000,,false
false,true,BikePoints_437,200056,"Vauxhall Walk, Vauxhall",1325746380000,,false
false,true,BikePoints_439,200053,"Killick Street, King's Cross",1325705460000,,false
false,true,BikePoints_440,200032,"Kennington Oval, Oval",1325708160000,,false
false,true,BikePoints_441,200039,"Sail Street, Vauxhall",1325711220000,,false
false,true,BikePoints_442,200035,"Walmer Road, Avondale",1325940420000,,false
false,true,BikePoints_443,200033,"Philpot Street, Whitechapel",1325941800000,,false
false,true,BikePoints_444,200047,"Bethnal Green Garden, Bethnal Green",1325944680000,,false
false,true,BikePoints_445,200003,"Cheshire Street, Bethnal Green",1325945820000,,false
false,true,BikePoints_446,200042,"York Hall, Bethnal Green",1325948880000,,false
false,true,BikePoints_447,200054,"Jubilee Crescent, Cubitt Town",1325949000000,,false
false,true,BikePoints_448,022165,"Fisherman's Walk West, Canary Wharf",1325952660000,,false
false,true,BikePoints_449,200020,"Shadwell Station, Shadwell",1325952900000,,false
false,true,BikePoints_450,200002,"Jubilee Street, Stepney",1326105240000,,false
false,true,BikePoints_451,200021,"Hermitage Court, Wapping",1325501400000,,false
false,true,BikePoints_452,200049,"St. Katharine's Way, Tower",1326109140000,,false
false,true,BikePoints_453,200045,"Garnet Street, Shadwell",1326111060000,,false
false,true,BikePoints_454,200046,"Napier Avenue, Millwall",1326115380000,,false
false,true,BikePoints_455,200031,"East Ferry Road, Cubitt Town",1326117780000,,false
false,true,BikePoints_456,200118,"Parkway, Camden Town",1326197580000,,false
false,true,BikePoints_457,200016,"Castlehaven Road, Camden Town",1326203280000,,false
false,true,BikePoints_458,200034,"Wapping Lane, Wapping",1326294780000,,false
false,true,BikePoints_459,200014,"Gunmakers Lane, Old Ford",,,false
false,true,BikePoints_460,200123,"Burdett Road, Mile End",1326284820000,,false
true,true,BikePoints_461,200013,"Aston Street, Stepney",1326293640000,,false
false,true,BikePoints_462,200105,"Bonny Street, Camden Town",1326294600000,,false
false,true,BikePoints_463,200093,"Thurtle Road, Haggerston",,,false
false,true,BikePoints_464,200082,"St. Mary & St. Michael Church, Stepney",1326304980000,,false
false,true,BikePoints_465,200152,"Pitfield Street North,Hoxton",1333613280000,,false
false,true,BikePoints_466,200158,"Whiston Road, Haggerston",1326360000000,,false
false,true,BikePoints_467,200168,"Southern Grove, Bow",1326374040000,,false
false,true,BikePoints_468,200150,"Cantrell Road, Bow",1326375720000,,false
false,true,BikePoints_469,022178,"Lindfield Street, Poplar",1326381060000,,false
false,true,BikePoints_470,200174,"Mostyn Grove, Bow",1326790620000,,false
false,true,BikePoints_471,200006,"Hewison Street, Old Ford",1326790860000,,false
false,true,BikePoints_472,200019,"Malmesbury Road, Bow",1326791160000,,false
false,true,BikePoints_473,022167,"Millharbour, Millwall",1326816540000,,false
false,true,BikePoints_474,200155,"Gascoyne Road, Victoria Park",1326822960000,,false
false,true,BikePoints_475,200004,"Lightermans Road, Millwall",1326825480000,,false
false,true,BikePoints_476,200009,"Stebondale Street, Cubitt Town",1326962100000,,false
false,true,BikePoints_477,200018,"Spindrift Avenue, Millwall",1326963780000,,false
false,true,BikePoints_478,200012,"Stepney Green Station, Stepney",1326965580000,,false
false,true,BikePoints_479,200156,"Pott Street, Bethnal Green",1326966240000,,false
false,true,BikePoints_480,200115,"Flamborough Street, Limehouse",1326975420000,,false
false,true,BikePoints_481,200022,"Saunders Ness Road, Cubitt Town",1326996480000,,false
false,true,BikePoints_482,200052,"Exhibition Road Museums 2, South Kensington",1326996720000,,false
false,true,BikePoints_483,022166,"Albert Gardens, Stepney",1327088280000,,false
false,true,BikePoints_484,022172,"Bromley High Street, Bow",1327339740000,,false
false,true,BikePoints_485,022173,"Old Ford Road, Bethnal Green",1327255440000,,false
false,true,BikePoints_486,022174,"Granby Street, Shoreditch",1327338660000,,false
false,true,BikePoints_487,022175,"Canton Street, Poplar",1327936860000,,false
false,true,BikePoints_488,022176,"Reardon Street, Wapping",1327254960000,,false
false,true,BikePoints_490,200090,"Pennington Street, Wapping",,,false
false,true,BikePoints_491,200249,"Queen Mary's, Mile End",1327256220000,,false
false,true,BikePoints_492,200230,"Maplin Street, Mile End",1327256520000,,false
