common_name,locked,removal_date,install_date,place_id,temporary,terminal_name,installed
"Finlay Street, Fulham",false,,1380288900000,BikePoints_615,false,200029,true
"Aintree Street, Fulham",false,,,BikePoints_616,false,200098,true
"Elysium Place, Fulham",false,,1380531540000,BikePoints_617,false,200028,true
"Eel Brook Common, Walham Green",false,,1380546540000,BikePoints_618,false,300003,true
"Irene Road, Parsons Green",false,,1380552360000,BikePoints_619,false,300012,true
"Surrey Lane, Battersea",false,,1380629040000,BikePoints_620,false,300010,true
"Wandsworth Town Station, Wandsworth",false,,1380899280000,BikePoints_621,false,200091,true
"Lansdowne Road, Ladbroke Grove",false,,1380901680000,BikePoints_622,false,200172,true
"Nantes Close, Wandsworth",false,,1381135320000,BikePoints_623,false,200186,true
"Courland Grove, Wandsworth Road",false,,1381224240000,BikePoints_624,false,200173,true
"Queen's Circus, Battersea Park",false,,1381227480000,BikePoints_625,false,200190,true
"Normand Park, West Kensington",false,,1381920300000,BikePoints_626,false,300008,true
"Holden Street, Battersea",false,,1381931400000,BikePoints_627,false,200007,true
"William Morris Way, Sands End",false,,1381414980000,BikePoints_628,false,200062,true
"Morie Street, Wandsworth",false,,1381479480000,BikePoints_629,false,200187,true
"Clarence Walk, Stockwell",false,,1381487100000,BikePoints_630,false,200194,true
"Battersea Park Road, Nine Elms",false,,1381245300000,BikePoints_631,false,200183,true
"Sheepcote Lane, Battersea",false,,1381220700000,BikePoints_632,false,200176,true
"Vereker Road, West Kensington",false,,1381402920000,BikePoints_633,false,200116,true
"Brook Green South, Brook Green",false,,1381743780000,BikePoints_634,false,300002,true
"Greyhound Road, Hammersmith",false,,1381756440000,BikePoints_635,false,200215,true
"South Park, Sands End",false,,1381846320000,BikePoints_636,false,200180,true
"Spencer Park, Wandsworth Common",false,,1381933680000,BikePoints_637,false,200191,true
"Falcon Road, Clapham Junction",false,,1381834020000,BikePoints_638,false,300014,true
"Coomer Place, West Kensington",false,,1381835700000,BikePoints_639,false,200081,true
"Silverthorne Road, Battersea",false,,1382010420000,BikePoints_640,false,200179,true
"Archbishop's Park, Waterloo",false,,1381926900000,BikePoints_641,false,300025,true
"Fawcett Close, Battersea",false,,1381934220000,BikePoints_642,false,200192,true
"All Saints' Road, Portobello",false,,1382010720000,BikePoints_643,false,300026,true
"Rainville Road, Hammersmith",false,,1382278560000,BikePoints_644,false,200182,true
"Great Suffolk Street, The Borough",false,,1382110800000,BikePoints_645,false,200200,true
"Buckingham Gate, Westminster",false,,1382084340000,BikePoints_646,false,200178,true
"Richmond Way, Shepherd's Bush",false,,1382347140000,BikePoints_647,false,200181,true
"Peterborough Road, Sands End",false,,1382352840000,BikePoints_648,false,200171,true
"World's End Place, West Chelsea",false,,1382348400000,BikePoints_649,false,300009,true
"St. Mark's Road, North Kensington",false,,1382438520000,BikePoints_650,false,300034,true
"Thorndike Close, West Chelsea",false,,1382441580000,BikePoints_651,false,300030,true
"Evesham Street, Avondale",false,,1381848540000,BikePoints_652,false,300022,true
"Simpson Street, Clapham Junction",false,,1382539860000,BikePoints_653,false,200196,true
"Ashmole Estate, Oval",false,,1382520000000,BikePoints_654,false,200223,true
"Crabtree Lane, Fulham",false,,1382611200000,BikePoints_655,false,200221,true
"Broomhouse Lane, Parsons Green",false,,1382614560000,BikePoints_656,false,200040,true
"Blythe Road West, Shepherd's Bush",false,,1382621400000,BikePoints_657,false,200220,true
"Ethelburga Estate, Battersea Park",false,,1383731100000,BikePoints_658,false,300005,true
"Blackfriars Station, St. Paul's",false,,1382697060000,BikePoints_659,false,200212,true
"West Kensington Station, West Kensington",false,,1382705340000,BikePoints_660,false,300020,true
"All Saints Church, Portobello",false,,1382887680000,BikePoints_661,false,300023,true
"Phene Street, Chelsea",false,,1382866680000,BikePoints_662,false,200189,true
"Clarendon Road, Avondale",false,,1382870040000,BikePoints_663,false,200124,true
"Austin Road, Battersea Park",false,,1382964300000,BikePoints_664,false,300013,true
"Smugglers Way, Wandsworth",false,,1382975700000,BikePoints_665,false,200113,true
"Shepherd's Bush Road North, Shepherd's Bush",false,,1383136140000,BikePoints_667,false,200209,true
"Ravenscourt Park Station, Hammersmith",false,,1383143160000,BikePoints_668,false,300037,true
"Teversham Lane, Stockwell",false,,1383147660000,BikePoints_669,false,300036,true
"Ashley Crescent, Battersea",false,,1383212640000,BikePoints_670,false,200169,true
"Parsons Green Station, Parsons Green",false,,1383217920000,BikePoints_671,false,300052,true
"Hibbert Street, Battersea",false,,1383319500000,BikePoints_673,false,300051,true
"Carnegie Street, King's Cross",false,,,BikePoints_674,false,300035,true
"Usk Road, Clapham Junction",false,,1383322320000,BikePoints_675,false,200126,true
"Hartington Road, Stockwell",false,,1383584400000,BikePoints_676,false,200207,true
"Heath Road, Battersea",false,,1383476160000,BikePoints_677,false,200023,true
"Esmond Street, Putney",false,,1383653580000,BikePoints_678,false,200170,true
"Orbel Street, Battersea",false,,1383661200000,BikePoints_679,false,200114,true
"Westbridge Road, Battersea",false,,1383657480000,BikePoints_680,false,200210,true
"Bishop's Avenue, Fulham",false,,1383733440000,BikePoints_681,false,200043,true
"Crisp Road, Hammersmith",false,,1383738240000,BikePoints_682,false,200059,true
"Dorothy Road, Clapham Junction",false,,1383750420000,BikePoints_683,false,200119,true
"Neville Gill Close, Wandsworth",false,,1383823380000,BikePoints_684,false,200188,true
"Osiers Road, Wandsworth",false,,1383827400000,BikePoints_685,false,200219,true
"Beryl Road, Hammersmith",false,,1383835560000,BikePoints_686,false,200097,true
"Northfields, Wandsworth",false,,1383915240000,BikePoints_688,false,200204,true
"Spanish Road, Clapham Junction",false,,1383918180000,BikePoints_689,false,200106,true
"Stanley Grove, Battersea",false,,1383924660000,BikePoints_690,false,200199,true
"Erin Close, Walham Green",false,,1384763520000,BikePoints_691,false,200184,true
"Cadogan Close, Victoria Park",false,,1384166220000,BikePoints_692,false,200112,true
"Felsham Road, Putney",false,,1384001160000,BikePoints_693,false,300019,true
"Putney Rail Station, Putney",false,,1384004640000,BikePoints_694,false,300033,true
"Islington Green, Angel",false,,1384172820000,BikePoints_695,false,300031,true
"Charing Cross Hospital, Hammersmith",false,,1384180020000,BikePoints_696,false,300018,true
"Charlotte Terrace, Angel",false,,1384251120000,BikePoints_697,false,200129,true
"River Street , Clerkenwell",false,,1278947280000,BikePoints_1,false,001023,true
"Phillimore Gardens, Kensington",false,,1278585780000,BikePoints_2,false,001018,true
"Christopher Street, Liverpool Street",false,,1278240360000,BikePoints_3,false,001012,true
"St. Chad's Street, King's Cross",false,,1278241080000,BikePoints_4,false,001013,true
"Sedding Street, Sloane Square",false,,1278241440000,BikePoints_5,false,003420,true
"Broadcasting House, Marylebone",false,,1278241680000,BikePoints_6,false,003424,true
"Charlbert Street, St. John's Wood",false,,1278241800000,BikePoints_7,false,003422,true
"Maida Vale, Maida Vale",false,,1540984560000,BikePoints_8,false,003423,true
"New Globe Walk, Bankside",false,,1278242340000,BikePoints_9,false,001015,true
"Park Street, Bankside",false,,1278242460000,BikePoints_10,false,001024,true
"Brunswick Square, Bloomsbury",false,,1278340440000,BikePoints_11,false,001022,true
"Malet Street, Bloomsbury",false,,1278340620000,BikePoints_12,false,000980,true
"Scala Street, Fitzrovia",false,,1278340800000,BikePoints_13,false,000970,true
"Belgrove Street , King's Cross",false,,1278341040000,BikePoints_14,false,001011,true
"Great Russell Street, Bloomsbury",false,,1278341220000,BikePoints_15,false,000988,true
"Cartwright Gardens , Bloomsbury",false,,1278341400000,BikePoints_16,false,001010,true
"Hatton Wall, Holborn",false,,1278423720000,BikePoints_17,false,001008,true
"Drury Lane, Covent Garden",false,,1278426300000,BikePoints_18,false,001007,true
"Taviton Street, Bloomsbury",false,,1278426720000,BikePoints_19,false,001009,true
"Drummond Street , Euston",false,,1544659200000,BikePoints_20,false,000993,true
"Lansdowne Drive, Hackney Central",false,,1278427740000,BikePoints_21,false,003426,true
"Northington Street , Holborn",false,,1278428880000,BikePoints_22,false,003425,true
