common_name,removal_date,terminal_name,installed,place_id,temporary,locked,install_date
"Risinghill Street, Angel",,001127,true,BikePoints_339,false,false,1280160600000
"Bank of England Museum, Bank",,001201,true,BikePoints_340,false,false,1280248620000
"Craven Street, Strand",,001160,true,BikePoints_341,false,false,1280222160000
"London Zoo Car Park, The Regent's Park",,001188,true,BikePoints_343,false,false,1280224260000
"Goswell Road (City Uni), Finsbury",,001222,true,BikePoints_344,false,false,1280226120000
"Flood Street, Chelsea",,001218,true,BikePoints_345,false,false,1280229720000
"Lower Marsh, Waterloo",,001219,true,BikePoints_347,false,false,1283762460000
"Grosvenor Square, Mayfair",,010627,true,BikePoints_348,false,false,1284540540000
"St. George Street, Mayfair",,001221,true,BikePoints_349,false,false,1284543120000
"Queen's Gate, Kensington Gardens",,001231,true,BikePoints_350,false,false,1285756260000
"Macclesfield Rd, St Lukes",,001226,true,BikePoints_351,false,false,1286790480000
"Vauxhall Street, Vauxhall",,001224,true,BikePoints_352,false,false,1286796360000
"Greycoat Street , Westminster",,010623,true,BikePoints_353,false,false,1287652080000
"Northumberland Avenue, Strand",,001097,true,BikePoints_354,false,false,
"Clapham Common Station, Clapham Common",,002694,true,BikePoints_355,false,false,1287752460000
"South Kensington Station, South Kensington",,002685,true,BikePoints_356,false,false,1288009080000
"Howland Street, Fitzrovia",,002691,true,BikePoints_357,false,false,1288092420000
"High Holborn , Covent Garden",,001229,true,BikePoints_358,false,false,1290079860000
"Butler Place, Westminster",,002662,true,BikePoints_359,false,false,1288950960000
"Howick Place, Westminster",,002666,true,BikePoints_360,false,false,1288958160000
"Waterloo Station 2, Waterloo",,002692,true,BikePoints_361,false,false,1291902600000
"Royal College Street, Camden Town",,002686,true,BikePoints_362,false,false,1290080220000
"Lord's, St. John's Wood",,002665,true,BikePoints_363,false,false,1289911800000
"Store Street, Bloomsbury",,003507,true,BikePoints_364,false,false,1290080640000
"City Road, Angel",,002690,true,BikePoints_365,false,false,1290603600000
"Harrowby Street, Marylebone",,002680,true,BikePoints_367,false,false,
"Harriet Street, Knightsbridge",,002681,true,BikePoints_368,false,false,1291201680000
"Paddington Green, Paddington",,002670,true,BikePoints_370,false,false,1291647300000
"King Edward Walk, Waterloo",,002639,true,BikePoints_371,false,false,1291712820000
"Sardinia Street, Holborn",,002649,true,BikePoints_372,false,false,1291713000000
"Prince Consort Road, Knightsbridge",,003499,true,BikePoints_373,false,false,1295428320000
"Waterloo Station 1, Waterloo",,002696,true,BikePoints_374,false,false,1291725720000
"Kensington Town Hall, Kensington",,010632,true,BikePoints_375,false,false,1291805820000
"Millbank Tower, Pimlico",,002683,true,BikePoints_376,false,false,1294660980000
"Waterloo Bridge, South Bank",,002648,true,BikePoints_377,false,false,1295265420000
"Natural History Museum, South Kensington",,002677,true,BikePoints_378,false,false,1296121500000
"Turquoise Island, Notting Hill",,002682,true,BikePoints_379,false,false,1296121680000
"Stanhope Gate, Mayfair",,003506,true,BikePoints_380,false,false,1296125400000
"Charlotte Street, Fitzrovia",,002669,true,BikePoints_381,false,false,1296203760000
"Farm Street, Mayfair",,002678,true,BikePoints_382,false,false,1297159320000
"Frith Street, Soho",,002660,true,BikePoints_383,false,false,1296649200000
"Marloes Road, Kensington",,003505,true,BikePoints_384,false,false,1296731880000
"Moor Street, Soho",,003504,true,BikePoints_386,false,false,1296732540000
"Fire Brigade Pier, Vauxhall",,002703,true,BikePoints_387,false,false,1297077540000
"Southampton Street, Strand",,001228,true,BikePoints_388,false,false,1297182180000
"Upper Grosvenor Street, Mayfair",,010621,true,BikePoints_389,false,false,1297347960000
"Buxton Street 1, Shoreditch",,001223,true,BikePoints_390,false,false,1297764360000
"Clifford Street, Mayfair",1539846000000,002688,true,BikePoints_391,false,false,1297956480000
"Imperial College, Knightsbridge",,001220,true,BikePoints_392,false,false,1297958700000
"Snow Hill, Farringdon",,002699,true,BikePoints_393,false,false,1298545440000
"Aberdeen Place, St. John's Wood",,002698,true,BikePoints_394,false,false,
"Cadogan Gardens, Chelsea",,002695,true,BikePoints_395,false,false,1298908800000
"Shouldham Street, Marylebone",,002693,true,BikePoints_396,false,false,1299075120000
"Devonshire Terrace, Bayswater",,001227,true,BikePoints_397,false,false,1299075900000
"Holland Park, Kensington",,010631,true,BikePoints_398,false,false,1299076440000
"Brick Lane Market, Shoreditch",,002687,true,BikePoints_399,false,false,1299582900000
"George Street, Marylebone",,001225,true,BikePoints_400,false,false,1299583260000
"Columbia Road, Shoreditch",,002701,true,BikePoints_401,false,false,1299592500000
"Penfold Street, Marylebone",,010625,true,BikePoints_402,false,false,1299592860000
"George Place Mews, Marylebone",,010630,true,BikePoints_403,false,false,1299593640000
"Palace Gate, Kensington Gardens",,001110,true,BikePoints_404,false,false,1299669180000
"Gloucester Road Station, South Kensington",,001107,true,BikePoints_405,false,false,1299669300000
"Sun Street, Liverpool Street",,001129,true,BikePoints_408,false,false,
"Strata, Elephant & Castle",,010624,true,BikePoints_409,false,false,
"Edgware Road Station, Marylebone",,001058,true,BikePoints_410,false,false,
"Rotherhithe Roundabout, Rotherhithe",,010629,true,BikePoints_411,false,false,
"Cleaver Street, Kennington",,010628,true,BikePoints_412,false,false,1302006180000
"Chelsea Bridge, Pimlico",,022160,true,BikePoints_419,false,false,1308735300000
"Southwark Station 1, Southwark",,022162,true,BikePoints_420,false,false,1309258380000
"Southwark Station 2, Southwark",,022163,true,BikePoints_421,false,false,1309258440000
"Eaton Square (South), Belgravia",,022164,true,BikePoints_423,false,false,1309860240000
"Ebury Bridge, Pimlico",,022159,true,BikePoints_424,false,false,1324551120000
"Vincent Street, Pimlico",,022161,true,BikePoints_426,false,false,1310463720000
"Cheapside, Bank",,022180,true,BikePoints_427,false,false,1310725680000
"Exhibition Road, Knightsbridge",,022179,true,BikePoints_428,false,false,1318496100000
"South Parade, Chelsea",,022182,true,BikePoints_430,false,false,1324549980000
"Crinan Street, King's Cross",,022183,true,BikePoints_431,false,false,1323355020000
"Exhibition Road Museums 1, South Kensington",,022158,true,BikePoints_432,false,false,1319448720000
"Wren Street, Holborn",,022169,true,BikePoints_433,false,false,1323361560000
"Shoreditch Court, Haggerston",,200121,true,BikePoints_698,false,false,1384254300000
"Belford House, Haggerston",,200057,true,BikePoints_699,false,false,1384256040000
"Battersea Church Road, Battersea",,200201,true,BikePoints_700,false,false,1384343280000
"Vicarage Crescent, Battersea",,200077,true,BikePoints_701,false,false,1384345080000
"Durant Street, Bethnal Green",,200213,true,BikePoints_702,false,false,1384345860000
"St. Bride Street, Holborn",,200094,true,BikePoints_703,false,false,1384357800000
"Mexfield Road, East Putney",,200063,true,BikePoints_704,false,false,1384443480000
"Upper Richmond Road, Putney",1539845700000,300042,true,BikePoints_705,true,false,1384453020000
"Snowsfields, London Bridge",,200193,true,BikePoints_706,false,false,1384420920000
"Barons Court Station, West Kensington",,200197,true,BikePoints_707,false,false,1384435680000
"Disraeli Road, Putney",,200217,true,BikePoints_708,false,false,1384530180000
"Montserrat Road , Putney",,200205,true,BikePoints_709,false,false,1384510140000
"Albert Bridge Road, Battersea Park",,300045,true,BikePoints_710,false,false,1384520580000
"Everington Street, Fulham",,300028,true,BikePoints_711,false,false,1384791540000
"Mile End Stadium, Mile End",,300056,true,BikePoints_712,false,false,1384797120000
"Stewart's Road, Wandsworth Road",,300055,true,BikePoints_714,false,false,1384865400000
"Aylward Street, Stepney",,300049,true,BikePoints_715,false,false,1384868460000
"Dunston Road , Haggerston",,300024,true,BikePoints_717,false,false,1384952400000
"Ada Street, Hackney Central",,300040,true,BikePoints_718,false,false,1384962840000
"Victoria Park Road, Hackney Central",,300011,true,BikePoints_719,false,false,1384968480000
"Star Road, West Kensington",,300038,true,BikePoints_720,false,false,1385025840000
"Wendon Street, Old Ford",,300039,true,BikePoints_721,false,false,1385028480000
"Finnis Street, Bethnal Green",,300041,true,BikePoints_722,false,false,1385028600000
"Stephendale Road, Sands End",,300053,true,BikePoints_723,false,false,1385035380000
"Alma Road, Wandsworth",,300046,true,BikePoints_724,false,false,1385125380000
"Walworth Square, Walworth",,300050,true,BikePoints_725,false,false,1563352500000
"Alfreda Street, Battersea Park",,300047,true,BikePoints_726,false,false,1385128740000
"Chesilton Road, Fulham",,300054,true,BikePoints_727,false,false,1385132160000
"Putney Bridge Road, East Putney",,300044,true,BikePoints_728,false,false,1385466780000
"St. Peter's Terrace, Fulham",,300043,true,BikePoints_729,false,false,1385391300000
"Bridge Avenue, Hammersmith",,300082,true,BikePoints_730,false,false,1385132580000
"Michael Road, Walham Green",,300095,true,BikePoints_731,false,false,1385394720000
"Duke Street Hill, London Bridge",,300083,true,BikePoints_732,false,false,1385458020000
"Park Lane, Mayfair",,300093,true,BikePoints_733,false,false,1385460840000
"Plough Terrace, Clapham Junction",,300094,true,BikePoints_734,false,false,1385464500000
"Grant Road East, Clapham Junction",,200120,true,BikePoints_735,false,false,1385383080000
"Queensdale Road, Shepherd's Bush",,300088,true,BikePoints_736,false,false,1385472900000
"Fulham Broadway, Walham Green",,300086,true,BikePoints_737,false,false,1385554620000
"Imperial Road, Sands End",,300087,true,BikePoints_738,false,false,1385563380000
"Hortensia Road, West Brompton",,300091,true,BikePoints_739,false,false,1385631000000
"Sirdar Road, Avondale",,300084,true,BikePoints_740,false,false,1385635440000
"Freston Road, Avondale",,300085,true,BikePoints_741,false,false,1385640120000
"Blenheim Crescent, Ladbroke Grove",,300090,true,BikePoints_742,false,false,1385649540000
"Oxford Road, Putney",,300078,true,BikePoints_743,false,false,1385723700000
"Ingrave Street, Clapham Junction",,300077,true,BikePoints_744,false,false,1385729760000
"Upcerne Road, West Chelsea",,300075,true,BikePoints_745,false,false,1385740020000
"Lots Road, West Chelsea",,300076,true,BikePoints_746,false,false,1385985720000
"Ormonde Gate, Chelsea",,300089,true,BikePoints_747,false,false,1385997240000
"Hertford Road, De Beauvoir Town",,300092,true,BikePoints_748,false,false,1386159900000
"Haggerston Road, Haggerston",,300081,true,BikePoints_749,false,false,1386172440000
"Culvert Road, Battersea",,300080,true,BikePoints_750,false,false,1386240360000
"Newton Street, Covent Garden",,300074,true,BikePoints_751,false,false,1386250800000
"London Street, Paddington",,300079,true,BikePoints_752,false,false,1650364320000
"Grenfell Road, Avondale",,300067,true,BikePoints_754,false,false,1389003540000
"The Vale, Chelsea",,300058,true,BikePoints_755,false,false,1389008580000
"Prince of Wales Drive, Battersea Park",,300073,true,BikePoints_756,false,false,1390223040000
"Harcourt Terrace, West Brompton",,300069,true,BikePoints_757,false,false,1389094260000
"Westbourne Park Road, Portobello",,300057,true,BikePoints_758,false,false,1389178020000
"Broadley Terrace, Marylebone",,300072,true,BikePoints_759,false,false,1389627480000
"Humbolt Road, Fulham",,300068,true,BikePoints_761,false,false,1389781800000
"Storey's Gate, Westminster",,200202,true,BikePoints_762,false,false,1392039000000
"Mile End Park Leisure Centre, Mile End",,300027,true,BikePoints_763,false,false,1392043020000
"St. John's Road, Clapham Junction",,200185,true,BikePoints_764,false,false,1392633480000
"Ranelagh Gardens, Fulham",,300064,true,BikePoints_765,false,false,1392986940000
"Ram Street, Wandsworth",,200079,true,BikePoints_766,false,false,1392894840000
"Santos Road, Wandsworth",,200177,true,BikePoints_767,false,false,1393406280000
"Clapham Common North Side, Clapham Common",,300065,true,BikePoints_768,false,false,1393494060000
"Sandilands Road, Walham Green",,300001,true,BikePoints_769,false,false,1393939560000
"Gwendwr Road, West Kensington",,300097,true,BikePoints_770,false,false,1394099280000
"Rifle Place, Avondale",,300007,true,BikePoints_771,false,false,1394018400000
"Binfield Road, Stockwell",,300015,true,BikePoints_772,false,false,1396442100000
"Tallis Street, Temple",,300096,true,BikePoints_773,false,false,1396262520000
"Hurlingham Park, Parsons Green",,300098,true,BikePoints_774,false,false,1396265880000
"Little Brook Green, Brook Green",,300101,true,BikePoints_775,false,false,1396270320000
"Abyssinia Close, Clapham Junction",,300099,true,BikePoints_776,false,false,1396273320000
"Limburg Road, Clapham Junction",,300100,true,BikePoints_777,false,false,1406282940000
"Houndsditch, Aldgate",,200072,true,BikePoints_779,false,false,1435313700000
"Imperial Wharf Station, Sands End",,300070,true,BikePoints_780,false,false,1439455200000
"Victoria & Albert Museum, South Kensington",,300032,true,BikePoints_781,false,false,1446485340000
"Halford Road, West Kensington",,300210,true,BikePoints_782,false,false,1446485820000
"Tanner Street, Bermondsey",,000994,true,BikePoints_85,false,false,1279026060000
"Sancroft Street, Vauxhall",,003434,true,BikePoints_86,false,false,1279027140000
"Devonshire Square, Liverpool Street",,003438,true,BikePoints_87,false,false,1279027680000
"Bayley Street , Bloomsbury",,001006,true,BikePoints_88,false,false,1279028280000
"Tavistock Place, Bloomsbury",,003439,true,BikePoints_89,false,false,1279029360000
"Harrington Square 1, Camden Town",,001038,true,BikePoints_90,false,false,1279030020000
"Walnut Tree Walk, Vauxhall",,001076,true,BikePoints_91,false,false,1279036740000
"Borough Road, Elephant & Castle",,001082,true,BikePoints_92,false,false,1279037040000
"Cloudesley Road, Angel",,002586,true,BikePoints_93,false,false,1279037760000
"Bricklayers Arms, Borough",,001070,true,BikePoints_94,false,false,1279038420000
"Falkirk Street, Hoxton",,001047,true,BikePoints_96,false,false,1279096980000
"Gloucester Road (North), Kensington",,003447,true,BikePoints_97,false,false,1279097580000
"Hampstead Road, Euston",,000972,true,BikePoints_98,false,false,1279099080000
"Old Quebec Street, Marylebone",,001085,true,BikePoints_99,false,false,1279099680000
"Albert Embankment, Vauxhall",,001059,true,BikePoints_100,false,false,1279099860000
