common_name,locked,place_id,install_date,removal_date,terminal_name,temporary,installed
"Wellington Street , Strand",false,BikePoints_338,1280158740000,,001202,false,true
"Risinghill Street, Angel",false,BikePoints_339,1280160600000,,001127,false,true
"Bank of England Museum, Bank",false,BikePoints_340,1280248620000,,001201,false,true
"Craven Street, Strand",false,BikePoints_341,1280222160000,,001160,false,true
"London Zoo Car Park, The Regent's Park",false,BikePoints_343,1280224260000,,001188,false,true
"Goswell Road (City Uni), Finsbury",false,BikePoints_344,1280226120000,,001222,false,true
"Flood Street, Chelsea",false,BikePoints_345,1280229720000,,001218,false,true
"Lower Marsh, Waterloo",false,BikePoints_347,1283762460000,,001219,false,true
"Grosvenor Square, Mayfair",false,BikePoints_348,1284540540000,,010627,false,true
"St. George Street, Mayfair",false,BikePoints_349,1284543120000,,001221,false,true
"Queen's Gate, Kensington Gardens",false,BikePoints_350,1285756260000,,001231,false,true
"Macclesfield Rd, St Lukes",false,BikePoints_351,1286790480000,,001226,false,true
"Vauxhall Street, Vauxhall",false,BikePoints_352,1286796360000,,001224,false,true
"Greycoat Street , Westminster",false,BikePoints_353,1287652080000,,010623,false,true
"Northumberland Avenue, Strand",false,BikePoints_354,,,001097,false,true
"Clapham Common Station, Clapham Common",false,BikePoints_355,1287752460000,,002694,false,true
"South Kensington Station, South Kensington",false,BikePoints_356,1288009080000,,002685,false,true
"Howland Street, Fitzrovia",false,BikePoints_357,1288092420000,,002691,false,true
"High Holborn , Covent Garden",false,BikePoints_358,1290079860000,,001229,false,true
"Butler Place, Westminster",false,BikePoints_359,1288950960000,,002662,false,true
"Howick Place, Westminster",false,BikePoints_360,1288958160000,,002666,false,true
"Waterloo Station 2, Waterloo",false,BikePoints_361,1291902600000,,002692,false,true
"Royal College Street, Camden Town",false,BikePoints_362,1290080220000,,002686,false,true
"Lord's, St. John's Wood",false,BikePoints_363,1289911800000,,002665,false,true
"Store Street, Bloomsbury",false,BikePoints_364,1290080640000,,003507,false,true
"City Road, Angel",false,BikePoints_365,1290603600000,,002690,false,true
"Millennium Hotel, Mayfair",false,BikePoints_366,1290686880000,,001230,false,true
"Harrowby Street, Marylebone",false,BikePoints_367,,,002680,false,true
"Harriet Street, Knightsbridge",false,BikePoints_368,1291201680000,,002681,false,true
"Paddington Green, Paddington",false,BikePoints_370,1291647300000,,002670,false,true
"King Edward Walk, Waterloo",false,BikePoints_371,1291712820000,,002639,false,true
"Sardinia Street, Holborn",false,BikePoints_372,1291713000000,,002649,false,true
"Prince Consort Road, Knightsbridge",false,BikePoints_373,1295428320000,,003499,false,true
"Waterloo Station 1, Waterloo",false,BikePoints_374,1291725720000,,002696,false,true
"Kensington Town Hall, Kensington",false,BikePoints_375,1291805820000,,010632,false,true
"Millbank Tower, Pimlico",false,BikePoints_376,1294660980000,,002683,false,true
"Waterloo Bridge, South Bank",false,BikePoints_377,1295265420000,,002648,false,true
"Natural History Museum, South Kensington",false,BikePoints_378,1296121500000,,002677,false,true
"Turquoise Island, Notting Hill",false,BikePoints_379,1296121680000,,002682,false,true
"Stanhope Gate, Mayfair",false,BikePoints_380,1296125400000,,003506,false,true
"Charlotte Street, Fitzrovia",false,BikePoints_381,1296203760000,,002669,false,true
"Farm Street, Mayfair",false,BikePoints_382,1297159320000,,002678,false,true
"Frith Street, Soho",false,BikePoints_383,1296649200000,,002660,false,true
"Marloes Road, Kensington",false,BikePoints_384,1296731880000,,003505,false,true
"Moor Street, Soho",false,BikePoints_386,1296732540000,,003504,false,true
"Fire Brigade Pier, Vauxhall",false,BikePoints_387,1297077540000,,002703,false,true
"Southampton Street, Strand",false,BikePoints_388,1297182180000,,001228,false,true
"Upper Grosvenor Street, Mayfair",false,BikePoints_389,1297347960000,,010621,false,true
"Buxton Street 1, Shoreditch",false,BikePoints_390,1297764360000,,001223,false,true
"Clifford Street, Mayfair",false,BikePoints_391,1297956480000,1539846000000,002688,false,true
"Imperial College, Knightsbridge",false,BikePoints_392,1297958700000,,001220,false,true
"Snow Hill, Farringdon",false,BikePoints_393,1298545440000,,002699,false,true
"Aberdeen Place, St. John's Wood",false,BikePoints_394,,,002698,false,true
"Cadogan Gardens, Chelsea",false,BikePoints_395,1298908800000,,002695,false,true
"Shouldham Street, Marylebone",false,BikePoints_396,1299075120000,,002693,false,true
"Devonshire Terrace, Bayswater",false,BikePoints_397,1299075900000,,001227,false,true
"Holland Park, Kensington",false,BikePoints_398,1299076440000,,010631,false,true
"Brick Lane Market, Shoreditch",false,BikePoints_399,1299582900000,,002687,false,true
"George Street, Marylebone",false,BikePoints_400,1299583260000,,001225,false,true
"Columbia Road, Shoreditch",false,BikePoints_401,1299592500000,,002701,false,true
"Penfold Street, Marylebone",false,BikePoints_402,1299592860000,,010625,false,true
"George Place Mews, Marylebone",false,BikePoints_403,1299593640000,,010630,false,true
"Palace Gate, Kensington Gardens",false,BikePoints_404,1299669180000,,001110,false,true
"Gloucester Road Station, South Kensington",false,BikePoints_405,1299669300000,,001107,false,true
"Sun Street, Liverpool Street",false,BikePoints_408,,,001129,false,true
"Strata, Elephant & Castle",false,BikePoints_409,,,010624,false,true
"Edgware Road Station, Marylebone",false,BikePoints_410,,,001058,false,true
"Rotherhithe Roundabout, Rotherhithe",false,BikePoints_411,,,010629,false,true
"Cleaver Street, Kennington",false,BikePoints_412,1302006180000,,010628,false,true
"Chelsea Bridge, Pimlico",false,BikePoints_419,1308735300000,,022160,false,true
"Southwark Station 1, Southwark",false,BikePoints_420,1309258380000,,022162,false,true
"Southwark Station 2, Southwark",false,BikePoints_421,1309258440000,,022163,false,true
"Eaton Square (South), Belgravia",false,BikePoints_423,1309860240000,,022164,false,true
"Ebury Bridge, Pimlico",false,BikePoints_424,1324551120000,,022159,false,true
"Vincent Street, Pimlico",false,BikePoints_426,1310463720000,,022161,false,true
"Cheapside, Bank",false,BikePoints_427,1310725680000,,022180,false,true
"Exhibition Road, Knightsbridge",false,BikePoints_428,1318496100000,,022179,false,true
"South Parade, Chelsea",false,BikePoints_430,1324549980000,,022182,false,true
"Crinan Street, King's Cross",false,BikePoints_431,1323355020000,,022183,false,true
"Exhibition Road Museums 1, South Kensington",false,BikePoints_432,1319448720000,,022158,false,true
"Shoreditch Court, Haggerston",false,BikePoints_698,1384254300000,,200121,false,true
"Belford House, Haggerston",false,BikePoints_699,1384256040000,,200057,false,true
"Battersea Church Road, Battersea",false,BikePoints_700,1384343280000,,200201,false,true
"Vicarage Crescent, Battersea",false,BikePoints_701,1384345080000,,200077,false,true
"Durant Street, Bethnal Green",false,BikePoints_702,1384345860000,,200213,false,true
"St. Bride Street, Holborn",false,BikePoints_703,1384357800000,,200094,false,true
"Mexfield Road, East Putney",false,BikePoints_704,1384443480000,,200063,false,true
"Upper Richmond Road, Putney",false,BikePoints_705,1384453020000,1539845700000,300042,true,true
"Snowsfields, London Bridge",false,BikePoints_706,1384420920000,,200193,false,true
"Barons Court Station, West Kensington",false,BikePoints_707,1384435680000,,200197,false,true
"Disraeli Road, Putney",false,BikePoints_708,1384530180000,,200217,false,true
"Montserrat Road , Putney",false,BikePoints_709,1384510140000,,200205,false,true
"Albert Bridge Road, Battersea Park",false,BikePoints_710,1384520580000,,300045,false,true
"Everington Street, Fulham",false,BikePoints_711,1384791540000,,300028,false,true
"Mile End Stadium, Mile End",false,BikePoints_712,1384797120000,,300056,false,true
"Hawley Crescent, Camden Town",false,BikePoints_713,1384774620000,,200122,false,true
"Stewart's Road, Wandsworth Road",false,BikePoints_714,1384865400000,,300055,false,true
"Aylward Street, Stepney",false,BikePoints_715,1384868460000,,300049,false,true
"Stainsby Road , Poplar",false,BikePoints_716,1384873500000,,300048,false,true
"Dunston Road , Haggerston",false,BikePoints_717,1384952400000,,300024,false,true
"Ada Street, Hackney Central",false,BikePoints_718,1384962840000,,300040,false,true
"Victoria Park Road, Hackney Central",false,BikePoints_719,1384968480000,,300011,false,true
"Star Road, West Kensington",false,BikePoints_720,1385025840000,,300038,false,true
"Wendon Street, Old Ford",false,BikePoints_721,1385028480000,,300039,false,true
"Finnis Street, Bethnal Green",false,BikePoints_722,1385028600000,,300041,false,true
"Stephendale Road, Sands End",false,BikePoints_723,1385035380000,,300053,false,true
"Alma Road, Wandsworth",false,BikePoints_724,1385125380000,,300046,false,true
"Walworth Square, Walworth",false,BikePoints_725,1563352500000,,300050,false,true
"Alfreda Street, Battersea Park",false,BikePoints_726,1385128740000,,300047,false,true
"Chesilton Road, Fulham",false,BikePoints_727,1385132160000,,300054,false,true
