place_id,common_name,terminal_name,installed,removal_date,install_date,temporary,locked
BikePoints_336,"Concert Hall Approach 2, South Bank",001212,true,,1280152800000,false,false
BikePoints_337,"Pembridge Villas, Notting Hill",002589,true,,1280153100000,false,false
BikePoints_338,"Wellington Street , Strand",001202,true,,1280158740000,false,false
BikePoints_339,"Risinghill Street, Angel",001127,true,,1280160600000,false,false
BikePoints_340,"Bank of England Museum, Bank",001201,true,,1280248620000,false,false
BikePoints_341,"Craven Street, Strand",001160,true,,1280222160000,false,false
BikePoints_343,"London Zoo Car Park, The Regent's Park",001188,true,,1280224260000,false,false
BikePoints_344,"Goswell Road (City Uni), Finsbury",001222,true,,1280226120000,false,false
BikePoints_345,"Flood Street, Chelsea",001218,true,,1280229720000,false,false
BikePoints_347,"Lower Marsh, Waterloo",001219,true,,1283762460000,false,false
BikePoints_348,"Grosvenor Square, Mayfair",010627,true,,1284540540000,false,false
BikePoints_349,"St. George Street, Mayfair",001221,true,,1284543120000,false,false
BikePoints_350,"Queen's Gate, Kensington Gardens",001231,true,,1285756260000,false,false
BikePoints_351,"Macclesfield Rd, St Lukes",001226,true,,1286790480000,false,false
BikePoints_352,"Vauxhall Street, Vauxhall",001224,true,,1286796360000,false,false
BikePoints_353,"Greycoat Street , Westminster",010623,true,,1287652080000,false,false
BikePoints_354,"Northumberland Avenue, Strand",001097,true,,,false,false
BikePoints_355,"Clapham Common Station, Clapham Common",002694,true,,1287752460000,false,false
BikePoints_356,"South Kensington Station, South Kensington",002685,true,,1288009080000,false,false
BikePoints_357,"Howland Street, Fitzrovia",002691,true,,1288092420000,false,false
BikePoints_358,"High Holborn , Covent Garden",001229,true,,1290079860000,false,false
BikePoints_359,"Butler Place, Westminster",002662,true,,1288950960000,false,false
BikePoints_360,"Howick Place, Westminster",002666,true,,1288958160000,false,false
BikePoints_361,"Waterloo Station 2, Waterloo",002692,true,,1291902600000,false,false
BikePoints_362,"Royal College Street, Camden Town",002686,true,,1290080220000,false,false
BikePoints_363,"Lord's, St. John's Wood",002665,true,,1289911800000,false,false
BikePoints_364,"Store Street, Bloomsbury",003507,true,,1290080640000,false,false
BikePoints_365,"City Road, Angel",002690,true,,1290603600000,false,false
BikePoints_367,"Harrowby Street, Marylebone",002680,true,,,false,false
BikePoints_368,"Harriet Street, Knightsbridge",002681,true,,1291201680000,false,false
BikePoints_370,"Paddington Green, Paddington",002670,true,,1291647300000,false,false
BikePoints_371,"King Edward Walk, Waterloo",002639,true,,1291712820000,false,false
BikePoints_372,"Sardinia Street, Holborn",002649,true,,1291713000000,false,false
BikePoints_373,"Prince Consort Road, Knightsbridge",003499,true,,1295428320000,false,false
BikePoints_374,"Waterloo Station 1, Waterloo",002696,true,,1291725720000,false,false
BikePoints_375,"Kensington Town Hall, Kensington",010632,true,,1291805820000,false,false
BikePoints_376,"Millbank Tower, Pimlico",002683,true,,1294660980000,false,false
BikePoints_377,"Waterloo Bridge, South Bank",002648,true,,1295265420000,false,false
BikePoints_378,"Natural History Museum, South Kensington",002677,true,,1296121500000,false,false
BikePoints_379,"Turquoise Island, Notting Hill",002682,true,,1296121680000,false,false
BikePoints_380,"Stanhope Gate, Mayfair",003506,true,,1296125400000,false,false
BikePoints_381,"Charlotte Street, Fitzrovia",002669,true,,1296203760000,false,false
BikePoints_382,"Farm Street, Mayfair",002678,true,,1297159320000,false,false
BikePoints_383,"Frith Street, Soho",002660,true,,1296649200000,false,false
BikePoints_384,"Marloes Road, Kensington",003505,true,,1296731880000,false,false
BikePoints_386,"Moor Street, Soho",003504,true,,1296732540000,false,false
BikePoints_387,"Fire Brigade Pier, Vauxhall",002703,true,,1297077540000,false,false
BikePoints_388,"Southampton Street, Strand",001228,true,,1297182180000,false,false
BikePoints_389,"Upper Grosvenor Street, Mayfair",010621,true,,1297347960000,false,false
BikePoints_390,"Buxton Street 1, Shoreditch",001223,true,,1297764360000,false,false
BikePoints_391,"Clifford Street, Mayfair",002688,true,1539846000000,1297956480000,false,false
BikePoints_392,"Imperial College, Knightsbridge",001220,true,,1297958700000,false,false
BikePoints_393,"Snow Hill, Farringdon",002699,true,,1298545440000,false,false
BikePoints_394,"Aberdeen Place, St. John's Wood",002698,true,,,false,false
BikePoints_395,"Cadogan Gardens, Chelsea",002695,true,,1298908800000,false,false
BikePoints_396,"Shouldham Street, Marylebone",002693,true,,1299075120000,false,false
BikePoints_397,"Devonshire Terrace, Bayswater",001227,true,,1299075900000,false,false
BikePoints_398,"Holland Park, Kensington",010631,true,,1299076440000,false,false
BikePoints_399,"Brick Lane Market, Shoreditch",002687,true,,1299582900000,false,false
BikePoints_400,"George Street, Marylebone",001225,true,,1299583260000,false,false
BikePoints_401,"Columbia Road, Shoreditch",002701,true,,1299592500000,false,false
BikePoints_402,"Penfold Street, Marylebone",010625,true,,1299592860000,false,false
BikePoints_403,"George Place Mews, Marylebone",010630,true,,1299593640000,false,false
BikePoints_404,"Palace Gate, Kensington Gardens",001110,true,,1299669180000,false,false
BikePoints_405,"Gloucester Road Station, South Kensington",001107,true,,1299669300000,false,false
BikePoints_408,"Sun Street, Liverpool Street",001129,true,,,false,false
BikePoints_409,"Strata, Elephant & Castle",010624,true,,,false,false
BikePoints_410,"Edgware Road Station, Marylebone",001058,true,,,false,false
BikePoints_411,"Rotherhithe Roundabout, Rotherhithe",010629,true,,,false,false
BikePoints_412,"Cleaver Street, Kennington",010628,true,,1302006180000,false,false
BikePoints_419,"Chelsea Bridge, Pimlico",022160,true,,1308735300000,false,false
BikePoints_420,"Southwark Station 1, Southwark",022162,true,,1309258380000,false,false
BikePoints_421,"Southwark Station 2, Southwark",022163,true,,1309258440000,false,false
BikePoints_423,"Eaton Square (South), Belgravia",022164,true,,1309860240000,false,false
BikePoints_424,"Ebury Bridge, Pimlico",022159,true,,1324551120000,false,false
BikePoints_426,"Vincent Street, Pimlico",022161,true,,1310463720000,false,false
BikePoints_427,"Cheapside, Bank",022180,true,,1310725680000,false,false
BikePoints_428,"Exhibition Road, Knightsbridge",022179,true,,1318496100000,false,false
BikePoints_430,"South Parade, Chelsea",022182,true,,1324549980000,false,false
BikePoints_431,"Crinan Street, King's Cross",022183,true,,1323355020000,false,false
BikePoints_697,"Charlotte Terrace, Angel",200129,true,,1384251120000,false,false
BikePoints_698,"Shoreditch Court, Haggerston",200121,true,,1384254300000,false,false
BikePoints_699,"Belford House, Haggerston",200057,true,,1384256040000,false,false
BikePoints_700,"Battersea Church Road, Battersea",200201,true,,1384343280000,false,false
BikePoints_701,"Vicarage Crescent, Battersea",200077,true,,1384345080000,false,false
BikePoints_702,"Durant Street, Bethnal Green",200213,true,,1384345860000,false,false
BikePoints_703,"St. Bride Street, Holborn",200094,true,,1384357800000,false,false
BikePoints_704,"Mexfield Road, East Putney",200063,true,,1384443480000,false,false
BikePoints_705,"Upper Richmond Road, Putney",300042,true,1539845700000,1384453020000,true,false
BikePoints_706,"Snowsfields, London Bridge",200193,true,,1384420920000,false,false
BikePoints_707,"Barons Court Station, West Kensington",200197,true,,1384435680000,false,false
BikePoints_708,"Disraeli Road, Putney",200217,true,,1384530180000,false,false
BikePoints_709,"Montserrat Road , Putney",200205,true,,1384510140000,false,false
BikePoints_710,"Albert Bridge Road, Battersea Park",300045,true,,1384520580000,false,false
BikePoints_711,"Everington Street, Fulham",300028,true,,1384791540000,false,false
