removal_date,installed,locked,place_id,common_name,terminal_name,install_date,temporary
,true,false,BikePoints_338,"Wellington Street , Strand",001202,1280158740000,false
,true,false,BikePoints_339,"Risinghill Street, Angel",001127,1280160600000,false
,true,false,BikePoints_340,"Bank of England Museum, Bank",001201,1280248620000,false
,true,false,BikePoints_341,"Craven Street, Strand",001160,1280222160000,false
,true,false,BikePoints_343,"London Zoo Car Park, The Regent's Park",001188,1280224260000,false
,true,false,BikePoints_344,"Goswell Road (City Uni), Finsbury",001222,1280226120000,false
,true,false,BikePoints_345,"Flood Street, Chelsea",001218,1280229720000,false
,true,false,BikePoints_347,"Lower Marsh, Waterloo",001219,1283762460000,false
,true,false,BikePoints_348,"Grosvenor Square, Mayfair",010627,1284540540000,false
,true,false,BikePoints_349,"St. George Street, Mayfair",001221,1284543120000,false
,true,false,BikePoints_350,"Queen's Gate, Kensington Gardens",001231,1285756260000,false
,true,false,BikePoints_351,"Macclesfield Rd, St Lukes",001226,1286790480000,false
,true,false,BikePoints_352,"Vauxhall Street, Vauxhall",001224,1286796360000,false
,true,false,BikePoints_353,"Greycoat Street , Westminster",010623,1287652080000,false
,true,false,BikePoints_354,"Northumberland Avenue, Strand",001097,,false
,true,false,BikePoints_355,"Clapham Common Station, Clapham Common",002694,1287752460000,false
,true,false,BikePoints_356,"South Kensington Station, South Kensington",002685,1288009080000,false
,true,false,BikePoints_357,"Howland Street, Fitzrovia",002691,1288092420000,false
,true,false,BikePoints_358,"High Holborn , Covent Garden",001229,1290079860000,false
,true,false,BikePoints_359,"Butler Place, Westminster",002662,1288950960000,false
,true,false,BikePoints_360,"Howick Place, Westminster",002666,1288958160000,false
,true,false,BikePoints_361,"Waterloo Station 2, Waterloo",002692,1291902600000,false
,true,false,BikePoints_362,"Royal College Street, Camden Town",002686,1290080220000,false
,true,false,BikePoints_363,"Lord's, St. John's Wood",002665,1289911800000,false
,true,false,BikePoints_364,"Store Street, Bloomsbury",003507,1290080640000,false
,true,false,BikePoints_365,"City Road, Angel",002690,1290603600000,false
,true,false,BikePoints_367,"Harrowby Street, Marylebone",002680,,false
,true,false,BikePoints_368,"Harriet Street, Knightsbridge",002681,1291201680000,false
,true,false,BikePoints_370,"Paddington Green, Paddington",002670,1291647300000,false
,true,false,BikePoints_371,"King Edward Walk, Waterloo",002639,1291712820000,false
,true,false,BikePoints_372,"Sardinia Street, Holborn",002649,1291713000000,false
,true,false,BikePoints_373,"Prince Consort Road, Knightsbridge",003499,1295428320000,false
,true,false,BikePoints_374,"Waterloo Station 1, Waterloo",002696,1291725720000,false
,true,false,BikePoints_375,"Kensington Town Hall, Kensington",010632,1291805820000,false
,true,false,BikePoints_376,"Millbank Tower, Pimlico",002683,1294660980000,false
