terminal_name,place_id,install_date,removal_date,temporary,installed,locked,common_name
002692,BikePoints_361,1291902600000,,false,true,false,"Waterloo Station 2, Waterloo"
002686,BikePoints_362,1290080220000,,false,true,false,"Royal College Street, Camden Town"
002665,BikePoints_363,1289911800000,,false,true,false,"Lord's, St. John's Wood"
003507,BikePoints_364,1290080640000,,false,true,false,"Store Street, Bloomsbury"
002690,BikePoints_365,1290603600000,,false,true,false,"City Road, Angel"
002680,BikePoints_367,,,false,true,false,"Harrowby Street, Marylebone"
002681,BikePoints_368,1291201680000,,false,true,false,"Harriet Street, Knightsbridge"
002670,BikePoints_370,1291647300000,,false,true,false,"Paddington Green, Paddington"
002639,BikePoints_371,1291712820000,,false,true,false,"King Edward Walk, Waterloo"
002649,BikePoints_372,1291713000000,,false,true,false,"Sardinia Street, Holborn"
003499,BikePoints_373,1295428320000,,false,true,false,"Prince Consort Road, Knightsbridge"
002696,BikePoints_374,1291725720000,,false,true,false,"Waterloo Station 1, Waterloo"
010632,BikePoints_375,1291805820000,,false,true,false,"Kensington Town Hall, Kensington"
002683,BikePoints_376,1294660980000,,false,true,false,"Millbank Tower, Pimlico"
002648,BikePoints_377,1295265420000,,false,true,false,"Waterloo Bridge, South Bank"
002677,BikePoints_378,1296121500000,,false,true,false,"Natural History Museum, South Kensington"
002682,BikePoints_379,1296121680000,,false,true,false,"Turquoise Island, Notting Hill"
003506,BikePoints_380,1296125400000,,false,true,false,"Stanhope Gate, Mayfair"
002669,BikePoints_381,1296203760000,,false,true,false,"Charlotte Street, Fitzrovia"
002678,BikePoints_382,1297159320000,,false,true,false,"Farm Street, Mayfair"
002660,BikePoints_383,1296649200000,,false,true,false,"Frith Street, Soho"
003505,BikePoints_384,1296731880000,,false,true,false,"Marloes Road, Kensington"
003504,BikePoints_386,1296732540000,,false,true,false,"Moor Street, Soho"
002703,BikePoints_387,1297077540000,,false,true,false,"Fire Brigade Pier, Vauxhall"
001228,BikePoints_388,1297182180000,,false,true,false,"Southampton Street, Strand"
010621,BikePoints_389,1297347960000,,false,true,false,"Upper Grosvenor Street, Mayfair"
001223,BikePoints_390,1297764360000,,false,true,false,"Buxton Street 1, Shoreditch"
002688,BikePoints_391,1297956480000,1539846000000,false,true,false,"Clifford Street, Mayfair"
001220,BikePoints_392,1297958700000,,false,true,false,"Imperial College, Knightsbridge"
002699,BikePoints_393,1298545440000,,false,true,false,"Snow Hill, Farringdon"
002698,BikePoints_394,,,false,true,false,"Aberdeen Place, St. John's Wood"
