place_id,installed,install_date,locked,terminal_name,temporary,removal_date,common_name
BikePoints_433,true,1323361560000,false,022169,false,,"Wren Street, Holborn"
BikePoints_435,true,1323346020000,false,022170,false,,"Kennington Station, Kennington"
BikePoints_436,true,1323350220000,false,022171,false,,"Red Lion Street, Holborn"
BikePoints_437,true,1325746380000,false,200056,false,,"Vauxhall Walk, Vauxhall"
BikePoints_439,true,1325705460000,false,200053,false,,"Killick Street, King's Cross"
BikePoints_440,true,1325708160000,false,200032,false,,"Kennington Oval, Oval"
BikePoints_441,true,1325711220000,false,200039,false,,"Sail Street, Vauxhall"
BikePoints_442,true,1325940420000,false,200035,false,,"Walmer Road, Avondale"
BikePoints_443,true,1325941800000,false,200033,false,,"Philpot Street, Whitechapel"
BikePoints_444,true,1325944680000,false,200047,false,,"Bethnal Green Garden, Bethnal Green"
BikePoints_445,true,1325945820000,false,200003,false,,"Cheshire Street, Bethnal Green"
BikePoints_446,true,1325948880000,false,200042,false,,"York Hall, Bethnal Green"
BikePoints_447,true,1325949000000,false,200054,false,,"Jubilee Crescent, Cubitt Town"
BikePoints_448,true,1325952660000,false,022165,false,,"Fisherman's Walk West, Canary Wharf"
BikePoints_449,true,1325952900000,false,200020,false,,"Shadwell Station, Shadwell"
BikePoints_450,true,1326105240000,false,200002,false,,"Jubilee Street, Stepney"
BikePoints_451,true,1325501400000,false,200021,false,,"Hermitage Court, Wapping"
BikePoints_452,true,1326109140000,false,200049,false,,"St. Katharine's Way, Tower"
BikePoints_453,true,1326111060000,false,200045,false,,"Garnet Street, Shadwell"
BikePoints_454,true,1326115380000,false,200046,false,,"Napier Avenue, Millwall"
BikePoints_455,true,1326117780000,false,200031,false,,"East Ferry Road, Cubitt Town"
BikePoints_456,true,1326197580000,false,200118,false,,"Parkway, Camden Town"
BikePoints_457,true,1326203280000,false,200016,false,,"Castlehaven Road, Camden Town"
BikePoints_458,true,1326294780000,false,200034,false,,"Wapping Lane, Wapping"
BikePoints_459,true,,false,200014,false,,"Gunmakers Lane, Old Ford"
BikePoints_460,true,1326284820000,false,200123,false,,"Burdett Road, Mile End"
BikePoints_461,true,1326293640000,false,200013,true,,"Aston Street, Stepney"
BikePoints_462,true,1326294600000,false,200105,false,,"Bonny Street, Camden Town"
BikePoints_463,true,,false,200093,false,,"Thurtle Road, Haggerston"
BikePoints_464,true,1326304980000,false,200082,false,,"St. Mary & St. Michael Church, Stepney"
BikePoints_465,true,1333613280000,false,200152,false,,"Pitfield Street North,Hoxton"
BikePoints_466,true,1326360000000,false,200158,false,,"Whiston Road, Haggerston"
BikePoints_467,true,1326374040000,false,200168,false,,"Southern Grove, Bow"
BikePoints_468,true,1326375720000,false,200150,false,,"Cantrell Road, Bow"
BikePoints_469,true,1326381060000,false,022178,false,,"Lindfield Street, Poplar"
BikePoints_470,true,1326790620000,false,200174,false,,"Mostyn Grove, Bow"
BikePoints_471,true,1326790860000,false,200006,false,,"Hewison Street, Old Ford"
BikePoints_472,true,1326791160000,false,200019,false,,"Malmesbury Road, Bow"
BikePoints_473,true,1326816540000,false,022167,false,,"Millharbour, Millwall"
BikePoints_474,true,1326822960000,false,200155,false,,"Gascoyne Road, Victoria Park"
BikePoints_475,true,1326825480000,false,200004,false,,"Lightermans Road, Millwall"
BikePoints_476,true,1326962100000,false,200009,false,,"Stebondale Street, Cubitt Town"
BikePoints_477,true,1326963780000,false,200018,false,,"Spindrift Avenue, Millwall"
BikePoints_478,true,1326965580000,false,200012,false,,"Stepney Green Station, Stepney"
BikePoints_479,true,1326966240000,false,200156,false,,"Pott Street, Bethnal Green"
BikePoints_480,true,1326975420000,false,200115,false,,"Flamborough Street, Limehouse"
BikePoints_481,true,1326996480000,false,200022,false,,"Saunders Ness Road, Cubitt Town"
BikePoints_482,true,1326996720000,false,200052,false,,"Exhibition Road Museums 2, South Kensington"
BikePoints_483,true,1327088280000,false,022166,false,,"Albert Gardens, Stepney"
BikePoints_484,true,1327339740000,false,022172,false,,"Bromley High Street, Bow"
BikePoints_485,true,1327255440000,false,022173,false,,"Old Ford Road, Bethnal Green"
BikePoints_486,true,1327338660000,false,022174,false,,"Granby Street, Shoreditch"
BikePoints_487,true,1327936860000,false,022175,false,,"Canton Street, Poplar"
BikePoints_488,true,1327254960000,false,022176,false,,"Reardon Street, Wapping"
BikePoints_489,true,1327087920000,false,022177,false,,"Christian Street, Whitechapel"
BikePoints_490,true,,false,200090,false,,"Pennington Street, Wapping"
BikePoints_491,true,1327256220000,false,200249,false,,"Queen Mary's, Mile End"
BikePoints_492,true,1327256520000,false,200230,false,,"Maplin Street, Mile End"
BikePoints_494,true,1327433220000,false,200233,false,,"South Quay East, Canary Wharf"
BikePoints_495,true,1327340460000,false,200252,false,,"Bow Church Station, Bow"
BikePoints_496,true,1327400820000,false,200255,false,,"Devons Road, Bow"
BikePoints_497,true,1327398420000,false,200242,false,,"Merchant Street, Bow"
BikePoints_498,true,1327398660000,false,200251,false,,"Bow Road Station, Bow"
BikePoints_499,true,1327407960000,false,200011,false,,"Furze Green, Bow"
BikePoints_500,true,1327430040000,false,200148,false,,"Ansell House, Stepney"
