terminal_name,place_id,installed,install_date,removal_date,common_name,temporary,locked
001212,BikePoints_336,true,1280152800000,,"Concert Hall Approach 2, South Bank",false,false
002589,BikePoints_337,true,1280153100000,,"Pembridge Villas, Notting Hill",false,false
001202,BikePoints_338,true,1280158740000,,"Wellington Street , Strand",false,false
001127,BikePoints_339,true,1280160600000,,"Risinghill Street, Angel",false,false
001201,BikePoints_340,true,1280248620000,,"Bank of England Museum, Bank",false,false
001160,BikePoints_341,true,1280222160000,,"Craven Street, Strand",false,false
001188,BikePoints_343,true,1280224260000,,"London Zoo Car Park, The Regent's Park",false,false
001222,BikePoints_344,true,1280226120000,,"Goswell Road (City Uni), Finsbury",false,false
001218,BikePoints_345,true,1280229720000,,"Flood Street, Chelsea",false,false
001219,BikePoints_347,true,1283762460000,,"Lower Marsh, Waterloo",false,false
010627,BikePoints_348,true,1284540540000,,"Grosvenor Square, Mayfair",false,false
001221,BikePoints_349,true,1284543120000,,"St. George Street, Mayfair",false,false
001231,BikePoints_350,true,1285756260000,,"Queen's Gate, Kensington Gardens",false,false
001226,BikePoints_351,true,1286790480000,,"Macclesfield Rd, St Lukes",false,false
001224,BikePoints_352,true,1286796360000,,"Vauxhall Street, Vauxhall",false,false
010623,BikePoints_353,true,1287652080000,,"Greycoat Street , Westminster",false,false
001097,BikePoints_354,true,,,"Northumberland Avenue, Strand",false,false
002694,BikePoints_355,true,1287752460000,,"Clapham Common Station, Clapham Common",false,false
002685,BikePoints_356,true,1288009080000,,"South Kensington Station, South Kensington",false,false
002691,BikePoints_357,true,1288092420000,,"Howland Street, Fitzrovia",false,false
001229,BikePoints_358,true,1290079860000,,"High Holborn , Covent Garden",false,false
002662,BikePoints_359,true,1288950960000,,"Butler Place, Westminster",false,false
002666,BikePoints_360,true,1288958160000,,"Howick Place, Westminster",false,false
002692,BikePoints_361,true,1291902600000,,"Waterloo Station 2, Waterloo",false,false
002686,BikePoints_362,true,1290080220000,,"Royal College Street, Camden Town",false,false
002665,BikePoints_363,true,1289911800000,,"Lord's, St. John's Wood",false,false
003507,BikePoints_364,true,1290080640000,,"Store Street, Bloomsbury",false,false
002690,BikePoints_365,true,1290603600000,,"City Road, Angel",false,false
002680,BikePoints_367,true,,,"Harrowby Street, Marylebone",false,false
002681,BikePoints_368,true,1291201680000,,"Harriet Street, Knightsbridge",false,false
002670,BikePoints_370,true,1291647300000,,"Paddington Green, Paddington",false,false
002639,BikePoints_371,true,1291712820000,,"King Edward Walk, Waterloo",false,false
002649,BikePoints_372,true,1291713000000,,"Sardinia Street, Holborn",false,false
003499,BikePoints_373,true,1295428320000,,"Prince Consort Road, Knightsbridge",false,false
002696,BikePoints_374,true,1291725720000,,"Waterloo Station 1, Waterloo",false,false
010632,BikePoints_375,true,1291805820000,,"Kensington Town Hall, Kensington",false,false
002683,BikePoints_376,true,1294660980000,,"Millbank Tower, Pimlico",false,false
002648,BikePoints_377,true,1295265420000,,"Waterloo Bridge, South Bank",false,false
002677,BikePoints_378,true,1296121500000,,"Natural History Museum, South Kensington",false,false
002682,BikePoints_379,true,1296121680000,,"Turquoise Island, Notting Hill",false,false
003506,BikePoints_380,true,1296125400000,,"Stanhope Gate, Mayfair",false,false
002669,BikePoints_381,true,1296203760000,,"Charlotte Street, Fitzrovia",false,false
002678,BikePoints_382,true,1297159320000,,"Farm Street, Mayfair",false,false
002660,BikePoints_383,true,1296649200000,,"Frith Street, Soho",false,false
003505,BikePoints_384,true,1296731880000,,"Marloes Road, Kensington",false,false
003504,BikePoints_386,true,1296732540000,,"Moor Street, Soho",false,false
002703,BikePoints_387,true,1297077540000,,"Fire Brigade Pier, Vauxhall",false,false
001228,BikePoints_388,true,1297182180000,,"Southampton Street, Strand",false,false
010621,BikePoints_389,true,1297347960000,,"Upper Grosvenor Street, Mayfair",false,false
001223,BikePoints_390,true,1297764360000,,"Buxton Street 1, Shoreditch",false,false
002688,BikePoints_391,true,1297956480000,1539846000000,"Clifford Street, Mayfair",false,false
001220,BikePoints_392,true,1297958700000,,"Imperial College, Knightsbridge",false,false
002699,BikePoints_393,true,1298545440000,,"Snow Hill, Farringdon",false,false
002698,BikePoints_394,true,,,"Aberdeen Place, St. John's Wood",false,false
002695,BikePoints_395,true,1298908800000,,"Cadogan Gardens, Chelsea",false,false
002693,BikePoints_396,true,1299075120000,,"Shouldham Street, Marylebone",false,false
001227,BikePoints_397,true,1299075900000,,"Devonshire Terrace, Bayswater",false,false
010631,BikePoints_398,true,1299076440000,,"Holland Park, Kensington",false,false
002687,BikePoints_399,true,1299582900000,,"Brick Lane Market, Shoreditch",false,false
001225,BikePoints_400,true,1299583260000,,"George Street, Marylebone",false,false
002701,BikePoints_401,true,1299592500000,,"Columbia Road, Shoreditch",false,false
010625,BikePoints_402,true,1299592860000,,"Penfold Street, Marylebone",false,false
010630,BikePoints_403,true,1299593640000,,"George Place Mews, Marylebone",false,false
001110,BikePoints_404,true,1299669180000,,"Palace Gate, Kensington Gardens",false,false
001107,BikePoints_405,true,1299669300000,,"Gloucester Road Station, South Kensington",false,false
001129,BikePoints_408,true,,,"Sun Street, Liverpool Street",false,false
010624,BikePoints_409,true,,,"Strata, Elephant & Castle",false,false
001058,BikePoints_410,true,,,"Edgware Road Station, Marylebone",false,false
010629,BikePoints_411,true,,,"Rotherhithe Roundabout, Rotherhithe",false,false
010628,BikePoints_412,true,1302006180000,,"Cleaver Street, Kennington",false,false
022160,BikePoints_419,true,1308735300000,,"Chelsea Bridge, Pimlico",false,false
022162,BikePoints_420,true,1309258380000,,"Southwark Station 1, Southwark",false,false
022163,BikePoints_421,true,1309258440000,,"Southwark Station 2, Southwark",false,false
022164,BikePoints_423,true,1309860240000,,"Eaton Square (South), Belgravia",false,false
022159,BikePoints_424,true,1324551120000,,"Ebury Bridge, Pimlico",false,false
022161,BikePoints_426,true,1310463720000,,"Vincent Street, Pimlico",false,false
022180,BikePoints_427,true,1310725680000,,"Cheapside, Bank",false,false
022179,BikePoints_428,true,1318496100000,,"Exhibition Road, Knightsbridge",false,false
022182,BikePoints_430,true,1324549980000,,"South Parade, Chelsea",false,false
022183,BikePoints_431,true,1323355020000,,"Crinan Street, King's Cross",false,false
200129,BikePoints_697,true,1384251120000,,"Charlotte Terrace, Angel",false,false
200121,BikePoints_698,true,1384254300000,,"Shoreditch Court, Haggerston",false,false
200057,BikePoints_699,true,1384256040000,,"Belford House, Haggerston",false,false
200201,BikePoints_700,true,1384343280000,,"Battersea Church Road, Battersea",false,false
200077,BikePoints_701,true,1384345080000,,"Vicarage Crescent, Battersea",false,false
200213,BikePoints_702,true,1384345860000,,"Durant Street, Bethnal Green",false,false
200094,BikePoints_703,true,1384357800000,,"St. Bride Street, Holborn",false,false
200063,BikePoints_704,true,1384443480000,,"Mexfield Road, East Putney",false,false
300042,BikePoints_705,true,1384453020000,1539845700000,"Upper Richmond Road, Putney",true,false
200193,BikePoints_706,true,1384420920000,,"Snowsfields, London Bridge",false,false
200197,BikePoints_707,true,1384435680000,,"Barons Court Station, West Kensington",false,false
200217,BikePoints_708,true,1384530180000,,"Disraeli Road, Putney",false,false
200205,BikePoints_709,true,1384510140000,,"Montserrat Road , Putney",false,false
300045,BikePoints_710,true,1384520580000,,"Albert Bridge Road, Battersea Park",false,false
300028,BikePoints_711,true,1384791540000,,"Everington Street, Fulham",false,false
300056,BikePoints_712,true,1384797120000,,"Mile End Stadium, Mile End",false,false
200122,BikePoints_713,true,1384774620000,,"Hawley Crescent, Camden Town",false,false
300055,BikePoints_714,true,1384865400000,,"Stewart's Road, Wandsworth Road",false,false
300049,BikePoints_715,true,1384868460000,,"Aylward Street, Stepney",false,false
300024,BikePoints_717,true,1384952400000,,"Dunston Road , Haggerston",false,false
300040,BikePoints_718,true,1384962840000,,"Ada Street, Hackney Central",false,false
300011,BikePoints_719,true,1384968480000,,"Victoria Park Road, Hackney Central",false,false
300038,BikePoints_720,true,1385025840000,,"Star Road, West Kensington",false,false
300039,BikePoints_721,true,1385028480000,,"Wendon Street, Old Ford",false,false
300041,BikePoints_722,true,1385028600000,,"Finnis Street, Bethnal Green",false,false
300053,BikePoints_723,true,1385035380000,,"Stephendale Road, Sands End",false,false
300046,BikePoints_724,true,1385125380000,,"Alma Road, Wandsworth",false,false
300050,BikePoints_725,true,1563352500000,,"Walworth Square, Walworth",false,false
300047,BikePoints_726,true,1385128740000,,"Alfreda Street, Battersea Park",false,false
300054,BikePoints_727,true,1385132160000,,"Chesilton Road, Fulham",false,false
300044,BikePoints_728,true,1385466780000,,"Putney Bridge Road, East Putney",false,false
300043,BikePoints_729,true,1385391300000,,"St. Peter's Terrace, Fulham",false,false
300082,BikePoints_730,true,1385132580000,,"Bridge Avenue, Hammersmith",false,false
300095,BikePoints_731,true,1385394720000,,"Michael Road, Walham Green",false,false
300083,BikePoints_732,true,1385458020000,,"Duke Street Hill, London Bridge",false,false
300093,BikePoints_733,true,1385460840000,,"Park Lane, Mayfair",false,false
300094,BikePoints_734,true,1385464500000,,"Plough Terrace, Clapham Junction",false,false
200120,BikePoints_735,true,1385383080000,,"Grant Road East, Clapham Junction",false,false
