removal_date,common_name,locked,installed,terminal_name,install_date,temporary,place_id
,"Wellington Street , Strand",false,true,001202,1280158740000,false,BikePoints_338
,"Risinghill Street, Angel",false,true,001127,1280160600000,false,BikePoints_339
,"Bank of England Museum, Bank",false,true,001201,1280248620000,false,BikePoints_340
,"Craven Street, Strand",false,true,001160,1280222160000,false,BikePoints_341
,"London Zoo Car Park, The Regent's Park",false,true,001188,1280224260000,false,BikePoints_343
,"Goswell Road (City Uni), Finsbury",false,true,001222,1280226120000,false,BikePoints_344
,"Flood Street, Chelsea",false,true,001218,1280229720000,false,BikePoints_345
,"Lower Marsh, Waterloo",false,true,001219,1283762460000,false,BikePoints_347
,"Grosvenor Square, Mayfair",false,true,010627,1284540540000,false,BikePoints_348
,"St. George Street, Mayfair",false,true,001221,1284543120000,false,BikePoints_349
,"Queen's Gate, Kensington Gardens",false,true,001231,1285756260000,false,BikePoints_350
,"Macclesfield Rd, St Lukes",false,true,001226,1286790480000,false,BikePoints_351
,"Vauxhall Street, Vauxhall",false,true,001224,1286796360000,false,BikePoints_352
,"Greycoat Street , Westminster",false,true,010623,1287652080000,false,BikePoints_353
,"Northumberland Avenue, Strand",false,true,001097,,false,BikePoints_354
,"Clapham Common Station, Clapham Common",false,true,002694,1287752460000,false,BikePoints_355
,"South Kensington Station, South Kensington",false,true,002685,1288009080000,false,BikePoints_356
,"Howland Street, Fitzrovia",false,true,002691,1288092420000,false,BikePoints_357
,"High Holborn , Covent Garden",false,true,001229,1290079860000,false,BikePoints_358
,"Butler Place, Westminster",false,true,002662,1288950960000,false,BikePoints_359
,"Howick Place, Westminster",false,true,002666,1288958160000,false,BikePoints_360
,"Waterloo Station 2, Waterloo",false,true,002692,1291902600000,false,BikePoints_361
,"Royal College Street, Camden Town",false,true,002686,1290080220000,false,BikePoints_362
,"Lord's, St. John's Wood",false,true,002665,1289911800000,false,BikePoints_363
,"Store Street, Bloomsbury",false,true,003507,1290080640000,false,BikePoints_364
,"City Road, Angel",false,true,002690,1290603600000,false,BikePoints_365
,"Harrowby Street, Marylebone",false,true,002680,,false,BikePoints_367
,"Harriet Street, Knightsbridge",false,true,002681,1291201680000,false,BikePoints_368
,"Paddington Green, Paddington",false,true,002670,1291647300000,false,BikePoints_370
,"King Edward Walk, Waterloo",false,true,002639,1291712820000,false,BikePoints_371
,"Sardinia Street, Holborn",false,true,002649,1291713000000,false,BikePoints_372
,"Prince Consort Road, Knightsbridge",false,true,003499,1295428320000,false,BikePoints_373
,"Waterloo Station 1, Waterloo",false,true,002696,1291725720000,false,BikePoints_374
,"Kensington Town Hall, Kensington",false,true,010632,1291805820000,false,BikePoints_375
,"Millbank Tower, Pimlico",false,true,002683,1294660980000,false,BikePoints_376
,"Waterloo Bridge, South Bank",false,true,002648,1295265420000,false,BikePoints_377
,"Natural History Museum, South Kensington",false,true,002677,1296121500000,false,BikePoints_378
,"Turquoise Island, Notting Hill",false,true,002682,1296121680000,false,BikePoints_379
,"Stanhope Gate, Mayfair",false,true,003506,1296125400000,false,BikePoints_380
,"Charlotte Street, Fitzrovia",false,true,002669,1296203760000,false,BikePoints_381
,"Farm Street, Mayfair",false,true,002678,1297159320000,false,BikePoints_382
