install_date,installed,terminal_name,locked,removal_date,temporary,place_id,common_name
1279711620000,true,001095,false,,false,BikePoints_262,"LSBU (Borough Road), Elephant & Castle"
1279712160000,true,001184,false,,false,BikePoints_263,"St. Mary Axe, Aldgate"
1279714560000,true,001204,false,,false,BikePoints_266,"Queen's Gate (North), Kensington"
1279714920000,true,001087,false,,false,BikePoints_268,"Belgrave Road, Victoria"
1279721400000,true,001186,false,,false,BikePoints_273,"Belvedere Road 1, South Bank"
1279721880000,true,001191,false,,false,BikePoints_275,"Barbican Centre, Barbican"
1279723500000,true,001142,false,,false,BikePoints_278,"Tooley Street, Bermondsey"
1279726980000,true,001077,false,,false,BikePoints_282,"Royal London Hospital, Whitechapel"
1279727880000,true,001187,false,,false,BikePoints_286,"St. John's Wood Road, St. John's Wood"
1279800600000,true,001206,false,,false,BikePoints_292,"Montpelier Street, Knightsbridge"
1279800900000,true,001195,false,,false,BikePoints_294,"St. George's Square, Pimlico"
1279808160000,true,001196,false,,false,BikePoints_299,"Vincent Square, Westminster"
1279816740000,true,001189,false,,false,BikePoints_308,"Long Lane , Bermondsey"
1279875060000,true,001192,false,,false,BikePoints_309,"Embankment (Savoy), Strand"
1279879560000,true,001205,false,,false,BikePoints_310,"Black Prince Road, Vauxhall"
1279884660000,true,001199,false,,false,BikePoints_315,"The Tennis Courts, The Regent's Park"
1279885320000,true,001197,false,,false,BikePoints_318,"Sackville Street, Mayfair"
1279894920000,true,001200,false,,false,BikePoints_324,"Ontario Street, Elephant & Castle"
1279896660000,true,001158,false,,false,BikePoints_325,"St. Martin's Street, West End"
1280141280000,true,001203,false,,false,BikePoints_330,"Eastbourne Mews, Paddington"
1280158740000,true,001202,false,,false,BikePoints_338,"Wellington Street , Strand"
1280248620000,true,001201,false,,false,BikePoints_340,"Bank of England Museum, Bank"
1280224260000,true,001188,false,,false,BikePoints_343,"London Zoo Car Park, The Regent's Park"
,true,001097,false,,false,BikePoints_354,"Northumberland Avenue, Strand"
1287752460000,true,002694,false,,false,BikePoints_355,"Clapham Common Station, Clapham Common"
1288009080000,true,002685,false,,false,BikePoints_356,"South Kensington Station, South Kensington"
1288092420000,true,002691,false,,false,BikePoints_357,"Howland Street, Fitzrovia"
1290080220000,true,002686,false,,false,BikePoints_362,"Royal College Street, Camden Town"
1290603600000,true,002690,false,,false,BikePoints_365,"City Road, Angel"
1296203760000,true,002669,false,,false,BikePoints_381,"Charlotte Street, Fitzrovia"
1297077540000,true,002703,false,,false,BikePoints_387,"Fire Brigade Pier, Vauxhall"
1298545440000,true,002699,false,,false,BikePoints_393,"Snow Hill, Farringdon"
,true,002698,false,,false,BikePoints_394,"Aberdeen Place, St. John's Wood"
1298908800000,true,002695,false,,false,BikePoints_395,"Cadogan Gardens, Chelsea"
1299075120000,true,002693,false,,false,BikePoints_396,"Shouldham Street, Marylebone"
1299582900000,true,002687,false,,false,BikePoints_399,"Brick Lane Market, Shoreditch"
1299592500000,true,002701,false,,false,BikePoints_401,"Columbia Road, Shoreditch"
1299669300000,true,001107,false,,false,BikePoints_405,"Gloucester Road Station, South Kensington"
,true,001058,false,,false,BikePoints_410,"Edgware Road Station, Marylebone"
1563958740000,true,300249,false,,false,BikePoints_818,"Westminster Pier, Westminster"
1599752640000,true,002679,false,,false,BikePoints_840,"George Row, Bermondsey"
1608303660000,true,300253,false,,false,BikePoints_845,"Bermondsey Station, Bermondsey"
1278241680000,true,003424,false,,false,BikePoints_6,"Broadcasting House, Marylebone"
1278241800000,true,003422,false,,false,BikePoints_7,"Charlbert Street, St. John's Wood"
1540984560000,true,003423,false,,false,BikePoints_8,"Maida Vale, Maida Vale"
1278427740000,true,003426,false,,false,BikePoints_21,"Lansdowne Drive, Hackney Central"
1278428880000,true,003425,false,,false,BikePoints_22,"Northington Street , Holborn"
1278501600000,true,003427,false,,false,BikePoints_31,"Fanshaw Street, Hoxton"
1278506940000,true,003430,false,,false,BikePoints_33,"Central House, Aldgate"
1278507060000,true,003428,false,,false,BikePoints_34,"Pancras Road, King's Cross"
1278520020000,true,003444,false,,false,BikePoints_37,"Penywern Road, Earl's Court"
1278584880000,true,003442,false,,false,BikePoints_38,"Abingdon Villas, Kensington"
1278749940000,true,003437,false,,false,BikePoints_49,"Curzon Street, Mayfair"
