locked,install_date,terminal_name,common_name,temporary,place_id,installed,removal_date
false,1280160600000,001127,"Risinghill Street, Angel",false,BikePoints_339,true,
false,1280248620000,001201,"Bank of England Museum, Bank",false,BikePoints_340,true,
false,1280222160000,001160,"Craven Street, Strand",false,BikePoints_341,true,
false,1280224260000,001188,"London Zoo Car Park, The Regent's Park",false,BikePoints_343,true,
false,1280226120000,001222,"Goswell Road (City Uni), Finsbury",false,BikePoints_344,true,
false,1280229720000,001218,"Flood Street, Chelsea",false,BikePoints_345,true,
false,1283762460000,001219,"Lower Marsh, Waterloo",false,BikePoints_347,true,
false,1284540540000,010627,"Grosvenor Square, Mayfair",false,BikePoints_348,true,
false,1284543120000,001221,"St. George Street, Mayfair",false,BikePoints_349,true,
false,1285756260000,001231,"Queen's Gate, Kensington Gardens",false,BikePoints_350,true,
false,1286790480000,001226,"Macclesfield Rd, St Lukes",false,BikePoints_351,true,
false,1286796360000,001224,"Vauxhall Street, Vauxhall",false,BikePoints_352,true,
false,1287652080000,010623,"Greycoat Street , Westminster",false,BikePoints_353,true,
false,,001097,"Northumberland Avenue, Strand",false,BikePoints_354,true,
false,1287752460000,002694,"Clapham Common Station, Clapham Common",false,BikePoints_355,true,
false,1288009080000,002685,"South Kensington Station, South Kensington",false,BikePoints_356,true,
false,1288092420000,002691,"Howland Street, Fitzrovia",false,BikePoints_357,true,
false,1290079860000,001229,"High Holborn , Covent Garden",false,BikePoints_358,true,
false,1288950960000,002662,"Butler Place, Westminster",false,BikePoints_359,true,
false,1288958160000,002666,"Howick Place, Westminster",false,BikePoints_360,true,
false,1291902600000,002692,"Waterloo Station 2, Waterloo",false,BikePoints_361,true,
false,1290080220000,002686,"Royal College Street, Camden Town",false,BikePoints_362,true,
false,1289911800000,002665,"Lord's, St. John's Wood",false,BikePoints_363,true,
false,1290080640000,003507,"Store Street, Bloomsbury",false,BikePoints_364,true,
false,1290603600000,002690,"City Road, Angel",false,BikePoints_365,true,
false,,002680,"Harrowby Street, Marylebone",false,BikePoints_367,true,
false,1291201680000,002681,"Harriet Street, Knightsbridge",false,BikePoints_368,true,
false,1291647300000,002670,"Paddington Green, Paddington",false,BikePoints_370,true,
false,1291712820000,002639,"King Edward Walk, Waterloo",false,BikePoints_371,true,
false,1291713000000,002649,"Sardinia Street, Holborn",false,BikePoints_372,true,
false,1295428320000,003499,"Prince Consort Road, Knightsbridge",false,BikePoints_373,true,
false,1291725720000,002696,"Waterloo Station 1, Waterloo",false,BikePoints_374,true,
false,1291805820000,010632,"Kensington Town Hall, Kensington",false,BikePoints_375,true,
false,1294660980000,002683,"Millbank Tower, Pimlico",false,BikePoints_376,true,
false,1295265420000,002648,"Waterloo Bridge, South Bank",false,BikePoints_377,true,
false,1296121500000,002677,"Natural History Museum, South Kensington",false,BikePoints_378,true,
false,1296121680000,002682,"Turquoise Island, Notting Hill",false,BikePoints_379,true,
false,1296125400000,003506,"Stanhope Gate, Mayfair",false,BikePoints_380,true,
false,1296203760000,002669,"Charlotte Street, Fitzrovia",false,BikePoints_381,true,
false,1297159320000,002678,"Farm Street, Mayfair",false,BikePoints_382,true,
false,1296649200000,002660,"Frith Street, Soho",false,BikePoints_383,true,
false,1296731880000,003505,"Marloes Road, Kensington",false,BikePoints_384,true,
false,1296732540000,003504,"Moor Street, Soho",false,BikePoints_386,true,
false,1297077540000,002703,"Fire Brigade Pier, Vauxhall",false,BikePoints_387,true,
false,1297182180000,001228,"Southampton Street, Strand",false,BikePoints_388,true,
false,1297347960000,010621,"Upper Grosvenor Street, Mayfair",false,BikePoints_389,true,
false,1297764360000,001223,"Buxton Street 1, Shoreditch",false,BikePoints_390,true,
false,1297956480000,002688,"Clifford Street, Mayfair",false,BikePoints_391,true,1539846000000
false,1297958700000,001220,"Imperial College, Knightsbridge",false,BikePoints_392,true,
false,1298545440000,002699,"Snow Hill, Farringdon",false,BikePoints_393,true,
false,,002698,"Aberdeen Place, St. John's Wood",false,BikePoints_394,true,
false,1298908800000,002695,"Cadogan Gardens, Chelsea",false,BikePoints_395,true,
false,1299075120000,002693,"Shouldham Street, Marylebone",false,BikePoints_396,true,
false,1299075900000,001227,"Devonshire Terrace, Bayswater",false,BikePoints_397,true,
false,1299076440000,010631,"Holland Park, Kensington",false,BikePoints_398,true,
false,1299582900000,002687,"Brick Lane Market, Shoreditch",false,BikePoints_399,true,
false,1299583260000,001225,"George Street, Marylebone",false,BikePoints_400,true,
false,1299592500000,002701,"Columbia Road, Shoreditch",false,BikePoints_401,true,
false,1299592860000,010625,"Penfold Street, Marylebone",false,BikePoints_402,true,
false,1299593640000,010630,"George Place Mews, Marylebone",false,BikePoints_403,true,
false,1299669180000,001110,"Palace Gate, Kensington Gardens",false,BikePoints_404,true,
false,1299669300000,001107,"Gloucester Road Station, South Kensington",false,BikePoints_405,true,
false,,001129,"Sun Street, Liverpool Street",false,BikePoints_408,true,
false,,010624,"Strata, Elephant & Castle",false,BikePoints_409,true,
false,,001058,"Edgware Road Station, Marylebone",false,BikePoints_410,true,
false,,010629,"Rotherhithe Roundabout, Rotherhithe",false,BikePoints_411,true,
false,1302006180000,010628,"Cleaver Street, Kennington",false,BikePoints_412,true,
false,1308735300000,022160,"Chelsea Bridge, Pimlico",false,BikePoints_419,true,
false,1309258380000,022162,"Southwark Station 1, Southwark",false,BikePoints_420,true,
false,1309258440000,022163,"Southwark Station 2, Southwark",false,BikePoints_421,true,
false,1309860240000,022164,"Eaton Square (South), Belgravia",false,BikePoints_423,true,
false,1324551120000,022159,"Ebury Bridge, Pimlico",false,BikePoints_424,true,
false,1310463720000,022161,"Vincent Street, Pimlico",false,BikePoints_426,true,
false,1310725680000,022180,"Cheapside, Bank",false,BikePoints_427,true,
false,1318496100000,022179,"Exhibition Road, Knightsbridge",false,BikePoints_428,true,
false,1324549980000,022182,"South Parade, Chelsea",false,BikePoints_430,true,
false,1323355020000,022183,"Crinan Street, King's Cross",false,BikePoints_431,true,
false,1319448720000,022158,"Exhibition Road Museums 1, South Kensington",false,BikePoints_432,true,
false,1323361560000,022169,"Wren Street, Holborn",false,BikePoints_433,true,
false,1323346020000,022170,"Kennington Station, Kennington",false,BikePoints_435,true,
false,1384254300000,200121,"Shoreditch Court, Haggerston",false,BikePoints_698,true,
false,1384256040000,200057,"Belford House, Haggerston",false,BikePoints_699,true,
false,1384343280000,200201,"Battersea Church Road, Battersea",false,BikePoints_700,true,
false,1384345080000,200077,"Vicarage Crescent, Battersea",false,BikePoints_701,true,
false,1384345860000,200213,"Durant Street, Bethnal Green",false,BikePoints_702,true,
false,1384357800000,200094,"St. Bride Street, Holborn",false,BikePoints_703,true,
false,1384443480000,200063,"Mexfield Road, East Putney",false,BikePoints_704,true,
false,1384453020000,300042,"Upper Richmond Road, Putney",true,BikePoints_705,true,1539845700000
