installed,terminal_name,removal_date,common_name,locked,place_id,temporary,install_date
true,001202,,"Wellington Street , Strand",false,BikePoints_338,false,1280158740000
true,001127,,"Risinghill Street, Angel",false,BikePoints_339,false,1280160600000
true,001201,,"Bank of England Museum, Bank",false,BikePoints_340,false,1280248620000
true,001160,,"Craven Street, Strand",false,BikePoints_341,false,1280222160000
true,001188,,"London Zoo Car Park, The Regent's Park",false,BikePoints_343,false,1280224260000
true,001222,,"Goswell Road (City Uni), Finsbury",false,BikePoints_344,false,1280226120000
true,001218,,"Flood Street, Chelsea",false,BikePoints_345,false,1280229720000
true,001219,,"Lower Marsh, Waterloo",false,BikePoints_347,false,1283762460000
true,010627,,"Grosvenor Square, Mayfair",false,BikePoints_348,false,1284540540000
true,001221,,"St. George Street, Mayfair",false,BikePoints_349,false,1284543120000
true,001231,,"Queen's Gate, Kensington Gardens",false,BikePoints_350,false,1285756260000
true,001226,,"Macclesfield Rd, St Lukes",false,BikePoints_351,false,1286790480000
true,001224,,"Vauxhall Street, Vauxhall",false,BikePoints_352,false,1286796360000
true,010623,,"Greycoat Street , Westminster",false,BikePoints_353,false,1287652080000
true,001097,,"Northumberland Avenue, Strand",false,BikePoints_354,false,
true,002694,,"Clapham Common Station, Clapham Common",false,BikePoints_355,false,1287752460000
true,002685,,"South Kensington Station, South Kensington",false,BikePoints_356,false,1288009080000
true,002691,,"Howland Street, Fitzrovia",false,BikePoints_357,false,1288092420000
true,001229,,"High Holborn , Covent Garden",false,BikePoints_358,false,1290079860000
true,002662,,"Butler Place, Westminster",false,BikePoints_359,false,1288950960000
true,002666,,"Howick Place, Westminster",false,BikePoints_360,false,1288958160000
true,002692,,"Waterloo Station 2, Waterloo",false,BikePoints_361,false,1291902600000
true,002686,,"Royal College Street, Camden Town",false,BikePoints_362,false,1290080220000
true,002665,,"Lord's, St. John's Wood",false,BikePoints_363,false,1289911800000
true,003507,,"Store Street, Bloomsbury",false,BikePoints_364,false,1290080640000
true,002690,,"City Road, Angel",false,BikePoints_365,false,1290603600000
true,001230,,"Millennium Hotel, Mayfair",false,BikePoints_366,false,1290686880000
true,002680,,"Harrowby Street, Marylebone",false,BikePoints_367,false,
true,002681,,"Harriet Street, Knightsbridge",false,BikePoints_368,false,1291201680000
true,002670,,"Paddington Green, Paddington",false,BikePoints_370,false,1291647300000
true,002639,,"King Edward Walk, Waterloo",false,BikePoints_371,false,1291712820000
true,002649,,"Sardinia Street, Holborn",false,BikePoints_372,false,1291713000000
true,003499,,"Prince Consort Road, Knightsbridge",false,BikePoints_373,false,1295428320000
true,002696,,"Waterloo Station 1, Waterloo",false,BikePoints_374,false,1291725720000
true,010632,,"Kensington Town Hall, Kensington",false,BikePoints_375,false,1291805820000
true,002683,,"Millbank Tower, Pimlico",false,BikePoints_376,false,1294660980000
true,002648,,"Waterloo Bridge, South Bank",false,BikePoints_377,false,1295265420000
true,002677,,"Natural History Museum, South Kensington",false,BikePoints_378,false,1296121500000
true,002682,,"Turquoise Island, Notting Hill",false,BikePoints_379,false,1296121680000
true,003506,,"Stanhope Gate, Mayfair",false,BikePoints_380,false,1296125400000
true,002669,,"Charlotte Street, Fitzrovia",false,BikePoints_381,false,1296203760000
true,002678,,"Farm Street, Mayfair",false,BikePoints_382,false,1297159320000
true,002660,,"Frith Street, Soho",false,BikePoints_383,false,1296649200000
true,003505,,"Marloes Road, Kensington",false,BikePoints_384,false,1296731880000
true,003504,,"Moor Street, Soho",false,BikePoints_386,false,1296732540000
true,002703,,"Fire Brigade Pier, Vauxhall",false,BikePoints_387,false,1297077540000
true,001228,,"Southampton Street, Strand",false,BikePoints_388,false,1297182180000
true,010621,,"Upper Grosvenor Street, Mayfair",false,BikePoints_389,false,1297347960000
true,001223,,"Buxton Street 1, Shoreditch",false,BikePoints_390,false,1297764360000
true,002688,1539846000000,"Clifford Street, Mayfair",false,BikePoints_391,false,1297956480000
true,001220,,"Imperial College, Knightsbridge",false,BikePoints_392,false,1297958700000
true,002699,,"Snow Hill, Farringdon",false,BikePoints_393,false,1298545440000
true,002698,,"Aberdeen Place, St. John's Wood",false,BikePoints_394,false,
true,002695,,"Cadogan Gardens, Chelsea",false,BikePoints_395,false,1298908800000
true,002693,,"Shouldham Street, Marylebone",false,BikePoints_396,false,1299075120000
true,001227,,"Devonshire Terrace, Bayswater",false,BikePoints_397,false,1299075900000
true,010631,,"Holland Park, Kensington",false,BikePoints_398,false,1299076440000
true,002687,,"Brick Lane Market, Shoreditch",false,BikePoints_399,false,1299582900000
true,001225,,"George Street, Marylebone",false,BikePoints_400,false,1299583260000
true,002701,,"Columbia Road, Shoreditch",false,BikePoints_401,false,1299592500000
true,010625,,"Penfold Street, Marylebone",false,BikePoints_402,false,1299592860000
true,010630,,"George Place Mews, Marylebone",false,BikePoints_403,false,1299593640000
true,001110,,"Palace Gate, Kensington Gardens",false,BikePoints_404,false,1299669180000
true,001107,,"Gloucester Road Station, South Kensington",false,BikePoints_405,false,1299669300000
true,001129,,"Sun Street, Liverpool Street",false,BikePoints_408,false,
true,010624,,"Strata, Elephant & Castle",false,BikePoints_409,false,
true,001058,,"Edgware Road Station, Marylebone",false,BikePoints_410,false,
true,010629,,"Rotherhithe Roundabout, Rotherhithe",false,BikePoints_411,false,
true,010628,,"Cleaver Street, Kennington",false,BikePoints_412,false,1302006180000
true,022160,,"Chelsea Bridge, Pimlico",false,BikePoints_419,false,1308735300000
true,022162,,"Southwark Station 1, Southwark",false,BikePoints_420,false,1309258380000
true,022163,,"Southwark Station 2, Southwark",false,BikePoints_421,false,1309258440000
true,022164,,"Eaton Square (South), Belgravia",false,BikePoints_423,false,1309860240000
true,022159,,"Ebury Bridge, Pimlico",false,BikePoints_424,false,1324551120000
true,022161,,"Vincent Street, Pimlico",false,BikePoints_426,false,1310463720000
true,022180,,"Cheapside, Bank",false,BikePoints_427,false,1310725680000
true,022179,,"Exhibition Road, Knightsbridge",false,BikePoints_428,false,1318496100000
true,022182,,"South Parade, Chelsea",false,BikePoints_430,false,1324549980000
true,022183,,"Crinan Street, King's Cross",false,BikePoints_431,false,1323355020000
true,022158,,"Exhibition Road Museums 1, South Kensington",false,BikePoints_432,false,1319448720000
true,200121,,"Shoreditch Court, Haggerston",false,BikePoints_698,false,1384254300000
true,200057,,"Belford House, Haggerston",false,BikePoints_699,false,1384256040000
true,200201,,"Battersea Church Road, Battersea",false,BikePoints_700,false,1384343280000
true,200077,,"Vicarage Crescent, Battersea",false,BikePoints_701,false,1384345080000
true,200213,,"Durant Street, Bethnal Green",false,BikePoints_702,false,1384345860000
true,200094,,"St. Bride Street, Holborn",false,BikePoints_703,false,1384357800000
true,200063,,"Mexfield Road, East Putney",false,BikePoints_704,false,1384443480000
true,300042,1539845700000,"Upper Richmond Road, Putney",false,BikePoints_705,true,1384453020000
true,200193,,"Snowsfields, London Bridge",false,BikePoints_706,false,1384420920000
true,200197,,"Barons Court Station, West Kensington",false,BikePoints_707,false,1384435680000
true,200217,,"Disraeli Road, Putney",false,BikePoints_708,false,1384530180000
true,200205,,"Montserrat Road , Putney",false,BikePoints_709,false,1384510140000
true,300045,,"Albert Bridge Road, Battersea Park",false,BikePoints_710,false,1384520580000
true,300028,,"Everington Street, Fulham",false,BikePoints_711,false,1384791540000
true,300056,,"Mile End Stadium, Mile End",false,BikePoints_712,false,1384797120000
true,200122,,"Hawley Crescent, Camden Town",false,BikePoints_713,false,1384774620000
true,300055,,"Stewart's Road, Wandsworth Road",false,BikePoints_714,false,1384865400000
true,300049,,"Aylward Street, Stepney",false,BikePoints_715,false,1384868460000
true,300048,,"Stainsby Road , Poplar",false,BikePoints_716,false,1384873500000
true,300024,,"Dunston Road , Haggerston",false,BikePoints_717,false,1384952400000
true,300040,,"Ada Street, Hackney Central",false,BikePoints_718,false,1384962840000
true,300011,,"Victoria Park Road, Hackney Central",false,BikePoints_719,false,1384968480000
true,300038,,"Star Road, West Kensington",false,BikePoints_720,false,1385025840000
true,300039,,"Wendon Street, Old Ford",false,BikePoints_721,false,1385028480000
true,300041,,"Finnis Street, Bethnal Green",false,BikePoints_722,false,1385028600000
true,300053,,"Stephendale Road, Sands End",false,BikePoints_723,false,1385035380000
true,300046,,"Alma Road, Wandsworth",false,BikePoints_724,false,1385125380000
true,300050,,"Walworth Square, Walworth",false,BikePoints_725,false,1563352500000
true,300047,,"Alfreda Street, Battersea Park",false,BikePoints_726,false,1385128740000
true,300054,,"Chesilton Road, Fulham",false,BikePoints_727,false,1385132160000
true,300044,,"Putney Bridge Road, East Putney",false,BikePoints_728,false,1385466780000
true,300043,,"St. Peter's Terrace, Fulham",false,BikePoints_729,false,1385391300000
true,300082,,"Bridge Avenue, Hammersmith",false,BikePoints_730,false,1385132580000
true,300095,,"Michael Road, Walham Green",false,BikePoints_731,false,1385394720000
true,300083,,"Duke Street Hill, London Bridge",false,BikePoints_732,false,1385458020000
true,300093,,"Park Lane, Mayfair",false,BikePoints_733,false,1385460840000
true,300094,,"Plough Terrace, Clapham Junction",false,BikePoints_734,false,1385464500000
true,200120,,"Grant Road East, Clapham Junction",false,BikePoints_735,false,1385383080000
true,300088,,"Queensdale Road, Shepherd's Bush",false,BikePoints_736,false,1385472900000
