common_name,removal_date,temporary,terminal_name,place_id,installed,locked,install_date
"Red Lion Street, Holborn",,false,022171,BikePoints_436,true,false,1323350220000
"Vauxhall Walk, Vauxhall",,false,200056,BikePoints_437,true,false,1325746380000
"Killick Street, King's Cross",,false,200053,BikePoints_439,true,false,1325705460000
"Kennington Oval, Oval",,false,200032,BikePoints_440,true,false,1325708160000
"Sail Street, Vauxhall",,false,200039,BikePoints_441,true,false,1325711220000
"Walmer Road, Avondale",,false,200035,BikePoints_442,true,false,1325940420000
"Philpot Street, Whitechapel",,false,200033,BikePoints_443,true,false,1325941800000
"Bethnal Green Garden, Bethnal Green",,false,200047,BikePoints_444,true,false,1325944680000
"Cheshire Street, Bethnal Green",,false,200003,BikePoints_445,true,false,1325945820000
"York Hall, Bethnal Green",,false,200042,BikePoints_446,true,false,1325948880000
"Jubilee Crescent, Cubitt Town",,false,200054,BikePoints_447,true,false,1325949000000
"Fisherman's Walk West, Canary Wharf",,false,022165,BikePoints_448,true,false,1325952660000
"Shadwell Station, Shadwell",,false,200020,BikePoints_449,true,false,1325952900000
"Jubilee Street, Stepney",,false,200002,BikePoints_450,true,false,1326105240000
"Hermitage Court, Wapping",,false,200021,BikePoints_451,true,false,1325501400000
"St. Katharine's Way, Tower",,false,200049,BikePoints_452,true,false,1326109140000
"Garnet Street, Shadwell",,false,200045,BikePoints_453,true,false,1326111060000
"Napier Avenue, Millwall",,false,200046,BikePoints_454,true,false,1326115380000
"East Ferry Road, Cubitt Town",,false,200031,BikePoints_455,true,false,1326117780000
"Parkway, Camden Town",,false,200118,BikePoints_456,true,false,1326197580000
"Castlehaven Road, Camden Town",,false,200016,BikePoints_457,true,false,1326203280000
"Wapping Lane, Wapping",,false,200034,BikePoints_458,true,false,1326294780000
"Gunmakers Lane, Old Ford",,false,200014,BikePoints_459,true,false,
"Burdett Road, Mile End",,false,200123,BikePoints_460,true,false,1326284820000
"Aston Street, Stepney",,true,200013,BikePoints_461,true,false,1326293640000
"Bonny Street, Camden Town",,false,200105,BikePoints_462,true,false,1326294600000
"Thurtle Road, Haggerston",,false,200093,BikePoints_463,true,false,
"St. Mary & St. Michael Church, Stepney",,false,200082,BikePoints_464,true,false,1326304980000
"Pitfield Street North,Hoxton",,false,200152,BikePoints_465,true,false,1333613280000
"Whiston Road, Haggerston",,false,200158,BikePoints_466,true,false,1326360000000
"Southern Grove, Bow",,false,200168,BikePoints_467,true,false,1326374040000
"Cantrell Road, Bow",,false,200150,BikePoints_468,true,false,1326375720000
"Lindfield Street, Poplar",,false,022178,BikePoints_469,true,false,1326381060000
"Mostyn Grove, Bow",,false,200174,BikePoints_470,true,false,1326790620000
"Hewison Street, Old Ford",,false,200006,BikePoints_471,true,false,1326790860000
"Malmesbury Road, Bow",,false,200019,BikePoints_472,true,false,1326791160000
"Millharbour, Millwall",,false,022167,BikePoints_473,true,false,1326816540000
"Gascoyne Road, Victoria Park",,false,200155,BikePoints_474,true,false,1326822960000
"Lightermans Road, Millwall",,false,200004,BikePoints_475,true,false,1326825480000
"Stebondale Street, Cubitt Town",,false,200009,BikePoints_476,true,false,1326962100000
"Spindrift Avenue, Millwall",,false,200018,BikePoints_477,true,false,1326963780000
"Stepney Green Station, Stepney",,false,200012,BikePoints_478,true,false,1326965580000
"Pott Street, Bethnal Green",,false,200156,BikePoints_479,true,false,1326966240000
"Flamborough Street, Limehouse",,false,200115,BikePoints_480,true,false,1326975420000
"Saunders Ness Road, Cubitt Town",,false,200022,BikePoints_481,true,false,1326996480000
"Exhibition Road Museums 2, South Kensington",,false,200052,BikePoints_482,true,false,1326996720000
"Albert Gardens, Stepney",,false,022166,BikePoints_483,true,false,1327088280000
"Bromley High Street, Bow",,false,022172,BikePoints_484,true,false,1327339740000
"Old Ford Road, Bethnal Green",,false,022173,BikePoints_485,true,false,1327255440000
"Granby Street, Shoreditch",,false,022174,BikePoints_486,true,false,1327338660000
"Canton Street, Poplar",,false,022175,BikePoints_487,true,false,1327936860000
"Reardon Street, Wapping",,false,022176,BikePoints_488,true,false,1327254960000
"Pennington Street, Wapping",,false,200090,BikePoints_490,true,false,
"Queen Mary's, Mile End",,false,200249,BikePoints_491,true,false,1327256220000
"Maplin Street, Mile End",,false,200230,BikePoints_492,true,false,1327256520000
"South Quay East, Canary Wharf",,false,200233,BikePoints_494,true,false,1327433220000
"Bow Church Station, Bow",,false,200252,BikePoints_495,true,false,1327340460000
"Devons Road, Bow",,false,200255,BikePoints_496,true,false,1327400820000
"Merchant Street, Bow",,false,200242,BikePoints_497,true,false,1327398420000
"Bow Road Station, Bow",,false,200251,BikePoints_498,true,false,1327398660000
"Furze Green, Bow",,false,200011,BikePoints_499,true,false,1327407960000
"Ansell House, Stepney",,false,200148,BikePoints_500,true,false,1327430040000
"Cephas Street, Bethnal Green",,false,200073,BikePoints_501,true,false,1327430220000
"Bonner Gate, Victoria Park",,false,200241,BikePoints_502,true,false,1563957840000
"Cleveland Way, Stepney",,false,200250,BikePoints_503,true,false,1327492920000
"St. John's Park, Cubitt Town",,false,200243,BikePoints_504,true,false,1327937820000
"Ackroyd Drive, Bow",,false,200038,BikePoints_505,true,false,1327937460000
"Bell Lane, Liverpool Street",,false,200036,BikePoints_506,true,false,1327938660000
"Clarkson Street, Bethnal Green",,false,200131,BikePoints_507,true,false,1327938420000
"Fournier Street, Whitechapel",,false,200157,BikePoints_508,true,false,1327938180000
"Fore Street, Guildhall",,false,200253,BikePoints_509,true,false,1327938120000
"Westferry DLR, Limehouse",,false,200238,BikePoints_510,true,false,
"Sutton Street, Shadwell",,false,200256,BikePoints_511,true,false,1327937940000
"Pritchard's Road, Bethnal Green",,false,200083,BikePoints_512,true,false,1328112600000
"Watney Market, Stepney",,false,200162,BikePoints_513,true,false,
"Portman Square, Marylebone",,false,200008,BikePoints_514,true,false,1328201520000
"Russell Gardens, Olympia",,false,200080,BikePoints_515,true,false,
"Chrisp Street Market, Poplar",,false,200089,BikePoints_516,true,false,1328202420000
"Ford Road, Old Ford",,false,200027,BikePoints_517,true,false,1326790860000
"Antill Road, Mile End",,false,200041,BikePoints_518,true,false,
"Teviot Street, Poplar",,false,200254,BikePoints_519,true,false,
"Bancroft Road, Bethnal Green",,false,200234,BikePoints_520,true,false,
"Victoria & Albert Museum, South Kensington",,false,300032,BikePoints_781,true,false,1446485340000
"Halford Road, West Kensington",,false,300210,BikePoints_782,true,false,1446485820000
"Monier Road, Hackney Wick",,false,300213,BikePoints_783,true,false,1448529660000
"East Village, Queen Elizabeth Olympic Park",,false,300200,BikePoints_784,true,false,1452789240000
"Aquatic Centre, Queen Elizabeth Olympic Park",,false,300233,BikePoints_785,true,false,1451908440000
"Lee Valley VeloPark, Queen Elizabeth Olympic Park",,false,300029,BikePoints_786,true,false,1451918160000
"Timber Lodge, Queen Elizabeth Olympic Park",,false,300227,BikePoints_787,true,false,1451900700000
"Copper Box Arena, Queen Elizabeth Olympic Park",,false,300226,BikePoints_788,true,false,1451906880000
"Podium, Queen Elizabeth Olympic Park",,false,300021,BikePoints_789,true,false,1452507000000
"Stratford Station, Stratford",,false,300234,BikePoints_790,true,false,1452687420000
"Blackfriars Road, Southwark",,false,300214,BikePoints_792,true,false,1454926380000
"Cromer Street, Bloomsbury",,false,300205,BikePoints_793,true,false,1459424760000
"Victoria Rise, Clapham Common",,false,300204,BikePoints_794,true,false,1456404240000
"Euston Square Gardens, Euston",,false,300203,BikePoints_795,true,false,1456744740000
"Coram Street, Bloomsbury",,false,300201,BikePoints_796,true,false,1456746420000
"Ossulston Street, Somers Town",,false,300211,BikePoints_797,true,false,1456839540000
"Birkenhead Street, King's Cross",,false,300212,BikePoints_798,true,false,1464787980000
"Kings Gate House, Westminster",,false,300202,BikePoints_799,true,false,1464876480000
"Sopwith Way, Battersea Park",,false,300248,BikePoints_800,true,false,1457107140000
"Lavington Street, Bankside",,false,300208,BikePoints_801,true,false,1458824640000
"Albert Square, Stockwell",,false,300209,BikePoints_802,true,false,1464865500000
"Southwark Street, Bankside",,false,300238,BikePoints_803,true,false,1464787860000
"Good's Way, King's Cross",,false,300243,BikePoints_804,true,false,1459410960000
"The Metropolitan, Portobello",,false,300244,BikePoints_805,true,false,1467626400000
