temporary,place_id,install_date,removal_date,common_name,terminal_name,installed,locked
false,BikePoints_615,1380288900000,,"Finlay Street, Fulham",200029,true,false
false,BikePoints_616,,,"Aintree Street, Fulham",200098,true,false
false,BikePoints_617,1380531540000,,"Elysium Place, Fulham",200028,true,false
false,BikePoints_618,1380546540000,,"Eel Brook Common, Walham Green",300003,true,false
false,BikePoints_619,1380552360000,,"Irene Road, Parsons Green",300012,true,false
false,BikePoints_620,1380629040000,,"Surrey Lane, Battersea",300010,true,false
false,BikePoints_621,1380899280000,,"Wandsworth Town Station, Wandsworth",200091,true,false
false,BikePoints_622,1380901680000,,"Lansdowne Road, Ladbroke Grove",200172,true,false
false,BikePoints_623,1381135320000,,"Nantes Close, Wandsworth",200186,true,false
false,BikePoints_624,1381224240000,,"Courland Grove, Wandsworth Road",200173,true,false
false,BikePoints_625,1381227480000,,"Queen's Circus, Battersea Park",200190,true,false
false,BikePoints_626,1381920300000,,"Normand Park, West Kensington",300008,true,false
false,BikePoints_627,1381931400000,,"Holden Street, Battersea",200007,true,false
false,BikePoints_628,1381414980000,,"William Morris Way, Sands End",200062,true,false
false,BikePoints_629,1381479480000,,"Morie Street, Wandsworth",200187,true,false
false,BikePoints_630,1381487100000,,"Clarence Walk, Stockwell",200194,true,false
false,BikePoints_631,1381245300000,,"Battersea Park Road, Nine Elms",200183,true,false
false,BikePoints_632,1381220700000,,"Sheepcote Lane, Battersea",200176,true,false
false,BikePoints_633,1381402920000,,"Vereker Road, West Kensington",200116,true,false
false,BikePoints_634,1381743780000,,"Brook Green South, Brook Green",300002,true,false
false,BikePoints_635,1381756440000,,"Greyhound Road, Hammersmith",200215,true,false
false,BikePoints_636,1381846320000,,"South Park, Sands End",200180,true,false
false,BikePoints_637,1381933680000,,"Spencer Park, Wandsworth Common",200191,true,false
false,BikePoints_638,1381834020000,,"Falcon Road, Clapham Junction",300014,true,false
false,BikePoints_639,1381835700000,,"Coomer Place, West Kensington",200081,true,false
false,BikePoints_640,1382010420000,,"Silverthorne Road, Battersea",200179,true,false
false,BikePoints_641,1381926900000,,"Archbishop's Park, Waterloo",300025,true,false
false,BikePoints_642,1381934220000,,"Fawcett Close, Battersea",200192,true,false
false,BikePoints_643,1382010720000,,"All Saints' Road, Portobello",300026,true,false
false,BikePoints_644,1382278560000,,"Rainville Road, Hammersmith",200182,true,false
false,BikePoints_645,1382110800000,,"Great Suffolk Street, The Borough",200200,true,false
false,BikePoints_646,1382084340000,,"Buckingham Gate, Westminster",200178,true,false
false,BikePoints_647,1382347140000,,"Richmond Way, Shepherd's Bush",200181,true,false
false,BikePoints_648,1382352840000,,"Peterborough Road, Sands End",200171,true,false
false,BikePoints_649,1382348400000,,"World's End Place, West Chelsea",300009,true,false
false,BikePoints_650,1382438520000,,"St. Mark's Road, North Kensington",300034,true,false
false,BikePoints_651,1382441580000,,"Thorndike Close, West Chelsea",300030,true,false
false,BikePoints_652,1381848540000,,"Evesham Street, Avondale",300022,true,false
false,BikePoints_653,1382539860000,,"Simpson Street, Clapham Junction",200196,true,false
false,BikePoints_654,1382520000000,,"Ashmole Estate, Oval",200223,true,false
false,BikePoints_655,1382611200000,,"Crabtree Lane, Fulham",200221,true,false
false,BikePoints_656,1382614560000,,"Broomhouse Lane, Parsons Green",200040,true,false
false,BikePoints_657,1382621400000,,"Blythe Road West, Shepherd's Bush",200220,true,false
false,BikePoints_658,1383731100000,,"Ethelburga Estate, Battersea Park",300005,true,false
false,BikePoints_659,1382697060000,,"Blackfriars Station, St. Paul's",200212,true,false
false,BikePoints_660,1382705340000,,"West Kensington Station, West Kensington",300020,true,false
false,BikePoints_661,1382887680000,,"All Saints Church, Portobello",300023,true,false
false,BikePoints_662,1382866680000,,"Phene Street, Chelsea",200189,true,false
false,BikePoints_663,1382870040000,,"Clarendon Road, Avondale",200124,true,false
false,BikePoints_664,1382964300000,,"Austin Road, Battersea Park",300013,true,false
false,BikePoints_665,1382975700000,,"Smugglers Way, Wandsworth",200113,true,false
false,BikePoints_667,1383136140000,,"Shepherd's Bush Road North, Shepherd's Bush",200209,true,false
false,BikePoints_668,1383143160000,,"Ravenscourt Park Station, Hammersmith",300037,true,false
false,BikePoints_669,1383147660000,,"Teversham Lane, Stockwell",300036,true,false
false,BikePoints_670,1383212640000,,"Ashley Crescent, Battersea",200169,true,false
false,BikePoints_671,1383217920000,,"Parsons Green Station, Parsons Green",300052,true,false
false,BikePoints_673,1383319500000,,"Hibbert Street, Battersea",300051,true,false
false,BikePoints_674,,,"Carnegie Street, King's Cross",300035,true,false
false,BikePoints_675,1383322320000,,"Usk Road, Clapham Junction",200126,true,false
false,BikePoints_676,1383584400000,,"Hartington Road, Stockwell",200207,true,false
false,BikePoints_677,1383476160000,,"Heath Road, Battersea",200023,true,false
false,BikePoints_678,1383653580000,,"Esmond Street, Putney",200170,true,false
false,BikePoints_679,1383661200000,,"Orbel Street, Battersea",200114,true,false
false,BikePoints_680,1383657480000,,"Westbridge Road, Battersea",200210,true,false
false,BikePoints_681,1383733440000,,"Bishop's Avenue, Fulham",200043,true,false
false,BikePoints_682,1383738240000,,"Crisp Road, Hammersmith",200059,true,false
false,BikePoints_683,1383750420000,,"Dorothy Road, Clapham Junction",200119,true,false
false,BikePoints_684,1383823380000,,"Neville Gill Close, Wandsworth",200188,true,false
false,BikePoints_685,1383827400000,,"Osiers Road, Wandsworth",200219,true,false
false,BikePoints_686,1383835560000,,"Beryl Road, Hammersmith",200097,true,false
false,BikePoints_688,1383915240000,,"Northfields, Wandsworth",200204,true,false
false,BikePoints_689,1383918180000,,"Spanish Road, Clapham Junction",200106,true,false
false,BikePoints_690,1383924660000,,"Stanley Grove, Battersea",200199,true,false
false,BikePoints_691,1384763520000,,"Erin Close, Walham Green",200184,true,false
false,BikePoints_692,1384166220000,,"Cadogan Close, Victoria Park",200112,true,false
false,BikePoints_693,1384001160000,,"Felsham Road, Putney",300019,true,false
false,BikePoints_694,1384004640000,,"Putney Rail Station, Putney",300033,true,false
false,BikePoints_695,1384172820000,,"Islington Green, Angel",300031,true,false
false,BikePoints_696,1384180020000,,"Charing Cross Hospital, Hammersmith",300018,true,false
false,BikePoints_697,1384251120000,,"Charlotte Terrace, Angel",200129,true,false
false,BikePoints_1,1278947280000,,"River Street , Clerkenwell",001023,true,false
false,BikePoints_2,1278585780000,,"Phillimore Gardens, Kensington",001018,true,false
false,BikePoints_3,1278240360000,,"Christopher Street, Liverpool Street",001012,true,false
false,BikePoints_4,1278241080000,,"St. Chad's Street, King's Cross",001013,true,false
false,BikePoints_5,1278241440000,,"Sedding Street, Sloane Square",003420,true,false
false,BikePoints_6,1278241680000,,"Broadcasting House, Marylebone",003424,true,false
false,BikePoints_7,1278241800000,,"Charlbert Street, St. John's Wood",003422,true,false
false,BikePoints_8,1540984560000,,"Maida Vale, Maida Vale",003423,true,false
false,BikePoints_9,1278242340000,,"New Globe Walk, Bankside",001015,true,false
false,BikePoints_10,1278242460000,,"Park Street, Bankside",001024,true,false
false,BikePoints_11,1278340440000,,"Brunswick Square, Bloomsbury",001022,true,false
false,BikePoints_12,1278340620000,,"Malet Street, Bloomsbury",000980,true,false
false,BikePoints_13,1278340800000,,"Scala Street, Fitzrovia",000970,true,false
false,BikePoints_14,1278341040000,,"Belgrove Street , King's Cross",001011,true,false
false,BikePoints_15,1278341220000,,"Great Russell Street, Bloomsbury",000988,true,false
false,BikePoints_16,1278341400000,,"Cartwright Gardens , Bloomsbury",001010,true,false
false,BikePoints_17,1278423720000,,"Hatton Wall, Holborn",001008,true,false
false,BikePoints_18,1278426300000,,"Drury Lane, Covent Garden",001007,true,false
false,BikePoints_19,1278426720000,,"Taviton Street, Bloomsbury",001009,true,false
false,BikePoints_20,1544659200000,,"Drummond Street , Euston",000993,true,false
false,BikePoints_21,1278427740000,,"Lansdowne Drive, Hackney Central",003426,true,false
false,BikePoints_22,1278428880000,,"Northington Street , Holborn",003425,true,false
false,BikePoints_23,1278429300000,,"Red Lion Square, Holborn",003421,true,false
false,BikePoints_24,1278430140000,,"British Museum, Bloomsbury",000981,true,false
false,BikePoints_25,1278433200000,,"Doric Way , Somers Town",001004,true,false
false,BikePoints_26,1278434160000,,"Ampton Street , Clerkenwell",001019,true,false
false,BikePoints_27,1278500160000,,"Bouverie Street, Temple",001021,true,false
false,BikePoints_28,1278500460000,,"Bolsover Street, Fitzrovia",001025,true,false
false,BikePoints_29,1278501180000,,"Hereford Road, Bayswater",001016,true,false
false,BikePoints_30,1278501420000,,"Windsor Terrace, Hoxton",001029,true,false
false,BikePoints_31,1278501600000,,"Fanshaw Street, Hoxton",003427,true,false
false,BikePoints_32,1278506700000,,"Leonard Circus , Shoreditch",001020,true,false
false,BikePoints_33,1278506940000,,"Central House, Aldgate",003430,true,false
false,BikePoints_34,1278507060000,,"Pancras Road, King's Cross",003428,true,false
false,BikePoints_36,1278519900000,,"De Vere Gardens, Kensington",003446,true,false
false,BikePoints_37,1278520020000,,"Penywern Road, Earl's Court",003444,true,false
false,BikePoints_38,1278584880000,,"Abingdon Villas, Kensington",003442,true,false
false,BikePoints_39,1278601740000,,"Shoreditch High Street, Shoreditch",003445,true,false
false,BikePoints_40,1278601980000,,"Commercial Street, Shoreditch",001083,true,false
false,BikePoints_41,1278602280000,,"Pindar Street, Liverpool Street",001084,true,false
false,BikePoints_42,1278602700000,,"Wenlock Road , Hoxton",000979,true,false
false,BikePoints_43,1278687720000,,"Crawford Street, Marylebone",001036,true,false
false,BikePoints_44,1278687900000,,"Bruton Street, Mayfair",001034,true,false
false,BikePoints_45,1278691320000,,"Boston Place, Marylebone",001035,true,false
false,BikePoints_46,1278691800000,,"Nesham Street, Wapping",001031,true,false
false,BikePoints_47,1278749160000,,"Warwick Avenue Station, Maida Vale",001027,true,false
false,BikePoints_48,1278749460000,,"Godliman Street, St. Paul's",000971,true,false
false,BikePoints_49,1278749940000,,"Curzon Street, Mayfair",003437,true,false
false,BikePoints_50,1278750240000,,"East Road, Hoxton",001054,true,false
false,BikePoints_51,1278750540000,,"Finsbury Library , Finsbury",000986,true,false
false,BikePoints_52,1278750840000,,"Roscoe Street, St. Luke's",001026,true,false
false,BikePoints_53,1278752580000,,"Grafton Street, Mayfair",003431,true,false
false,BikePoints_54,1278766740000,,"Golden Lane, Barbican",000967,true,false
false,BikePoints_55,1278766980000,,"Finsbury Circus, Liverpool Street",000984,true,false
false,BikePoints_56,1278767220000,,"Paddington Street, Marylebone",001033,true,false
false,BikePoints_57,1278767460000,,"Guilford Street , Bloomsbury",000974,true,false
false,BikePoints_58,1278767700000,,"New Inn Yard, Shoreditch",001032,true,false
false,BikePoints_60,1278769140000,,"Lisson Grove, St. John's Wood",001030,true,false
false,BikePoints_61,1278773820000,,"Great Dover Street, The Borough",001017,true,false
false,BikePoints_62,1278773940000,,"Cotton Garden Estate, Kennington",000990,true,false
false,BikePoints_63,1278774120000,,"Murray Grove , Hoxton",000989,true,false
false,BikePoints_64,1278774300000,,"William IV Street, Strand",001028,true,false
false,BikePoints_66,1278845280000,,"Holborn Circus, Holborn",000982,true,false
false,BikePoints_67,1278847440000,,"Hatton Garden, Holborn",000985,true,false
false,BikePoints_68,1278857040000,,"Theobald's Road , Holborn",000975,true,false
false,BikePoints_69,1278861540000,,"Euston Road, Euston",000983,true,false
false,BikePoints_70,1278863340000,,"Calshot Street , King's Cross",001066,true,false
false,BikePoints_71,1278924900000,,"Newgate Street , St. Paul's",001074,true,false
false,BikePoints_72,1276948860000,,"Farringdon Lane, Clerkenwell",003432,true,false
false,BikePoints_73,1278941040000,,"Old Street Station, St. Luke's",001064,true,false
false,BikePoints_74,1278941160000,,"Vauxhall Cross, Vauxhall",001000,true,false
false,BikePoints_75,1278945180000,,"Torrens Street, Angel",001060,true,false
false,BikePoints_76,1278946560000,,"Longford Street, The Regent's Park",000976,true,false
false,BikePoints_77,1278946860000,,"Russell Square Station, Bloomsbury",000978,true,false
false,BikePoints_78,1278948480000,,"Sadlers Sports Centre, Finsbury",003433,true,false
false,BikePoints_79,1509018360000,,"Arundel Street, Temple",003455,true,false
false,BikePoints_80,1278952440000,,"Webber Street , Southwark",003448,true,false
false,BikePoints_81,1279012980000,,"Great Titchfield Street, Fitzrovia",003450,true,false
false,BikePoints_82,1279015680000,,"Chancery Lane, Holborn",003453,true,false
false,BikePoints_83,1279015800000,,"Panton Street, West End",003452,true,false
false,BikePoints_84,1279020240000,,"Breams Buildings, Holborn",003449,true,false
false,BikePoints_338,1280158740000,,"Wellington Street , Strand",001202,true,false
false,BikePoints_339,1280160600000,,"Risinghill Street, Angel",001127,true,false
false,BikePoints_340,1280248620000,,"Bank of England Museum, Bank",001201,true,false
false,BikePoints_341,1280222160000,,"Craven Street, Strand",001160,true,false
false,BikePoints_343,1280224260000,,"London Zoo Car Park, The Regent's Park",001188,true,false
false,BikePoints_344,1280226120000,,"Goswell Road (City Uni), Finsbury",001222,true,false
false,BikePoints_345,1280229720000,,"Flood Street, Chelsea",001218,true,false
false,BikePoints_347,1283762460000,,"Lower Marsh, Waterloo",001219,true,false
