place_id,common_name,install_date,installed,locked,removal_date,terminal_name,temporary
BikePoints_339,"Risinghill Street, Angel",1280160600000,true,false,,001127,false
BikePoints_340,"Bank of England Museum, Bank",1280248620000,true,false,,001201,false
BikePoints_341,"Craven Street, Strand",1280222160000,true,false,,001160,false
BikePoints_343,"London Zoo Car Park, The Regent's Park",1280224260000,true,false,,001188,false
BikePoints_344,"Goswell Road (City Uni), Finsbury",1280226120000,true,false,,001222,false
BikePoints_345,"Flood Street, Chelsea",1280229720000,true,false,,001218,false
BikePoints_347,"Lower Marsh, Waterloo",1283762460000,true,false,,001219,false
BikePoints_348,"Grosvenor Square, Mayfair",1284540540000,true,false,,010627,false
BikePoints_349,"St. George Street, Mayfair",1284543120000,true,false,,001221,false
BikePoints_350,"Queen's Gate, Kensington Gardens",1285756260000,true,false,,001231,false
BikePoints_351,"Macclesfield Rd, St Lukes",1286790480000,true,false,,001226,false
BikePoints_352,"Vauxhall Street, Vauxhall",1286796360000,true,false,,001224,false
BikePoints_353,"Greycoat Street , Westminster",1287652080000,true,false,,010623,false
BikePoints_354,"Northumberland Avenue, Strand",,true,false,,001097,false
BikePoints_355,"Clapham Common Station, Clapham Common",1287752460000,true,false,,002694,false
BikePoints_356,"South Kensington Station, South Kensington",1288009080000,true,false,,002685,false
BikePoints_357,"Howland Street, Fitzrovia",1288092420000,true,false,,002691,false
BikePoints_358,"High Holborn , Covent Garden",1290079860000,true,false,,001229,false
BikePoints_359,"Butler Place, Westminster",1288950960000,true,false,,002662,false
BikePoints_360,"Howick Place, Westminster",1288958160000,true,false,,002666,false
BikePoints_361,"Waterloo Station 2, Waterloo",1291902600000,true,false,,002692,false
BikePoints_362,"Royal College Street, Camden Town",1290080220000,true,false,,002686,false
BikePoints_363,"Lord's, St. John's Wood",1289911800000,true,false,,002665,false
BikePoints_364,"Store Street, Bloomsbury",1290080640000,true,false,,003507,false
BikePoints_365,"City Road, Angel",1290603600000,true,false,,002690,false
BikePoints_367,"Harrowby Street, Marylebone",,true,false,,002680,false
BikePoints_368,"Harriet Street, Knightsbridge",1291201680000,true,false,,002681,false
BikePoints_370,"Paddington Green, Paddington",1291647300000,true,false,,002670,false
BikePoints_371,"King Edward Walk, Waterloo",1291712820000,true,false,,002639,false
BikePoints_372,"Sardinia Street, Holborn",1291713000000,true,false,,002649,false
BikePoints_373,"Prince Consort Road, Knightsbridge",1295428320000,true,false,,003499,false
BikePoints_374,"Waterloo Station 1, Waterloo",1291725720000,true,false,,002696,false
BikePoints_375,"Kensington Town Hall, Kensington",1291805820000,true,false,,010632,false
BikePoints_376,"Millbank Tower, Pimlico",1294660980000,true,false,,002683,false
BikePoints_377,"Waterloo Bridge, South Bank",1295265420000,true,false,,002648,false
BikePoints_378,"Natural History Museum, South Kensington",1296121500000,true,false,,002677,false
BikePoints_379,"Turquoise Island, Notting Hill",1296121680000,true,false,,002682,false
BikePoints_380,"Stanhope Gate, Mayfair",1296125400000,true,false,,003506,false
BikePoints_381,"Charlotte Street, Fitzrovia",1296203760000,true,false,,002669,false
BikePoints_382,"Farm Street, Mayfair",1297159320000,true,false,,002678,false
BikePoints_383,"Frith Street, Soho",1296649200000,true,false,,002660,false
BikePoints_384,"Marloes Road, Kensington",1296731880000,true,false,,003505,false
BikePoints_386,"Moor Street, Soho",1296732540000,true,false,,003504,false
BikePoints_387,"Fire Brigade Pier, Vauxhall",1297077540000,true,false,,002703,false
BikePoints_388,"Southampton Street, Strand",1297182180000,true,false,,001228,false
BikePoints_389,"Upper Grosvenor Street, Mayfair",1297347960000,true,false,,010621,false
BikePoints_390,"Buxton Street 1, Shoreditch",1297764360000,true,false,,001223,false
BikePoints_391,"Clifford Street, Mayfair",1297956480000,true,false,1539846000000,002688,false
BikePoints_392,"Imperial College, Knightsbridge",1297958700000,true,false,,001220,false
BikePoints_393,"Snow Hill, Farringdon",1298545440000,true,false,,002699,false
BikePoints_394,"Aberdeen Place, St. John's Wood",,true,false,,002698,false
BikePoints_395,"Cadogan Gardens, Chelsea",1298908800000,true,false,,002695,false
BikePoints_396,"Shouldham Street, Marylebone",1299075120000,true,false,,002693,false
BikePoints_397,"Devonshire Terrace, Bayswater",1299075900000,true,false,,001227,false
BikePoints_398,"Holland Park, Kensington",1299076440000,true,false,,010631,false
BikePoints_399,"Brick Lane Market, Shoreditch",1299582900000,true,false,,002687,false
BikePoints_400,"George Street, Marylebone",1299583260000,true,false,,001225,false
BikePoints_401,"Columbia Road, Shoreditch",1299592500000,true,false,,002701,false
BikePoints_402,"Penfold Street, Marylebone",1299592860000,true,false,,010625,false
BikePoints_403,"George Place Mews, Marylebone",1299593640000,true,false,,010630,false
BikePoints_404,"Palace Gate, Kensington Gardens",1299669180000,true,false,,001110,false
BikePoints_405,"Gloucester Road Station, South Kensington",1299669300000,true,false,,001107,false
BikePoints_408,"Sun Street, Liverpool Street",,true,false,,001129,false
BikePoints_409,"Strata, Elephant & Castle",,true,false,,010624,false
BikePoints_410,"Edgware Road Station, Marylebone",,true,false,,001058,false
BikePoints_411,"Rotherhithe Roundabout, Rotherhithe",,true,false,,010629,false
BikePoints_412,"Cleaver Street, Kennington",1302006180000,true,false,,010628,false
BikePoints_419,"Chelsea Bridge, Pimlico",1308735300000,true,false,,022160,false
BikePoints_420,"Southwark Station 1, Southwark",1309258380000,true,false,,022162,false
BikePoints_421,"Southwark Station 2, Southwark",1309258440000,true,false,,022163,false
BikePoints_423,"Eaton Square (South), Belgravia",1309860240000,true,false,,022164,false
