install_date,place_id,installed,common_name,locked,temporary,terminal_name,removal_date
1280152800000,BikePoints_336,true,"Concert Hall Approach 2, South Bank",false,false,001212,
1280153100000,BikePoints_337,true,"Pembridge Villas, Notting Hill",false,false,002589,
1280158740000,BikePoints_338,true,"Wellington Street , Strand",false,false,001202,
1280160600000,BikePoints_339,true,"Risinghill Street, Angel",false,false,001127,
1280248620000,BikePoints_340,true,"Bank of England Museum, Bank",false,false,001201,
1280222160000,BikePoints_341,true,"Craven Street, Strand",false,false,001160,
1280224260000,BikePoints_343,true,"London Zoo Car Park, The Regent's Park",false,false,001188,
1280226120000,BikePoints_344,true,"Goswell Road (City Uni), Finsbury",false,false,001222,
1280229720000,BikePoints_345,true,"Flood Street, Chelsea",false,false,001218,
1283762460000,BikePoints_347,true,"Lower Marsh, Waterloo",false,false,001219,
1284540540000,BikePoints_348,true,"Grosvenor Square, Mayfair",false,false,010627,
1284543120000,BikePoints_349,true,"St. George Street, Mayfair",false,false,001221,
1285756260000,BikePoints_350,true,"Queen's Gate, Kensington Gardens",false,false,001231,
1286790480000,BikePoints_351,true,"Macclesfield Rd, St Lukes",false,false,001226,
1286796360000,BikePoints_352,true,"Vauxhall Street, Vauxhall",false,false,001224,
1287652080000,BikePoints_353,true,"Greycoat Street , Westminster",false,false,010623,
,BikePoints_354,true,"Northumberland Avenue, Strand",false,false,001097,
1287752460000,BikePoints_355,true,"Clapham Common Station, Clapham Common",false,false,002694,
1288009080000,BikePoints_356,true,"South Kensington Station, South Kensington",false,false,002685,
1288092420000,BikePoints_357,true,"Howland Street, Fitzrovia",false,false,002691,
1290079860000,BikePoints_358,true,"High Holborn , Covent Garden",false,false,001229,
1288950960000,BikePoints_359,true,"Butler Place, Westminster",false,false,002662,
1288958160000,BikePoints_360,true,"Howick Place, Westminster",false,false,002666,
1291902600000,BikePoints_361,true,"Waterloo Station 2, Waterloo",false,false,002692,
1290080220000,BikePoints_362,true,"Royal College Street, Camden Town",false,false,002686,
1289911800000,BikePoints_363,true,"Lord's, St. John's Wood",false,false,002665,
1290080640000,BikePoints_364,true,"Store Street, Bloomsbury",false,false,003507,
1290603600000,BikePoints_365,true,"City Road, Angel",false,false,002690,
,BikePoints_367,true,"Harrowby Street, Marylebone",false,false,002680,
1291201680000,BikePoints_368,true,"Harriet Street, Knightsbridge",false,false,002681,
1291647300000,BikePoints_370,true,"Paddington Green, Paddington",false,false,002670,
1291712820000,BikePoints_371,true,"King Edward Walk, Waterloo",false,false,002639,
1291713000000,BikePoints_372,true,"Sardinia Street, Holborn",false,false,002649,
1295428320000,BikePoints_373,true,"Prince Consort Road, Knightsbridge",false,false,003499,
1291725720000,BikePoints_374,true,"Waterloo Station 1, Waterloo",false,false,002696,
1291805820000,BikePoints_375,true,"Kensington Town Hall, Kensington",false,false,010632,
1294660980000,BikePoints_376,true,"Millbank Tower, Pimlico",false,false,002683,
1295265420000,BikePoints_377,true,"Waterloo Bridge, South Bank",false,false,002648,
1296121500000,BikePoints_378,true,"Natural History Museum, South Kensington",false,false,002677,
1296121680000,BikePoints_379,true,"Turquoise Island, Notting Hill",false,false,002682,
1296125400000,BikePoints_380,true,"Stanhope Gate, Mayfair",false,false,003506,
1296203760000,BikePoints_381,true,"Charlotte Street, Fitzrovia",false,false,002669,
1297159320000,BikePoints_382,true,"Farm Street, Mayfair",false,false,002678,
1296649200000,BikePoints_383,true,"Frith Street, Soho",false,false,002660,
1296731880000,BikePoints_384,true,"Marloes Road, Kensington",false,false,003505,
1296732540000,BikePoints_386,true,"Moor Street, Soho",false,false,003504,
1297077540000,BikePoints_387,true,"Fire Brigade Pier, Vauxhall",false,false,002703,
1297182180000,BikePoints_388,true,"Southampton Street, Strand",false,false,001228,
1297347960000,BikePoints_389,true,"Upper Grosvenor Street, Mayfair",false,false,010621,
1297764360000,BikePoints_390,true,"Buxton Street 1, Shoreditch",false,false,001223,
1297956480000,BikePoints_391,true,"Clifford Street, Mayfair",false,false,002688,1539846000000
1297958700000,BikePoints_392,true,"Imperial College, Knightsbridge",false,false,001220,
