removal_date,temporary,install_date,locked,place_id,common_name,installed,terminal_name
,false,1323355020000,false,BikePoints_431,"Crinan Street, King's Cross",true,022183
,false,1319448720000,false,BikePoints_432,"Exhibition Road Museums 1, South Kensington",true,022158
,false,1323361560000,false,BikePoints_433,"Wren Street, Holborn",true,022169
,false,1323346020000,false,BikePoints_435,"Kennington Station, Kennington",true,022170
,false,1323350220000,false,BikePoints_436,"Red Lion Street, Holborn",true,022171
,false,1325746380000,false,BikePoints_437,"Vauxhall Walk, Vauxhall",true,200056
,false,1325705460000,false,BikePoints_439,"Killick Street, King's Cross",true,200053
,false,1325708160000,false,BikePoints_440,"Kennington Oval, Oval",true,200032
,false,1325711220000,false,BikePoints_441,"Sail Street, Vauxhall",true,200039
,false,1325940420000,false,BikePoints_442,"Walmer Road, Avondale",true,200035
,false,1325941800000,false,BikePoints_443,"Philpot Street, Whitechapel",true,200033
,false,1325944680000,false,BikePoints_444,"Bethnal Green Garden, Bethnal Green",true,200047
,false,1325945820000,false,BikePoints_445,"Cheshire Street, Bethnal Green",true,200003
,false,1325948880000,false,BikePoints_446,"York Hall, Bethnal Green",true,200042
,false,1325949000000,false,BikePoints_447,"Jubilee Crescent, Cubitt Town",true,200054
,false,1325952660000,false,BikePoints_448,"Fisherman's Walk West, Canary Wharf",true,022165
,false,1325952900000,false,BikePoints_449,"Shadwell Station, Shadwell",true,200020
,false,1326105240000,false,BikePoints_450,"Jubilee Street, Stepney",true,200002
,false,1325501400000,false,BikePoints_451,"Hermitage Court, Wapping",true,200021
,false,1326109140000,false,BikePoints_452,"St. Katharine's Way, Tower",true,200049
,false,1326111060000,false,BikePoints_453,"Garnet Street, Shadwell",true,200045
,false,1326115380000,false,BikePoints_454,"Napier Avenue, Millwall",true,200046
,false,1326117780000,false,BikePoints_455,"East Ferry Road, Cubitt Town",true,200031
,false,1326197580000,false,BikePoints_456,"Parkway, Camden Town",true,200118
,false,1326203280000,false,BikePoints_457,"Castlehaven Road, Camden Town",true,200016
,false,1326294780000,false,BikePoints_458,"Wapping Lane, Wapping",true,200034
,false,,false,BikePoints_459,"Gunmakers Lane, Old Ford",true,200014
,false,1326284820000,false,BikePoints_460,"Burdett Road, Mile End",true,200123
,true,1326293640000,false,BikePoints_461,"Aston Street, Stepney",true,200013
,false,1326294600000,false,BikePoints_462,"Bonny Street, Camden Town",true,200105
,false,,false,BikePoints_463,"Thurtle Road, Haggerston",true,200093
,false,1326304980000,false,BikePoints_464,"St. Mary & St. Michael Church, Stepney",true,200082
,false,1333613280000,false,BikePoints_465,"Pitfield Street North,Hoxton",true,200152
,false,1326360000000,false,BikePoints_466,"Whiston Road, Haggerston",true,200158
,false,1326374040000,false,BikePoints_467,"Southern Grove, Bow",true,200168
,false,1326375720000,false,BikePoints_468,"Cantrell Road, Bow",true,200150
,false,1326381060000,false,BikePoints_469,"Lindfield Street, Poplar",true,022178
,false,1326790620000,false,BikePoints_470,"Mostyn Grove, Bow",true,200174
,false,1326790860000,false,BikePoints_471,"Hewison Street, Old Ford",true,200006
,false,1326791160000,false,BikePoints_472,"Malmesbury Road, Bow",true,200019
,false,1326816540000,false,BikePoints_473,"Millharbour, Millwall",true,022167
,false,1326822960000,false,BikePoints_474,"Gascoyne Road, Victoria Park",true,200155
,false,1326825480000,false,BikePoints_475,"Lightermans Road, Millwall",true,200004
,false,1326962100000,false,BikePoints_476,"Stebondale Street, Cubitt Town",true,200009
,false,1326963780000,false,BikePoints_477,"Spindrift Avenue, Millwall",true,200018
,false,1326965580000,false,BikePoints_478,"Stepney Green Station, Stepney",true,200012
,false,1326966240000,false,BikePoints_479,"Pott Street, Bethnal Green",true,200156
,false,1326975420000,false,BikePoints_480,"Flamborough Street, Limehouse",true,200115
,false,1326996480000,false,BikePoints_481,"Saunders Ness Road, Cubitt Town",true,200022
,false,1326996720000,false,BikePoints_482,"Exhibition Road Museums 2, South Kensington",true,200052
,false,1327088280000,false,BikePoints_483,"Albert Gardens, Stepney",true,022166
,false,1327339740000,false,BikePoints_484,"Bromley High Street, Bow",true,022172
,false,1327255440000,false,BikePoints_485,"Old Ford Road, Bethnal Green",true,022173
,false,1327338660000,false,BikePoints_486,"Granby Street, Shoreditch",true,022174
,false,1327936860000,false,BikePoints_487,"Canton Street, Poplar",true,022175
,false,1327254960000,false,BikePoints_488,"Reardon Street, Wapping",true,022176
,false,,false,BikePoints_490,"Pennington Street, Wapping",true,200090
,false,1327256220000,false,BikePoints_491,"Queen Mary's, Mile End",true,200249
,false,1327256520000,false,BikePoints_492,"Maplin Street, Mile End",true,200230
,false,1327433220000,false,BikePoints_494,"South Quay East, Canary Wharf",true,200233
,false,1327340460000,false,BikePoints_495,"Bow Church Station, Bow",true,200252
,false,1327400820000,false,BikePoints_496,"Devons Road, Bow",true,200255
,false,1327398420000,false,BikePoints_497,"Merchant Street, Bow",true,200242
,false,1327398660000,false,BikePoints_498,"Bow Road Station, Bow",true,200251
,false,1327407960000,false,BikePoints_499,"Furze Green, Bow",true,200011
,false,1327430040000,false,BikePoints_500,"Ansell House, Stepney",true,200148
,false,1327430220000,false,BikePoints_501,"Cephas Street, Bethnal Green",true,200073
,false,1563957840000,false,BikePoints_502,"Bonner Gate, Victoria Park",true,200241
,false,1327492920000,false,BikePoints_503,"Cleveland Way, Stepney",true,200250
,false,1327937820000,false,BikePoints_504,"St. John's Park, Cubitt Town",true,200243
,false,1327937460000,false,BikePoints_505,"Ackroyd Drive, Bow",true,200038
,false,1327938660000,false,BikePoints_506,"Bell Lane, Liverpool Street",true,200036
,false,1327938420000,false,BikePoints_507,"Clarkson Street, Bethnal Green",true,200131
,false,1327938180000,false,BikePoints_508,"Fournier Street, Whitechapel",true,200157
,false,1327938120000,false,BikePoints_509,"Fore Street, Guildhall",true,200253
,false,,false,BikePoints_510,"Westferry DLR, Limehouse",true,200238
,false,1327937940000,false,BikePoints_511,"Sutton Street, Shadwell",true,200256
,false,1328112600000,false,BikePoints_512,"Pritchard's Road, Bethnal Green",true,200083
,false,,false,BikePoints_513,"Watney Market, Stepney",true,200162
,false,1328201520000,false,BikePoints_514,"Portman Square, Marylebone",true,200008
,false,,false,BikePoints_515,"Russell Gardens, Olympia",true,200080
,false,1328202420000,false,BikePoints_516,"Chrisp Street Market, Poplar",true,200089
,false,1326790860000,false,BikePoints_517,"Ford Road, Old Ford",true,200027
,false,1435313700000,false,BikePoints_779,"Houndsditch, Aldgate",true,200072
,false,1439455200000,false,BikePoints_780,"Imperial Wharf Station, Sands End",true,300070
,false,1446485340000,false,BikePoints_781,"Victoria & Albert Museum, South Kensington",true,300032
,false,1446485820000,false,BikePoints_782,"Halford Road, West Kensington",true,300210
,false,1448529660000,false,BikePoints_783,"Monier Road, Hackney Wick",true,300213
,false,1452789240000,false,BikePoints_784,"East Village, Queen Elizabeth Olympic Park",true,300200
,false,1451908440000,false,BikePoints_785,"Aquatic Centre, Queen Elizabeth Olympic Park",true,300233
,false,1451900700000,false,BikePoints_787,"Timber Lodge, Queen Elizabeth Olympic Park",true,300227
,false,1451906880000,false,BikePoints_788,"Copper Box Arena, Queen Elizabeth Olympic Park",true,300226
,false,1452507000000,false,BikePoints_789,"Podium, Queen Elizabeth Olympic Park",true,300021
,false,1452687420000,false,BikePoints_790,"Stratford Station, Stratford",true,300234
,false,1454926380000,false,BikePoints_792,"Blackfriars Road, Southwark",true,300214
,false,1459424760000,false,BikePoints_793,"Cromer Street, Bloomsbury",true,300205
,false,1456404240000,false,BikePoints_794,"Victoria Rise, Clapham Common",true,300204
,false,1456744740000,false,BikePoints_795,"Euston Square Gardens, Euston",true,300203
,false,1456746420000,false,BikePoints_796,"Coram Street, Bloomsbury",true,300201
,false,1456839540000,false,BikePoints_797,"Ossulston Street, Somers Town",true,300211
,false,1464787980000,false,BikePoints_798,"Birkenhead Street, King's Cross",true,300212
,false,1464876480000,false,BikePoints_799,"Kings Gate House, Westminster",true,300202
,false,1457107140000,false,BikePoints_800,"Sopwith Way, Battersea Park",true,300248
,false,1458824640000,false,BikePoints_801,"Lavington Street, Bankside",true,300208
,false,1464865500000,false,BikePoints_802,"Albert Square, Stockwell",true,300209
,false,1464787860000,false,BikePoints_803,"Southwark Street, Bankside",true,300238
,false,1459410960000,false,BikePoints_804,"Good's Way, King's Cross",true,300243
,false,1467626400000,false,BikePoints_805,"The Metropolitan, Portobello",true,300244
,false,1472723460000,false,BikePoints_806,"Handyside Street, King's Cross",true,300241
,false,1466715600000,false,BikePoints_807,"Bevington Road West, North Kensington",true,300236
,false,1461753540000,false,BikePoints_808,"Gauden Road, Clapham",true,300207
,false,1467640800000,false,BikePoints_809,"Lincoln's Inn Fields, Holborn",true,300240
,false,1464943200000,false,BikePoints_810,"Tate Modern, Bankside",true,300237
,false,1469538960000,false,BikePoints_811,"Westferry Circus, Canary Wharf",true,300228
,false,1469005200000,false,BikePoints_812,"Here East North, Queen Elizabeth Olympic Park",true,300217
,false,1467627120000,false,BikePoints_813,"New Spring Gardens Walk, Vauxhall",true,300224
