place_id,removal_date,locked,common_name,terminal_name,install_date,temporary,installed
BikePoints_336,,false,"Concert Hall Approach 2, South Bank",001212,1280152800000,false,true
BikePoints_337,,false,"Pembridge Villas, Notting Hill",002589,1280153100000,false,true
BikePoints_338,,false,"Wellington Street , Strand",001202,1280158740000,false,true
BikePoints_339,,false,"Risinghill Street, Angel",001127,1280160600000,false,true
BikePoints_340,,false,"Bank of England Museum, Bank",001201,1280248620000,false,true
BikePoints_341,,false,"Craven Street, Strand",001160,1280222160000,false,true
BikePoints_343,,false,"London Zoo Car Park, The Regent's Park",001188,1280224260000,false,true
BikePoints_344,,false,"Goswell Road (City Uni), Finsbury",001222,1280226120000,false,true
BikePoints_345,,false,"Flood Street, Chelsea",001218,1280229720000,false,true
BikePoints_347,,false,"Lower Marsh, Waterloo",001219,1283762460000,false,true
BikePoints_348,,false,"Grosvenor Square, Mayfair",010627,1284540540000,false,true
BikePoints_349,,false,"St. George Street, Mayfair",001221,1284543120000,false,true
BikePoints_350,,false,"Queen's Gate, Kensington Gardens",001231,1285756260000,false,true
BikePoints_351,,false,"Macclesfield Rd, St Lukes",001226,1286790480000,false,true
BikePoints_352,,false,"Vauxhall Street, Vauxhall",001224,1286796360000,false,true
BikePoints_353,,false,"Greycoat Street , Westminster",010623,1287652080000,false,true
BikePoints_354,,false,"Northumberland Avenue, Strand",001097,,false,true
BikePoints_355,,false,"Clapham Common Station, Clapham Common",002694,1287752460000,false,true
BikePoints_356,,false,"South Kensington Station, South Kensington",002685,1288009080000,false,true
BikePoints_357,,false,"Howland Street, Fitzrovia",002691,1288092420000,false,true
BikePoints_358,,false,"High Holborn , Covent Garden",001229,1290079860000,false,true
BikePoints_359,,false,"Butler Place, Westminster",002662,1288950960000,false,true
BikePoints_360,,false,"Howick Place, Westminster",002666,1288958160000,false,true
BikePoints_361,,false,"Waterloo Station 2, Waterloo",002692,1291902600000,false,true
BikePoints_362,,false,"Royal College Street, Camden Town",002686,1290080220000,false,true
BikePoints_363,,false,"Lord's, St. John's Wood",002665,1289911800000,false,true
BikePoints_364,,false,"Store Street, Bloomsbury",003507,1290080640000,false,true
BikePoints_365,,false,"City Road, Angel",002690,1290603600000,false,true
BikePoints_367,,false,"Harrowby Street, Marylebone",002680,,false,true
BikePoints_368,,false,"Harriet Street, Knightsbridge",002681,1291201680000,false,true
BikePoints_370,,false,"Paddington Green, Paddington",002670,1291647300000,false,true
BikePoints_371,,false,"King Edward Walk, Waterloo",002639,1291712820000,false,true
BikePoints_372,,false,"Sardinia Street, Holborn",002649,1291713000000,false,true
BikePoints_373,,false,"Prince Consort Road, Knightsbridge",003499,1295428320000,false,true
BikePoints_374,,false,"Waterloo Station 1, Waterloo",002696,1291725720000,false,true
BikePoints_375,,false,"Kensington Town Hall, Kensington",010632,1291805820000,false,true
BikePoints_376,,false,"Millbank Tower, Pimlico",002683,1294660980000,false,true
BikePoints_377,,false,"Waterloo Bridge, South Bank",002648,1295265420000,false,true
BikePoints_378,,false,"Natural History Museum, South Kensington",002677,1296121500000,false,true
BikePoints_379,,false,"Turquoise Island, Notting Hill",002682,1296121680000,false,true
BikePoints_380,,false,"Stanhope Gate, Mayfair",003506,1296125400000,false,true
BikePoints_381,,false,"Charlotte Street, Fitzrovia",002669,1296203760000,false,true
BikePoints_382,,false,"Farm Street, Mayfair",002678,1297159320000,false,true
BikePoints_383,,false,"Frith Street, Soho",002660,1296649200000,false,true
BikePoints_384,,false,"Marloes Road, Kensington",003505,1296731880000,false,true
BikePoints_386,,false,"Moor Street, Soho",003504,1296732540000,false,true
BikePoints_387,,false,"Fire Brigade Pier, Vauxhall",002703,1297077540000,false,true
BikePoints_388,,false,"Southampton Street, Strand",001228,1297182180000,false,true
BikePoints_389,,false,"Upper Grosvenor Street, Mayfair",010621,1297347960000,false,true
BikePoints_390,,false,"Buxton Street 1, Shoreditch",001223,1297764360000,false,true
BikePoints_391,1539846000000,false,"Clifford Street, Mayfair",002688,1297956480000,false,true
BikePoints_392,,false,"Imperial College, Knightsbridge",001220,1297958700000,false,true
BikePoints_393,,false,"Snow Hill, Farringdon",002699,1298545440000,false,true
BikePoints_394,,false,"Aberdeen Place, St. John's Wood",002698,,false,true
BikePoints_395,,false,"Cadogan Gardens, Chelsea",002695,1298908800000,false,true
BikePoints_396,,false,"Shouldham Street, Marylebone",002693,1299075120000,false,true
BikePoints_397,,false,"Devonshire Terrace, Bayswater",001227,1299075900000,false,true
BikePoints_398,,false,"Holland Park, Kensington",010631,1299076440000,false,true
BikePoints_399,,false,"Brick Lane Market, Shoreditch",002687,1299582900000,false,true
BikePoints_400,,false,"George Street, Marylebone",001225,1299583260000,false,true
BikePoints_401,,false,"Columbia Road, Shoreditch",002701,1299592500000,false,true
BikePoints_402,,false,"Penfold Street, Marylebone",010625,1299592860000,false,true
BikePoints_403,,false,"George Place Mews, Marylebone",010630,1299593640000,false,true
BikePoints_404,,false,"Palace Gate, Kensington Gardens",001110,1299669180000,false,true
BikePoints_405,,false,"Gloucester Road Station, South Kensington",001107,1299669300000,false,true
BikePoints_408,,false,"Sun Street, Liverpool Street",001129,,false,true
BikePoints_409,,false,"Strata, Elephant & Castle",010624,,false,true
BikePoints_410,,false,"Edgware Road Station, Marylebone",001058,,false,true
BikePoints_411,,false,"Rotherhithe Roundabout, Rotherhithe",010629,,false,true
BikePoints_412,,false,"Cleaver Street, Kennington",010628,1302006180000,false,true
BikePoints_419,,false,"Chelsea Bridge, Pimlico",022160,1308735300000,false,true
BikePoints_420,,false,"Southwark Station 1, Southwark",022162,1309258380000,false,true
BikePoints_421,,false,"Southwark Station 2, Southwark",022163,1309258440000,false,true
BikePoints_423,,false,"Eaton Square (South), Belgravia",022164,1309860240000,false,true
BikePoints_424,,false,"Ebury Bridge, Pimlico",022159,1324551120000,false,true
BikePoints_426,,false,"Vincent Street, Pimlico",022161,1310463720000,false,true
BikePoints_427,,false,"Cheapside, Bank",022180,1310725680000,false,true
