terminal_name,place_id,install_date,removal_date,installed,temporary,common_name,locked
022170,BikePoints_435,1323346020000,,true,false,"Kennington Station, Kennington",false
022171,BikePoints_436,1323350220000,,true,false,"Red Lion Street, Holborn",false
200056,BikePoints_437,1325746380000,,true,false,"Vauxhall Walk, Vauxhall",false
200053,BikePoints_439,1325705460000,,true,false,"Killick Street, King's Cross",false
200032,BikePoints_440,1325708160000,,true,false,"Kennington Oval, Oval",false
200039,BikePoints_441,1325711220000,,true,false,"Sail Street, Vauxhall",false
200035,BikePoints_442,1325940420000,,true,false,"Walmer Road, Avondale",false
200033,BikePoints_443,1325941800000,,true,false,"Philpot Street, Whitechapel",false
200047,BikePoints_444,1325944680000,,true,false,"Bethnal Green Garden, Bethnal Green",false
200003,BikePoints_445,1325945820000,,true,false,"Cheshire Street, Bethnal Green",false
200042,BikePoints_446,1325948880000,,true,false,"York Hall, Bethnal Green",false
200054,BikePoints_447,1325949000000,,true,false,"Jubilee Crescent, Cubitt Town",false
022165,BikePoints_448,1325952660000,,true,false,"Fisherman's Walk West, Canary Wharf",false
200020,BikePoints_449,1325952900000,,true,false,"Shadwell Station, Shadwell",false
200002,BikePoints_450,1326105240000,,true,false,"Jubilee Street, Stepney",false
200021,BikePoints_451,1325501400000,,true,false,"Hermitage Court, Wapping",false
200049,BikePoints_452,1326109140000,,true,false,"St. Katharine's Way, Tower",false
200045,BikePoints_453,1326111060000,,true,false,"Garnet Street, Shadwell",false
200046,BikePoints_454,1326115380000,,true,false,"Napier Avenue, Millwall",false
200031,BikePoints_455,1326117780000,,true,false,"East Ferry Road, Cubitt Town",false
200118,BikePoints_456,1326197580000,,true,false,"Parkway, Camden Town",false
200016,BikePoints_457,1326203280000,,true,false,"Castlehaven Road, Camden Town",false
200034,BikePoints_458,1326294780000,,true,false,"Wapping Lane, Wapping",false
200014,BikePoints_459,,,true,false,"Gunmakers Lane, Old Ford",false
200123,BikePoints_460,1326284820000,,true,false,"Burdett Road, Mile End",false
200013,BikePoints_461,1326293640000,,true,true,"Aston Street, Stepney",false
200105,BikePoints_462,1326294600000,,true,false,"Bonny Street, Camden Town",false
200093,BikePoints_463,,,true,false,"Thurtle Road, Haggerston",false
200082,BikePoints_464,1326304980000,,true,false,"St. Mary & St. Michael Church, Stepney",false
200152,BikePoints_465,1333613280000,,true,false,"Pitfield Street North,Hoxton",false
200158,BikePoints_466,1326360000000,,true,false,"Whiston Road, Haggerston",false
200168,BikePoints_467,1326374040000,,true,false,"Southern Grove, Bow",false
200150,BikePoints_468,1326375720000,,true,false,"Cantrell Road, Bow",false
022178,BikePoints_469,1326381060000,,true,false,"Lindfield Street, Poplar",false
200174,BikePoints_470,1326790620000,,true,false,"Mostyn Grove, Bow",false
200006,BikePoints_471,1326790860000,,true,false,"Hewison Street, Old Ford",false
200019,BikePoints_472,1326791160000,,true,false,"Malmesbury Road, Bow",false
022167,BikePoints_473,1326816540000,,true,false,"Millharbour, Millwall",false
200155,BikePoints_474,1326822960000,,true,false,"Gascoyne Road, Victoria Park",false
200004,BikePoints_475,1326825480000,,true,false,"Lightermans Road, Millwall",false
200009,BikePoints_476,1326962100000,,true,false,"Stebondale Street, Cubitt Town",false
200018,BikePoints_477,1326963780000,,true,false,"Spindrift Avenue, Millwall",false
200012,BikePoints_478,1326965580000,,true,false,"Stepney Green Station, Stepney",false
200156,BikePoints_479,1326966240000,,true,false,"Pott Street, Bethnal Green",false
200115,BikePoints_480,1326975420000,,true,false,"Flamborough Street, Limehouse",false
200022,BikePoints_481,1326996480000,,true,false,"Saunders Ness Road, Cubitt Town",false
200052,BikePoints_482,1326996720000,,true,false,"Exhibition Road Museums 2, South Kensington",false
022166,BikePoints_483,1327088280000,,true,false,"Albert Gardens, Stepney",false
022172,BikePoints_484,1327339740000,,true,false,"Bromley High Street, Bow",false
022173,BikePoints_485,1327255440000,,true,false,"Old Ford Road, Bethnal Green",false
022174,BikePoints_486,1327338660000,,true,false,"Granby Street, Shoreditch",false
