place_id,terminal_name,locked,temporary,removal_date,common_name,installed,install_date
BikePoints_338,001202,false,false,,"Wellington Street , Strand",true,1280158740000
BikePoints_339,001127,false,false,,"Risinghill Street, Angel",true,1280160600000
BikePoints_340,001201,false,false,,"Bank of England Museum, Bank",true,1280248620000
BikePoints_341,001160,false,false,,"Craven Street, Strand",true,1280222160000
BikePoints_343,001188,false,false,,"London Zoo Car Park, The Regent's Park",true,1280224260000
BikePoints_344,001222,false,false,,"Goswell Road (City Uni), Finsbury",true,1280226120000
BikePoints_345,001218,false,false,,"Flood Street, Chelsea",true,1280229720000
BikePoints_347,001219,false,false,,"Lower Marsh, Waterloo",true,1283762460000
BikePoints_348,010627,false,false,,"Grosvenor Square, Mayfair",true,1284540540000
BikePoints_349,001221,false,false,,"St. George Street, Mayfair",true,1284543120000
BikePoints_350,001231,false,false,,"Queen's Gate, Kensington Gardens",true,1285756260000
BikePoints_351,001226,false,false,,"Macclesfield Rd, St Lukes",true,1286790480000
BikePoints_352,001224,false,false,,"Vauxhall Street, Vauxhall",true,1286796360000
BikePoints_353,010623,false,false,,"Greycoat Street , Westminster",true,1287652080000
BikePoints_354,001097,false,false,,"Northumberland Avenue, Strand",true,
BikePoints_355,002694,false,false,,"Clapham Common Station, Clapham Common",true,1287752460000
BikePoints_356,002685,false,false,,"South Kensington Station, South Kensington",true,1288009080000
BikePoints_357,002691,false,false,,"Howland Street, Fitzrovia",true,1288092420000
BikePoints_358,001229,false,false,,"High Holborn , Covent Garden",true,1290079860000
BikePoints_359,002662,false,false,,"Butler Place, Westminster",true,1288950960000
BikePoints_360,002666,false,false,,"Howick Place, Westminster",true,1288958160000
BikePoints_361,002692,false,false,,"Waterloo Station 2, Waterloo",true,1291902600000
BikePoints_362,002686,false,false,,"Royal College Street, Camden Town",true,1290080220000
BikePoints_363,002665,false,false,,"Lord's, St. John's Wood",true,1289911800000
BikePoints_364,003507,false,false,,"Store Street, Bloomsbury",true,1290080640000
BikePoints_365,002690,false,false,,"City Road, Angel",true,1290603600000
BikePoints_366,001230,false,false,,"Millennium Hotel, Mayfair",true,1290686880000
BikePoints_367,002680,false,false,,"Harrowby Street, Marylebone",true,
BikePoints_368,002681,false,false,,"Harriet Street, Knightsbridge",true,1291201680000
BikePoints_370,002670,false,false,,"Paddington Green, Paddington",true,1291647300000
BikePoints_371,002639,false,false,,"King Edward Walk, Waterloo",true,1291712820000
BikePoints_372,002649,false,false,,"Sardinia Street, Holborn",true,1291713000000
BikePoints_373,003499,false,false,,"Prince Consort Road, Knightsbridge",true,1295428320000
BikePoints_374,002696,false,false,,"Waterloo Station 1, Waterloo",true,1291725720000
BikePoints_375,010632,false,false,,"Kensington Town Hall, Kensington",true,1291805820000
BikePoints_376,002683,false,false,,"Millbank Tower, Pimlico",true,1294660980000
BikePoints_377,002648,false,false,,"Waterloo Bridge, South Bank",true,1295265420000
BikePoints_378,002677,false,false,,"Natural History Museum, South Kensington",true,1296121500000
BikePoints_379,002682,false,false,,"Turquoise Island, Notting Hill",true,1296121680000
BikePoints_380,003506,false,false,,"Stanhope Gate, Mayfair",true,1296125400000
BikePoints_381,002669,false,false,,"Charlotte Street, Fitzrovia",true,1296203760000
BikePoints_382,002678,false,false,,"Farm Street, Mayfair",true,1297159320000
BikePoints_383,002660,false,false,,"Frith Street, Soho",true,1296649200000
BikePoints_384,003505,false,false,,"Marloes Road, Kensington",true,1296731880000
BikePoints_386,003504,false,false,,"Moor Street, Soho",true,1296732540000
BikePoints_387,002703,false,false,,"Fire Brigade Pier, Vauxhall",true,1297077540000
BikePoints_388,001228,false,false,,"Southampton Street, Strand",true,1297182180000
BikePoints_389,010621,false,false,,"Upper Grosvenor Street, Mayfair",true,1297347960000
BikePoints_390,001223,false,false,,"Buxton Street 1, Shoreditch",true,1297764360000
BikePoints_391,002688,false,false,1539846000000,"Clifford Street, Mayfair",true,1297956480000
BikePoints_392,001220,false,false,,"Imperial College, Knightsbridge",true,1297958700000
BikePoints_393,002699,false,false,,"Snow Hill, Farringdon",true,1298545440000
BikePoints_394,002698,false,false,,"Aberdeen Place, St. John's Wood",true,
BikePoints_395,002695,false,false,,"Cadogan Gardens, Chelsea",true,1298908800000
BikePoints_396,002693,false,false,,"Shouldham Street, Marylebone",true,1299075120000
BikePoints_397,001227,false,false,,"Devonshire Terrace, Bayswater",true,1299075900000
BikePoints_398,010631,false,false,,"Holland Park, Kensington",true,1299076440000
BikePoints_399,002687,false,false,,"Brick Lane Market, Shoreditch",true,1299582900000
BikePoints_400,001225,false,false,,"George Street, Marylebone",true,1299583260000
BikePoints_401,002701,false,false,,"Columbia Road, Shoreditch",true,1299592500000
BikePoints_402,010625,false,false,,"Penfold Street, Marylebone",true,1299592860000
BikePoints_403,010630,false,false,,"George Place Mews, Marylebone",true,1299593640000
BikePoints_404,001110,false,false,,"Palace Gate, Kensington Gardens",true,1299669180000
BikePoints_405,001107,false,false,,"Gloucester Road Station, South Kensington",true,1299669300000
BikePoints_408,001129,false,false,,"Sun Street, Liverpool Street",true,
BikePoints_409,010624,false,false,,"Strata, Elephant & Castle",true,
BikePoints_410,001058,false,false,,"Edgware Road Station, Marylebone",true,
BikePoints_411,010629,false,false,,"Rotherhithe Roundabout, Rotherhithe",true,
BikePoints_412,010628,false,false,,"Cleaver Street, Kennington",true,1302006180000
BikePoints_419,022160,false,false,,"Chelsea Bridge, Pimlico",true,1308735300000
BikePoints_420,022162,false,false,,"Southwark Station 1, Southwark",true,1309258380000
BikePoints_421,022163,false,false,,"Southwark Station 2, Southwark",true,1309258440000
BikePoints_423,022164,false,false,,"Eaton Square (South), Belgravia",true,1309860240000
BikePoints_424,022159,false,false,,"Ebury Bridge, Pimlico",true,1324551120000
BikePoints_426,022161,false,false,,"Vincent Street, Pimlico",true,1310463720000
BikePoints_427,022180,false,false,,"Cheapside, Bank",true,1310725680000
BikePoints_428,022179,false,false,,"Exhibition Road, Knightsbridge",true,1318496100000
BikePoints_430,022182,false,false,,"South Parade, Chelsea",true,1324549980000
BikePoints_431,022183,false,false,,"Crinan Street, King's Cross",true,1323355020000
BikePoints_432,022158,false,false,,"Exhibition Road Museums 1, South Kensington",true,1319448720000
BikePoints_698,200121,false,false,,"Shoreditch Court, Haggerston",true,1384254300000
BikePoints_699,200057,false,false,,"Belford House, Haggerston",true,1384256040000
BikePoints_700,200201,false,false,,"Battersea Church Road, Battersea",true,1384343280000
BikePoints_701,200077,false,false,,"Vicarage Crescent, Battersea",true,1384345080000
BikePoints_702,200213,false,false,,"Durant Street, Bethnal Green",true,1384345860000
BikePoints_703,200094,false,false,,"St. Bride Street, Holborn",true,1384357800000
BikePoints_704,200063,false,false,,"Mexfield Road, East Putney",true,1384443480000
BikePoints_705,300042,false,true,1539845700000,"Upper Richmond Road, Putney",true,1384453020000
BikePoints_706,200193,false,false,,"Snowsfields, London Bridge",true,1384420920000
BikePoints_707,200197,false,false,,"Barons Court Station, West Kensington",true,1384435680000
