terminal_name,common_name,locked,removal_date,temporary,installed,place_id,install_date
001202,"Wellington Street , Strand",false,,false,true,BikePoints_338,1280158740000
001127,"Risinghill Street, Angel",false,,false,true,BikePoints_339,1280160600000
001201,"Bank of England Museum, Bank",false,,false,true,BikePoints_340,1280248620000
001160,"Craven Street, Strand",false,,false,true,BikePoints_341,1280222160000
001188,"London Zoo Car Park, The Regent's Park",false,,false,true,BikePoints_343,1280224260000
001222,"Goswell Road (City Uni), Finsbury",false,,false,true,BikePoints_344,1280226120000
001218,"Flood Street, Chelsea",false,,false,true,BikePoints_345,1280229720000
001219,"Lower Marsh, Waterloo",false,,false,true,BikePoints_347,1283762460000
010627,"Grosvenor Square, Mayfair",false,,false,true,BikePoints_348,1284540540000
001221,"St. George Street, Mayfair",false,,false,true,BikePoints_349,1284543120000
001231,"Queen's Gate, Kensington Gardens",false,,false,true,BikePoints_350,1285756260000
001226,"Macclesfield Rd, St Lukes",false,,false,true,BikePoints_351,1286790480000
001224,"Vauxhall Street, Vauxhall",false,,false,true,BikePoints_352,1286796360000
010623,"Greycoat Street , Westminster",false,,false,true,BikePoints_353,1287652080000
001097,"Northumberland Avenue, Strand",false,,false,true,BikePoints_354,
002694,"Clapham Common Station, Clapham Common",false,,false,true,BikePoints_355,1287752460000
002685,"South Kensington Station, South Kensington",false,,false,true,BikePoints_356,1288009080000
002691,"Howland Street, Fitzrovia",false,,false,true,BikePoints_357,1288092420000
001229,"High Holborn , Covent Garden",false,,false,true,BikePoints_358,1290079860000
002662,"Butler Place, Westminster",false,,false,true,BikePoints_359,1288950960000
002666,"Howick Place, Westminster",false,,false,true,BikePoints_360,1288958160000
002692,"Waterloo Station 2, Waterloo",false,,false,true,BikePoints_361,1291902600000
002686,"Royal College Street, Camden Town",false,,false,true,BikePoints_362,1290080220000
002665,"Lord's, St. John's Wood",false,,false,true,BikePoints_363,1289911800000
003507,"Store Street, Bloomsbury",false,,false,true,BikePoints_364,1290080640000
002690,"City Road, Angel",false,,false,true,BikePoints_365,1290603600000
001230,"Millennium Hotel, Mayfair",false,,false,true,BikePoints_366,1290686880000
002680,"Harrowby Street, Marylebone",false,,false,true,BikePoints_367,
002681,"Harriet Street, Knightsbridge",false,,false,true,BikePoints_368,1291201680000
002670,"Paddington Green, Paddington",false,,false,true,BikePoints_370,1291647300000
002639,"King Edward Walk, Waterloo",false,,false,true,BikePoints_371,1291712820000
002649,"Sardinia Street, Holborn",false,,false,true,BikePoints_372,1291713000000
