locked,terminal_name,removal_date,installed,common_name,place_id,temporary,install_date
false,001212,,true,"Concert Hall Approach 2, South Bank",BikePoints_336,false,1280152800000
false,002589,,true,"Pembridge Villas, Notting Hill",BikePoints_337,false,1280153100000
false,001202,,true,"Wellington Street , Strand",BikePoints_338,false,1280158740000
false,001127,,true,"Risinghill Street, Angel",BikePoints_339,false,1280160600000
false,001201,,true,"Bank of England Museum, Bank",BikePoints_340,false,1280248620000
false,001160,,true,"Craven Street, Strand",BikePoints_341,false,1280222160000
false,001188,,true,"London Zoo Car Park, The Regent's Park",BikePoints_343,false,1280224260000
false,001222,,true,"Goswell Road (City Uni), Finsbury",BikePoints_344,false,1280226120000
false,001218,,true,"Flood Street, Chelsea",BikePoints_345,false,1280229720000
false,001219,,true,"Lower Marsh, Waterloo",BikePoints_347,false,1283762460000
false,010627,,true,"Grosvenor Square, Mayfair",BikePoints_348,false,1284540540000
false,001221,,true,"St. George Street, Mayfair",BikePoints_349,false,1284543120000
false,001231,,true,"Queen's Gate, Kensington Gardens",BikePoints_350,false,1285756260000
false,001226,,true,"Macclesfield Rd, St Lukes",BikePoints_351,false,1286790480000
false,001224,,true,"Vauxhall Street, Vauxhall",BikePoints_352,false,1286796360000
false,010623,,true,"Greycoat Street , Westminster",BikePoints_353,false,1287652080000
false,001097,,true,"Northumberland Avenue, Strand",BikePoints_354,false,
false,002694,,true,"Clapham Common Station, Clapham Common",BikePoints_355,false,1287752460000
false,002685,,true,"South Kensington Station, South Kensington",BikePoints_356,false,1288009080000
false,002691,,true,"Howland Street, Fitzrovia",BikePoints_357,false,1288092420000
false,001229,,true,"High Holborn , Covent Garden",BikePoints_358,false,1290079860000
false,002662,,true,"Butler Place, Westminster",BikePoints_359,false,1288950960000
false,002666,,true,"Howick Place, Westminster",BikePoints_360,false,1288958160000
false,002692,,true,"Waterloo Station 2, Waterloo",BikePoints_361,false,1291902600000
false,002686,,true,"Royal College Street, Camden Town",BikePoints_362,false,1290080220000
false,002665,,true,"Lord's, St. John's Wood",BikePoints_363,false,1289911800000
false,003507,,true,"Store Street, Bloomsbury",BikePoints_364,false,1290080640000
false,002690,,true,"City Road, Angel",BikePoints_365,false,1290603600000
false,002680,,true,"Harrowby Street, Marylebone",BikePoints_367,false,
false,002681,,true,"Harriet Street, Knightsbridge",BikePoints_368,false,1291201680000
false,002670,,true,"Paddington Green, Paddington",BikePoints_370,false,1291647300000
false,002639,,true,"King Edward Walk, Waterloo",BikePoints_371,false,1291712820000
false,002649,,true,"Sardinia Street, Holborn",BikePoints_372,false,1291713000000
false,003499,,true,"Prince Consort Road, Knightsbridge",BikePoints_373,false,1295428320000
false,002696,,true,"Waterloo Station 1, Waterloo",BikePoints_374,false,1291725720000
false,010632,,true,"Kensington Town Hall, Kensington",BikePoints_375,false,1291805820000
false,002683,,true,"Millbank Tower, Pimlico",BikePoints_376,false,1294660980000
false,002648,,true,"Waterloo Bridge, South Bank",BikePoints_377,false,1295265420000
false,002677,,true,"Natural History Museum, South Kensington",BikePoints_378,false,1296121500000
false,002682,,true,"Turquoise Island, Notting Hill",BikePoints_379,false,1296121680000
false,003506,,true,"Stanhope Gate, Mayfair",BikePoints_380,false,1296125400000
false,002669,,true,"Charlotte Street, Fitzrovia",BikePoints_381,false,1296203760000
false,002678,,true,"Farm Street, Mayfair",BikePoints_382,false,1297159320000
false,002660,,true,"Frith Street, Soho",BikePoints_383,false,1296649200000
false,003505,,true,"Marloes Road, Kensington",BikePoints_384,false,1296731880000
false,003504,,true,"Moor Street, Soho",BikePoints_386,false,1296732540000
false,002703,,true,"Fire Brigade Pier, Vauxhall",BikePoints_387,false,1297077540000
false,001228,,true,"Southampton Street, Strand",BikePoints_388,false,1297182180000
false,010621,,true,"Upper Grosvenor Street, Mayfair",BikePoints_389,false,1297347960000
false,001223,,true,"Buxton Street 1, Shoreditch",BikePoints_390,false,1297764360000
false,002688,1539846000000,true,"Clifford Street, Mayfair",BikePoints_391,false,1297956480000
false,001220,,true,"Imperial College, Knightsbridge",BikePoints_392,false,1297958700000
false,002699,,true,"Snow Hill, Farringdon",BikePoints_393,false,1298545440000
false,002698,,true,"Aberdeen Place, St. John's Wood",BikePoints_394,false,
false,002695,,true,"Cadogan Gardens, Chelsea",BikePoints_395,false,1298908800000
false,002693,,true,"Shouldham Street, Marylebone",BikePoints_396,false,1299075120000
false,001227,,true,"Devonshire Terrace, Bayswater",BikePoints_397,false,1299075900000
false,010631,,true,"Holland Park, Kensington",BikePoints_398,false,1299076440000
false,002687,,true,"Brick Lane Market, Shoreditch",BikePoints_399,false,1299582900000
false,001225,,true,"George Street, Marylebone",BikePoints_400,false,1299583260000
false,002701,,true,"Columbia Road, Shoreditch",BikePoints_401,false,1299592500000
false,010625,,true,"Penfold Street, Marylebone",BikePoints_402,false,1299592860000
false,010630,,true,"George Place Mews, Marylebone",BikePoints_403,false,1299593640000
false,001110,,true,"Palace Gate, Kensington Gardens",BikePoints_404,false,1299669180000
false,001107,,true,"Gloucester Road Station, South Kensington",BikePoints_405,false,1299669300000
false,001129,,true,"Sun Street, Liverpool Street",BikePoints_408,false,
false,010624,,true,"Strata, Elephant & Castle",BikePoints_409,false,
false,001058,,true,"Edgware Road Station, Marylebone",BikePoints_410,false,
false,010629,,true,"Rotherhithe Roundabout, Rotherhithe",BikePoints_411,false,
false,010628,,true,"Cleaver Street, Kennington",BikePoints_412,false,1302006180000
false,022160,,true,"Chelsea Bridge, Pimlico",BikePoints_419,false,1308735300000
false,022162,,true,"Southwark Station 1, Southwark",BikePoints_420,false,1309258380000
false,022163,,true,"Southwark Station 2, Southwark",BikePoints_421,false,1309258440000
false,022164,,true,"Eaton Square (South), Belgravia",BikePoints_423,false,1309860240000
false,022159,,true,"Ebury Bridge, Pimlico",BikePoints_424,false,1324551120000
false,022161,,true,"Vincent Street, Pimlico",BikePoints_426,false,1310463720000
false,022180,,true,"Cheapside, Bank",BikePoints_427,false,1310725680000
false,022179,,true,"Exhibition Road, Knightsbridge",BikePoints_428,false,1318496100000
false,022182,,true,"South Parade, Chelsea",BikePoints_430,false,1324549980000
false,022183,,true,"Crinan Street, King's Cross",BikePoints_431,false,1323355020000
false,200129,,true,"Charlotte Terrace, Angel",BikePoints_697,false,1384251120000
false,200121,,true,"Shoreditch Court, Haggerston",BikePoints_698,false,1384254300000
false,200057,,true,"Belford House, Haggerston",BikePoints_699,false,1384256040000
false,200201,,true,"Battersea Church Road, Battersea",BikePoints_700,false,1384343280000
false,200077,,true,"Vicarage Crescent, Battersea",BikePoints_701,false,1384345080000
false,200213,,true,"Durant Street, Bethnal Green",BikePoints_702,false,1384345860000
false,200094,,true,"St. Bride Street, Holborn",BikePoints_703,false,1384357800000
false,200063,,true,"Mexfield Road, East Putney",BikePoints_704,false,1384443480000
false,300042,1539845700000,true,"Upper Richmond Road, Putney",BikePoints_705,true,1384453020000
false,200193,,true,"Snowsfields, London Bridge",BikePoints_706,false,1384420920000
false,200197,,true,"Barons Court Station, West Kensington",BikePoints_707,false,1384435680000
false,200217,,true,"Disraeli Road, Putney",BikePoints_708,false,1384530180000
false,200205,,true,"Montserrat Road , Putney",BikePoints_709,false,1384510140000
false,300045,,true,"Albert Bridge Road, Battersea Park",BikePoints_710,false,1384520580000
false,300028,,true,"Everington Street, Fulham",BikePoints_711,false,1384791540000
false,300056,,true,"Mile End Stadium, Mile End",BikePoints_712,false,1384797120000
false,200122,,true,"Hawley Crescent, Camden Town",BikePoints_713,false,1384774620000
false,300055,,true,"Stewart's Road, Wandsworth Road",BikePoints_714,false,1384865400000
false,300049,,true,"Aylward Street, Stepney",BikePoints_715,false,1384868460000
false,300024,,true,"Dunston Road , Haggerston",BikePoints_717,false,1384952400000
false,300040,,true,"Ada Street, Hackney Central",BikePoints_718,false,1384962840000
false,300011,,true,"Victoria Park Road, Hackney Central",BikePoints_719,false,1384968480000
false,300038,,true,"Star Road, West Kensington",BikePoints_720,false,1385025840000
false,300039,,true,"Wendon Street, Old Ford",BikePoints_721,false,1385028480000
false,300041,,true,"Finnis Street, Bethnal Green",BikePoints_722,false,1385028600000
false,300053,,true,"Stephendale Road, Sands End",BikePoints_723,false,1385035380000
false,300046,,true,"Alma Road, Wandsworth",BikePoints_724,false,1385125380000
false,300050,,true,"Walworth Square, Walworth",BikePoints_725,false,1563352500000
false,300047,,true,"Alfreda Street, Battersea Park",BikePoints_726,false,1385128740000
false,300054,,true,"Chesilton Road, Fulham",BikePoints_727,false,1385132160000
false,300044,,true,"Putney Bridge Road, East Putney",BikePoints_728,false,1385466780000
false,300043,,true,"St. Peter's Terrace, Fulham",BikePoints_729,false,1385391300000
false,300082,,true,"Bridge Avenue, Hammersmith",BikePoints_730,false,1385132580000
false,300095,,true,"Michael Road, Walham Green",BikePoints_731,false,1385394720000
false,300083,,true,"Duke Street Hill, London Bridge",BikePoints_732,false,1385458020000
false,300093,,true,"Park Lane, Mayfair",BikePoints_733,false,1385460840000
false,300094,,true,"Plough Terrace, Clapham Junction",BikePoints_734,false,1385464500000
false,200120,,true,"Grant Road East, Clapham Junction",BikePoints_735,false,1385383080000
false,300088,,true,"Queensdale Road, Shepherd's Bush",BikePoints_736,false,1385472900000
false,300086,,true,"Fulham Broadway, Walham Green",BikePoints_737,false,1385554620000
false,300087,,true,"Imperial Road, Sands End",BikePoints_738,false,1385563380000
false,300091,,true,"Hortensia Road, West Brompton",BikePoints_739,false,1385631000000
false,300084,,true,"Sirdar Road, Avondale",BikePoints_740,false,1385635440000
false,300085,,true,"Freston Road, Avondale",BikePoints_741,false,1385640120000
false,300090,,true,"Blenheim Crescent, Ladbroke Grove",BikePoints_742,false,1385649540000
false,300078,,true,"Oxford Road, Putney",BikePoints_743,false,1385723700000
false,300077,,true,"Ingrave Street, Clapham Junction",BikePoints_744,false,1385729760000
false,300075,,true,"Upcerne Road, West Chelsea",BikePoints_745,false,1385740020000
false,300076,,true,"Lots Road, West Chelsea",BikePoints_746,false,1385985720000
false,300089,,true,"Ormonde Gate, Chelsea",BikePoints_747,false,1385997240000
false,300092,,true,"Hertford Road, De Beauvoir Town",BikePoints_748,false,1386159900000
false,300081,,true,"Haggerston Road, Haggerston",BikePoints_749,false,1386172440000
false,300080,,true,"Culvert Road, Battersea",BikePoints_750,false,1386240360000
false,300074,,true,"Newton Street, Covent Garden",BikePoints_751,false,1386250800000
false,300079,,true,"London Street, Paddington",BikePoints_752,false,1650364320000
false,300067,,true,"Grenfell Road, Avondale",BikePoints_754,false,1389003540000
false,300058,,true,"The Vale, Chelsea",BikePoints_755,false,1389008580000
false,300073,,true,"Prince of Wales Drive, Battersea Park",BikePoints_756,false,1390223040000
false,300069,,true,"Harcourt Terrace, West Brompton",BikePoints_757,false,1389094260000
false,300057,,true,"Westbourne Park Road, Portobello",BikePoints_758,false,1389178020000
false,300072,,true,"Broadley Terrace, Marylebone",BikePoints_759,false,1389627480000
false,300068,,true,"Humbolt Road, Fulham",BikePoints_761,false,1389781800000
false,200202,,true,"Storey's Gate, Westminster",BikePoints_762,false,1392039000000
false,300027,,true,"Mile End Park Leisure Centre, Mile End",BikePoints_763,false,1392043020000
false,200185,,true,"St. John's Road, Clapham Junction",BikePoints_764,false,1392633480000
false,300064,,true,"Ranelagh Gardens, Fulham",BikePoints_765,false,1392986940000
false,200079,,true,"Ram Street, Wandsworth",BikePoints_766,false,1392894840000
false,200177,,true,"Santos Road, Wandsworth",BikePoints_767,false,1393406280000
false,300065,,true,"Clapham Common North Side, Clapham Common",BikePoints_768,false,1393494060000
false,300001,,true,"Sandilands Road, Walham Green",BikePoints_769,false,1393939560000
false,300097,,true,"Gwendwr Road, West Kensington",BikePoints_770,false,1394099280000
false,300007,,true,"Rifle Place, Avondale",BikePoints_771,false,1394018400000
false,300015,,true,"Binfield Road, Stockwell",BikePoints_772,false,1396442100000
false,300096,,true,"Tallis Street, Temple",BikePoints_773,false,1396262520000
false,300098,,true,"Hurlingham Park, Parsons Green",BikePoints_774,false,1396265880000
false,300101,,true,"Little Brook Green, Brook Green",BikePoints_775,false,1396270320000
false,300099,,true,"Abyssinia Close, Clapham Junction",BikePoints_776,false,1396273320000
false,300100,,true,"Limburg Road, Clapham Junction",BikePoints_777,false,1406282940000
false,200072,,true,"Houndsditch, Aldgate",BikePoints_779,false,1435313700000
false,300070,,true,"Imperial Wharf Station, Sands End",BikePoints_780,false,1439455200000
false,000994,,true,"Tanner Street, Bermondsey",BikePoints_85,false,1279026060000
false,003434,,true,"Sancroft Street, Vauxhall",BikePoints_86,false,1279027140000
false,003438,,true,"Devonshire Square, Liverpool Street",BikePoints_87,false,1279027680000
false,001006,,true,"Bayley Street , Bloomsbury",BikePoints_88,false,1279028280000
false,003439,,true,"Tavistock Place, Bloomsbury",BikePoints_89,false,1279029360000
false,001038,,true,"Harrington Square 1, Camden Town",BikePoints_90,false,1279030020000
false,001076,,true,"Walnut Tree Walk, Vauxhall",BikePoints_91,false,1279036740000
false,001082,,true,"Borough Road, Elephant & Castle",BikePoints_92,false,1279037040000
false,002586,,true,"Cloudesley Road, Angel",BikePoints_93,false,1279037760000
false,001070,,true,"Bricklayers Arms, Borough",BikePoints_94,false,1279038420000
false,001065,,true,"Aldersgate Street, Barbican",BikePoints_95,false,1279096560000
false,001047,,true,"Falkirk Street, Hoxton",BikePoints_96,false,1279096980000
false,003447,,true,"Gloucester Road (North), Kensington",BikePoints_97,false,1279097580000
false,000972,,true,"Hampstead Road, Euston",BikePoints_98,false,1279099080000
false,001085,,true,"Old Quebec Street, Marylebone",BikePoints_99,false,1279099680000
false,001059,,true,"Albert Embankment, Vauxhall",BikePoints_100,false,1279099860000
false,000999,,true,"Queen Street 1, Bank",BikePoints_101,false,1279102680000
false,001045,,true,"Jewry Street, Aldgate",BikePoints_102,false,1279102860000
false,003441,,true,"Vicarage Gate, Kensington",BikePoints_103,false,1279103520000
false,000991,,true,"Crosswall, Tower",BikePoints_104,false,1279103760000
